,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2332.2273,4332.8213,6034.1772,1010.3677,-1385.186,-3221.2346,3673.0344,620.21594,4321.4014,4804.557,6048.795,1502.1251,475.9089,1217.6691,-2113.257,1339.7877,301.42368,2121.4565,1089.7128,896.1191,-2277.6028,4085.1208,2532.745,8459.339,2017.7964,1093.8271,1689.6321,-2891.7197,2406.0378,3305.623,1860.7643
2000-01-10,227.72694,1795.7183,1405.2599,1590.4442,2008.4957,6130.7847,493.0609,959.6686,9482.631,215.86046,-414.65225,3686.3152,-787.6217,5663.2124,-324.8778,2127.097,-240.4244,2709.7275,1750.9822,1222.122,3124.7512,3108.2515,3528.7764,7811.7217,3701.8018,-650.81824,6042.686,1178.2799,-738.6868,-1323.6848,2182.8206
2000-01-11,90.28309,963.65,-203.92656,1034.1362,79.71515,1359.0336,621.45905,5.469344,655.7085,1283.2245,-714.243,1459.8644,-332.06915,1602.543,66.11196,275.07092,42.22395,874.2708,952.1135,976.2175,976.0294,1776.4258,1466.682,1421.5282,1910.5525,274.9643,274.48386,1139.2573,259.17828,456.07712,701.5345
2000-01-12,-2103.671,-2352.5227,-6277.6113,1068.9905,1549.0168,6097.427,-2404.152,-578.8233,-2787.9468,-2203.7498,-7201.78,1517.9357,-1057.4501,2031.3523,2412.5757,-759.6456,-206.33981,-319.0181,882.3204,1106.212,4264.5347,-500.34232,447.80966,-5553.6055,1844.5863,-473.12,-1134.1526,5241.7783,-1865.9912,-2281.7827,-386.57214
2000-01-13,-38.41471,161.68974,-1705.673,480.3469,-1850.3602,-3294.636,764.3538,-852.72437,-7809.153,2401.0579,-797.98553,-753.4231,164.22678,-2264.6265,611.57745,-1509.5874,524.16785,-925.30206,338.90384,881.3053,-1072.2224,463.6159,-502.70963,-4871.6724,121.37776,1198.0741,-5487.5103,1171.7216,1526.599,2271.825,-688.5053
2000-01-14,84.440544,957.85156,-209.9744,1028.6172,74.03071,1353.3712,615.6759,-0.36155888,649.84204,1277.2693,-720.08374,1454.1622,-337.95398,1596.6396,60.084343,269.15912,36.33115,868.4626,946.3261,970.4589,970.2089,1770.8357,1460.9645,1415.8125,1904.6836,269.09235,268.51385,1133.454,253.3149,450.21494,695.7147
2000-01-15,85.36282,959.1121,-208.66666,1028.8599,74.58163,1354.3492,616.3819,0.6140373,651.0867,1279.1953,-718.8942,1455.1593,-336.95816,1598.442,61.486458,270.3094,37.25772,869.5638,947.5018,971.6098,971.3727,1771.3995,1462.1962,1416.7814,1906.3787,269.94354,270.12064,1134.7495,254.44614,451.32047,696.8354
2000-01-16,89.71501,963.7444,-203.8426,1032.4069,78.504234,1358.6445,620.50244,5.0085096,655.744,1284.5182,-714.3012,1459.4967,-332.51282,1603.6233,66.38344,274.90915,41.64484,874.05695,952.0489,976.1189,975.9307,1775.2786,1466.753,1421.0986,1911.4435,274.25037,275.16653,1139.4154,258.99872,455.8516,701.35333
2000-01-17,2339.3203,4340.734,6042.3535,1015.51715,-1379.1204,-3214.1946,3679.5635,627.4226,4329.208,4814.2974,6056.463,1509.2828,483.2158,1227.0493,-2104.8835,1347.5403,308.61194,2128.9893,1097.409,903.73236,-2269.8967,4091.125,2540.5364,8466.457,2026.8868,1100.7788,1698.6006,-2883.7078,2413.7104,3313.179,1868.3395
2000-01-18,245.2031,1814.034,1424.2031,1605.1302,2024.506,6147.789,509.75513,977.11774,9500.623,236.48279,-396.69138,3703.665,-769.86426,5683.086,-305.74216,2145.3325,-223.06528,2727.6106,1768.8241,1239.7943,3142.742,3124.0315,3546.6956,7828.8486,3721.604,-633.4524,6062.4893,1196.6692,-720.968,-1305.6498,2200.6936
