,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,87020.43,85812.58,87436.85,86569.74,86326.305,86711.016,87101.4,86792.02,87039.42,86185.29,87201.016,86748.95,87234.99,86672.43,87473.35,86967.92,87214.26,86887.85,87972.63,86554.09,86139.49,87048.58,87033.19,87351.93,86817.43,87019.01,87409.33,87051.73,86485.54,87305.93,86919.49
2021-11-25,85976.8,84776.11,86365.086,85531.57,85280.805,85668.0,86026.516,85720.47,85977.516,85142.71,86136.79,85675.38,86166.74,85627.35,86416.06,85919.91,86143.94,85841.164,86897.98,85518.25,85096.51,85984.3,85971.79,86293.85,85777.92,85969.07,86348.3,86012.055,85464.43,86266.016,85866.445
2021-11-26,85008.28,83821.49,85406.89,84559.28,84318.984,84695.734,85079.01,84775.414,85006.586,84192.18,85164.84,84740.05,85202.24,84658.945,85442.89,84950.91,85178.09,84850.125,85912.32,84531.164,84148.266,85030.2,84994.875,85314.26,84800.91,84990.85,85372.62,85031.61,84478.63,85269.83,84897.58
2021-11-27,84628.266,83446.02,85026.34,84178.9,83940.55,84314.8,84700.945,84398.4,84623.79,83817.086,84781.53,84365.39,84820.44,84278.8,85060.04,84570.24,84795.67,84463.76,85524.13,84147.12,83773.73,84651.64,84610.56,84929.59,84419.11,84607.52,84988.68,84648.88,84096.66,84882.87,84516.38
2021-11-28,84244.836,83065.79,84635.37,83796.75,83557.08,83931.25,84309.875,84008.516,84234.76,83435.34,84391.734,83975.66,84430.03,83894.945,84672.23,84185.45,84404.53,84077.7,85130.195,83764.555,83392.05,84263.21,84221.23,84541.03,84036.266,84221.48,84599.56,84265.7,83718.55,84498.39,84130.13
2021-11-29,83693.93,82519.84,84075.52,83247.266,83006.57,83379.98,83750.62,83450.92,83676.555,82887.766,83832.54,83418.91,83870.51,83343.53,84115.44,83632.805,83843.98,83522.0,84564.82,83213.586,82844.695,83706.88,83662.266,83982.91,83485.555,83666.63,84040.97,83714.375,83173.34,83944.39,83575.64
2021-11-30,82995.64,81828.09,83367.21,82550.4,82309.08,82681.03,83043.516,82745.93,82969.53,82194.29,83124.28,82715.38,83162.266,82644.625,83409.97,82932.4,83134.44,82816.91,83848.586,82514.26,82151.59,83002.93,82954.04,83275.51,82787.06,82963.195,83333.26,83014.945,82480.86,83241.0,82873.08
2021-12-01,82143.516,80983.93,82502.73,81700.03,81457.9,81828.125,82180.484,81885.46,82106.69,81347.99,82259.945,81856.695,82297.91,81791.75,82549.086,82077.664,82268.484,81956.55,82974.54,81660.97,81305.734,82143.78,82089.75,82412.27,81934.734,82104.81,82469.625,82161.5,81635.96,82382.77,82015.71
2021-12-02,80868.85,79719.47,81201.15,80429.98,80182.73,80553.266,80877.945,80586.93,80812.61,80078.086,80963.4,80558.15,80998.75,80515.625,81259.484,80798.234,80966.75,80674.13,81664.375,80390.52,80035.9,80850.85,80795.02,81120.47,80662.63,80821.69,81175.69,80888.45,80380.914,81106.125,80731.28
2021-12-03,80148.33,79013.44,80509.164,79701.45,79472.055,79827.46,80201.68,79912.16,80098.6,79380.68,80249.37,79897.29,80296.61,79796.04,80540.12,80079.33,80263.89,79925.586,80937.8,79641.445,79341.71,80160.32,80072.89,80393.05,79928.766,80091.734,80455.08,80150.125,79625.68,80347.18,80015.3
