,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2887.227,-344.7709,2235.9287,5759.311,1841.8992,-98.00207,2483.1067,-3099.5437,1432.837,2470.2273,-2899.435,7214.5615,2737.0786,4240.5674,-806.80945,1424.1464,2786.8179,3951.9329,1807.9694,79.68758,1631.7008,-2442.267,332.2867,-825.60376,4490.01,474.75897,3123.5168,4522.9604,2269.272,-550.6131,1637.692
2000-01-10,2792.0085,92.439575,1255.6299,3415.4897,458.33563,448.1274,4817.664,-773.31006,4427.3105,1219.5166,2654.3127,884.81604,1729.5671,4411.2944,1614.3046,4701.6104,2189.0276,2205.3955,1102.9702,1330.6635,517.12665,2649.6394,841.74243,970.4868,2067.6707,3652.7913,4452.8696,1388.1921,4656.772,-633.9279,2051.3513
2000-01-11,869.53467,523.8657,374.298,439.40558,369.8058,422.62646,328.20538,295.03326,-79.150444,779.691,-13.950657,569.60596,121.98751,466.4189,541.3241,538.2239,-106.38962,-277.0932,-281.21805,44.976086,804.76385,528.3221,-280.0733,110.802475,549.2545,206.00032,232.03317,613.36566,689.20105,203.61617,319.48288
2000-01-12,-1142.5487,1403.1566,-1485.3593,-4706.531,-1094.0524,949.62854,-1824.7104,3693.6255,-1584.3121,-909.89294,2875.2878,-6055.8027,-2486.0054,-3303.8123,1892.5901,-342.6046,-2999.0688,-4501.704,-2367.2214,21.212475,-21.938044,3499.2744,-891.71265,1051.7545,-3381.5872,-59.096184,-2650.1426,-3292.2412,-889.38153,964.799,-987.9466
2000-01-13,-1036.1842,955.3148,-508.1128,-2306.7002,287.73898,397.85876,-4162.5386,1362.9844,-4581.7515,338.9749,-2684.296,256.105,-1481.0739,-3479.8057,-530.8414,-3624.4268,-2404.271,-2760.1626,-1666.0713,-1237.6699,1089.4762,-1591.8451,-1403.465,-747.561,-957.4269,-3233.5623,-3984.461,-164.47865,-3279.627,1054.4779,-1402.7802
2000-01-14,863.70013,518.0857,368.38254,433.5765,363.9804,416.78333,322.304,289.15088,-85.05856,773.89777,-19.865515,563.7405,116.07449,460.57883,535.4338,532.36664,-112.31918,-282.9866,-287.20093,39.129864,798.9737,522.44586,-285.99185,104.893135,543.4187,200.12253,226.12596,607.5188,683.40814,197.73134,313.61337
2000-01-15,864.83777,519.2255,369.6002,434.69794,365.13126,417.9155,323.54187,290.3851,-83.88074,775.0572,-18.684628,564.9909,117.274376,461.7211,536.59564,533.5151,-111.114395,-281.87192,-286.01392,40.224957,800.13745,523.65063,-284.8232,106.04951,544.5352,201.26175,227.29369,608.63104,684.47076,198.8243,314.77264
2000-01-16,869.38025,523.737,374.26184,439.2217,369.67953,422.45703,328.21518,295.04123,-79.2583,779.5942,-14.055448,569.65314,121.91949,466.26877,541.1942,538.0811,-106.4558,-277.31442,-281.33752,44.735252,804.6753,528.27795,-280.2026,110.653564,549.059,205.83148,231.90662,613.1591,688.9204,203.35725,319.3552
2000-01-17,2894.9001,-337.14078,2243.8735,5766.8955,1849.593,-90.33824,2491.0933,-3091.59,1440.6703,2477.9248,-2891.5854,7222.533,2744.9714,4248.2554,-799.0255,1431.8663,2794.741,3959.598,1815.8923,87.25703,1639.4044,-2434.3862,340.11108,-817.82104,4497.625,482.47427,3131.3218,4530.5835,2276.7258,-543.0136,1645.4469
2000-01-18,2810.0754,110.416405,1274.173,3433.379,476.43808,466.23386,4836.2344,-754.8068,4445.7134,1237.5798,2672.748,903.3242,1748.0435,4429.424,1632.624,4719.803,2207.57,2223.5828,1121.5977,1348.667,535.19507,2668.0435,860.1513,988.8341,2085.691,3670.9956,4471.2075,1406.2603,4674.553,-615.8506,2069.597
