,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,86222.31,86922.55,86319.414,86585.0,86218.03,86804.625,87162.06,87155.71,86673.41,86482.74,86888.18,86487.85,87098.87,86427.82,87316.87,86371.664,86682.18,86122.336,87360.71,86552.984,86326.06,86502.16,85782.02,86703.766,85757.086,86562.58,86138.81,87192.17,86714.336,86732.58,86608.88
2021-11-25,84965.33,85662.72,85108.195,85328.67,85016.766,85375.24,85854.92,86009.62,85387.516,85253.336,85589.414,85297.49,85868.914,85179.37,85897.82,85256.086,85441.13,84772.66,85874.055,85351.23,85061.766,85328.42,84568.08,85500.52,84567.63,85433.55,84783.81,85965.88,85615.41,85601.95,85363.92
2021-11-26,84287.82,84943.26,84353.84,84616.58,84249.19,84855.99,85193.32,85141.67,84716.86,84499.086,84932.47,84514.53,85105.55,84477.28,85349.3,84403.49,84713.8,84181.586,85401.88,84585.8,84356.37,84516.38,83831.24,84725.26,83818.914,84582.73,84208.41,85187.06,84705.95,84726.484,84639.41
2021-11-27,83960.375,84604.414,84011.26,84280.016,83904.29,84550.74,84864.27,84776.49,84387.945,84154.516,84605.75,84166.87,84758.48,84144.27,85037.44,84045.88,84375.04,83866.39,85102.484,84241.41,84020.695,84162.91,83493.07,84378.12,83480.42,84224.07,83896.83,84836.305,84335.19,84361.05,84300.89
2021-11-28,83535.914,84176.13,83594.484,83853.17,83489.57,84087.78,84426.266,84370.43,83955.68,83732.586,84170.79,83754.25,84335.66,83720.484,84575.24,83649.86,83951.73,83421.24,84626.17,83826.67,83592.1,83753.016,83076.984,83962.24,83070.6,83824.3,83451.445,84413.37,83939.88,83958.84,83876.57
2021-11-29,82951.34,83584.16,83014.76,83263.38,82911.69,83464.48,83825.51,83797.15,83361.7,83146.445,83574.28,83178.125,83747.78,83135.2,83951.01,83090.3,83365.53,82815.945,83988.875,83248.914,83000.555,83178.48,82499.38,83382.43,82500.16,83260.11,82846.9,83824.32,83377.586,83389.984,83289.22
2021-11-30,82228.086,82850.19,82293.3,82532.25,82191.82,82703.91,83084.0,83077.6,82627.86,82417.57,82838.2,82459.56,83016.39,82409.875,83187.836,82387.56,82638.01,82072.74,83214.21,82529.26,82267.766,82460.336,81781.4,82659.92,81789.984,82552.086,82105.49,83090.78,82668.83,82675.15,82560.4
2021-12-01,81343.47,81952.94,81411.375,81638.24,81312.05,81772.94,82177.02,82198.8,81730.41,81526.75,81937.984,81581.555,82122.484,81522.87,82253.8,81529.18,81748.664,81163.27,82265.68,81649.69,81371.78,81583.01,80903.805,81776.95,80921.95,81687.27,81198.24,82194.32,81803.484,81802.055,81669.4
2021-12-02,79906.445,80506.83,80006.08,80195.5,79915.53,80193.96,80692.35,80838.945,80267.04,80104.83,80464.7,80193.74,80697.91,80089.94,80679.11,80202.44,80320.266,79649.555,80637.22,80252.86,79923.11,80206.586,79500.83,80377.09,79541.02,80347.8,79683.39,80770.22,80483.39,80455.51,80236.82
2021-12-03,79682.22,80229.19,79656.2,79925.49,79543.15,80270.21,80515.62,80305.1,80067.38,79765.24,80290.055,79795.516,80346.56,79828.57,80711.21,79672.125,80022.17,79588.25,80805.77,79883.414,79666.19,79761.26,79175.7,79995.87,79187.25,79827.42,79646.01,80396.52,79869.71,79903.086,79944.414
2021-12-04,80384.29,80925.34,80317.18,80621.47,80195.08,81104.555,81251.664,80906.375,80787.78,80436.695,81020.47,80437.82,81017.125,80521.24,81534.71,80257.03,80705.14,80361.96,81683.86,80536.125,80367.77,80388.41,79840.23,80647.76,79834.73,80420.78,80424.88,81062.47,80434.734,80493.914,80630.73
2021-12-05,81658.8,82209.39,81566.99,81902.23,81437.77,82496.84,82567.14,82120.9,82085.07,81700.95,82325.875,81673.5,82284.055,81793.2,82924.36,81442.21,81974.09,81700.13,83117.47,81779.05,81653.49,81615.234,81087.44,81893.6,81063.125,81616.914,81763.41,82329.55,81616.195,81697.164,81903.21
2021-12-06,83459.99,84031.734,83350.26,83718.32,83214.55,84424.17,84419.45,83879.57,83915.555,83503.82,84164.6,83444.09,84092.06,83595.78,84853.58,83159.0,83778.1,83569.17,85090.24,83555.625,83475.14,83379.71,82864.43,83676.01,82817.38,83347.96,83630.28,84140.6,83339.09,83442.14,83711.08
2021-12-07,85605.42,86213.22,85497.83,85889.99,85359.43,86664.336,86616.48,86032.96,86092.05,85673.805,86346.52,85586.87,86270.04,85749.77,87103.805,85261.82,85941.805,85764.88,87366.67,85699.56,85651.5,85524.09,85001.164,85829.28,84932.29,85466.16,85819.88,86326.16,85465.01,85582.18,85877.84
2021-12-08,86617.68,87290.53,86629.555,86955.72,86512.02,87429.48,87603.22,87341.51,87093.484,86805.4,87326.69,86763.53,87415.57,86800.17,87914.17,86547.164,87031.69,86642.125,88058.01,86848.836,86706.94,86746.03,86106.195,86993.71,86056.08,86748.55,86673.086,87495.555,86838.57,86902.5,86963.12
2021-12-09,86880.664,87573.875,86932.01,87235.52,86821.484,87607.53,87856.03,87702.31,87351.875,87107.09,87577.85,87081.06,87721.62,87075.47,88106.875,86901.945,87319.79,86858.71,88210.39,87157.21,86983.195,87078.45,86400.22,87306.85,86357.01,87101.88,86881.98,87809.24,87221.805,87267.6,87249.586
