,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2669.6326,5859.004,262.8527,-293.21384,688.11334,837.24963,3516.7417,1370.7352,-1190.3229,2761.7908,4418.2656,-1506.4694,2139.844,922.64,2411.541,-446.573,2964.1304,1936.8887,-280.73514,2169.429,600.2239,793.29205,7816.59,-812.625,348.9889,873.93256,2096.7668,170.69194,-1516.3982,-1916.8252,1322.2059
2000-01-10,1620.6509,3763.7856,431.43655,-421.51944,3243.5647,1045.9475,-1423.233,334.7729,-962.55365,-168.62677,2424.927,79.973145,697.9692,829.27203,841.33344,-500.99988,2702.5652,884.7511,-1815.3057,624.43427,450.25293,497.1416,659.67456,-1322.0664,3494.6528,436.14847,2121.0876,1309.9805,1066.0751,1156.8861,803.4326
2000-01-11,785.42596,575.80396,100.36997,86.06879,372.4798,694.6398,271.38672,78.28791,866.54266,183.52054,1213.8518,783.0789,332.16782,498.00812,409.00827,746.1478,864.06506,120.84278,385.65585,663.3539,22.466288,509.6399,646.705,592.07776,1058.4807,701.0682,935.6157,-53.88453,68.69557,-333.8181,472.59174
2000-01-12,-1070.6162,-4438.76,-9.189111,475.5118,139.97476,422.1298,-2949.21,-1064.2719,3098.7856,-2317.3296,-1973.6537,3094.673,-1473.573,80.38557,-1150.1163,1986.1786,-1057.9207,-1700.3428,1147.0277,-843.68353,-379.01605,335.2711,-6555.6465,2463.6523,1831.7566,546.6157,-298.4019,-54.483246,1582.986,1262.8706,-295.61316
2000-01-13,-49.0427,-2414.2727,-211.43901,599.45605,-2507.404,232.94258,1991.4822,-266.03317,2893.315,643.0147,59.07014,1477.275,-15.362576,175.09071,-206.90788,2013.734,-919.87134,-566.5603,2565.1094,668.3888,-366.47424,584.98694,538.6032,2643.979,-1314.8567,968.8387,-226.60918,-1403.647,-1005.9481,-1822.5398,158.61061
2000-01-14,779.3659,569.73224,94.32152,79.96334,366.4816,688.413,265.2065,72.28787,860.4642,177.48373,1207.7782,777.1123,326.10037,491.93332,402.74228,740.233,858.0411,114.67177,379.31876,657.3483,16.377392,503.67847,640.7375,586.06976,1052.5524,695.14105,929.5011,-59.97649,62.76172,-339.81815,466.5341
2000-01-15,781.41516,571.7039,96.15505,81.95682,368.2612,691.0407,267.3832,73.79968,862.5673,179.33932,1209.9237,778.8401,327.94678,493.92435,405.30872,741.70984,859.9586,117.036606,382.142,659.1353,18.38864,505.3257,642.58386,587.84265,1054.3363,696.6461,931.89105,-58.157665,64.11236,-338.34372,468.47247
2000-01-16,786.9151,577.1402,101.452805,87.43168,373.4799,697.15845,273.06888,78.77878,868.1237,184.64873,1215.5156,783.9929,333.26782,499.3784,411.3964,746.605,865.317,122.88773,388.50482,664.3626,23.869015,510.40347,647.84607,593.0601,1059.5151,701.57434,937.7275,-52.847652,68.90515,-333.3965,473.86948
2000-01-17,2679.7407,5868.7505,272.40213,-283.16495,697.3993,848.82196,3527.2715,1379.4489,-1180.393,2771.2595,4428.5215,-1497.2166,2149.4504,932.6478,2422.9153,-438.11926,2973.8215,1947.8019,-268.55734,2178.7495,610.1974,802.20966,7826.0703,-803.68774,358.27237,882.58545,2107.6697,179.95766,-1508.189,-1908.206,1331.9476
2000-01-18,1641.9639,3784.6702,452.06134,-400.2469,3263.5996,1069.2883,-1401.257,354.30197,-941.15674,-148.05836,2446.417,100.13281,718.63135,850.4637,864.5688,-481.8305,2723.2603,907.1108,-1791.0836,644.76733,471.46234,516.87415,680.0377,-1302.0494,3514.763,455.54642,2143.3853,1330.6445,1084.8777,1176.3809,824.3175
