,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,86740.33,86047.14,85411.26,85620.91,86254.8,85949.79,87496.21,86384.17,85824.2,86279.055,86533.086,86810.984,86984.625,86629.92,86525.516,86625.05,85241.31,86818.33,86698.51,85607.52,85864.29,86506.54,86090.98,87032.89,88356.945,87324.414,86853.836,85922.13,86015.97,85863.02,86410.46
2021-11-25,85528.21,84788.03,84022.63,84479.71,85019.7,84625.305,86217.305,85205.555,84503.945,85081.15,85272.055,85615.7,85819.71,85327.63,85281.516,85432.34,83940.59,85634.48,85481.414,84448.52,84576.305,85373.44,84888.57,85772.58,87172.6,86092.586,85585.64,84726.64,84819.375,84592.01,85177.516
2021-11-26,84773.49,84093.52,83496.54,83673.266,84295.516,84012.7,85495.28,84406.914,83901.37,84308.13,84554.54,84835.16,85013.29,84662.08,84567.81,84656.96,83329.22,84846.71,84731.04,83663.81,83939.96,84527.9,84125.16,85030.19,86349.37,85331.0,84865.39,83975.305,84081.42,83924.25,84448.91
2021-11-27,84430.72,83761.36,83194.24,83324.92,83958.27,83694.77,85153.5,84056.375,83586.58,83962.12,84216.055,84487.42,84662.16,84332.62,84232.34,84311.03,83014.41,84498.5,84388.89,83319.32,83619.945,84170.21,83781.27,84685.1,85991.48,84984.164,84525.37,83635.39,83744.94,83597.86,84110.71
2021-11-28,84013.664,83335.08,82742.836,82924.76,83536.945,83255.56,84719.33,83645.945,83149.3,83547.82,83787.56,84073.32,84254.914,83895.914,83809.19,83898.336,82582.34,84087.39,83970.81,82915.87,83189.68,83769.695,83366.64,84254.78,85577.14,84560.88,84094.56,83223.55,83333.79,83170.25,83689.59
2021-11-29,83433.6,82747.2,82133.82,82362.86,82953.45,82656.484,84119.61,83071.54,82553.28,82970.08,83195.41,83495.305,83683.93,83296.59,83224.08,83322.61,81992.445,83512.8,83389.79,82351.27,82600.44,83204.94,82789.19,83658.64,84996.055,83972.516,83499.3,82650.375,82762.34,82582.4,83106.08
2021-11-30,82711.73,82019.26,81389.76,81659.64,82229.24,81919.61,83376.36,82354.16,81820.46,82249.97,82461.32,82774.51,82970.01,82556.75,82498.51,82604.91,81266.484,82795.79,82667.12,81646.23,81873.94,82496.555,82070.086,82918.53,84269.32,83240.586,82761.43,81936.83,82051.5,81855.92,82381.55
2021-12-01,81829.336,81129.086,80479.1,80800.31,81343.914,81018.17,82467.625,81477.555,80923.83,81369.79,81563.86,81893.51,82097.445,81651.92,81611.516,81727.92,80378.42,81919.59,81783.766,80784.79,80985.305,81631.33,81191.336,82013.69,83381.1,82346.02,81859.39,81064.65,81182.53,80967.55,81495.82
2021-12-02,80423.31,79687.6,78940.9,79455.68,79922.0,79527.16,81000.695,80097.766,79438.28,79974.24,80116.74,80499.055,80727.79,80172.85,80182.77,80339.48,78912.29,80536.8,80374.61,79428.94,79526.68,80289.29,79795.375,80561.1,81987.66,80919.5,80404.52,79676.83,79796.13,79520.336,80074.54
2021-12-03,80073.4,79442.33,78986.52,78999.75,79624.87,79424.46,80729.62,79672.47,79346.73,79592.695,79842.25,80105.93,80284.19,79988.65,79904.26,79952.5,78798.68,80128.85,80033.35,79011.72,79373.27,79778.195,79429.336,80253.1,81532.16,80571.35,80130.33,79322.56,79460.08,79316.586,79770.336
2021-12-04,80734.74,80142.48,79793.695,79608.54,80304.67,80178.17,81437.93,80305.35,80099.82,80242.42,80539.555,80752.87,80908.484,80720.21,80591.23,80597.305,79537.35,80766.67,80697.94,79633.72,80100.29,80374.664,80082.125,80946.79,82166.484,81243.57,80831.7,79973.58,80113.94,80027.805,80448.47
2021-12-05,81985.23,81421.53,81150.766,80807.53,81567.875,81497.37,82740.22,81534.586,81413.79,81484.445,81824.42,81994.28,82129.3,82030.97,81859.945,81833.266,80834.85,81998.1,81950.99,80841.68,81392.18,81572.8,81324.17,82237.34,83408.59,82512.14,82123.39,81208.125,81346.75,81310.945,81711.26
2021-12-06,83769.53,83232.234,83033.13,82533.5,83363.625,83345.83,84586.82,83299.4,83253.15,83260.914,83647.47,83771.39,83883.805,83878.25,83661.055,83602.89,82654.62,83763.734,83738.164,82576.17,83209.13,83305.664,83099.56,84072.19,85194.164,84321.83,83955.93,82970.97,83104.72,83122.34,83507.08
2021-12-07,85918.48,85393.4,85226.47,84632.87,85517.32,85525.8,86795.016,85439.805,85419.89,85406.234,85829.04,85919.48,86013.91,86071.64,85817.79,85742.61,84803.09,85902.08,85889.625,84680.195,85361.25,85424.67,85242.25,86272.96,87362.55,86500.95,86148.74,85095.89,85220.47,85277.42,85661.74
