,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,-727.2383,4452.3633,4091.8853,3203.526,4652.5386,793.73267,-1809.995,-2088.2249,1754.2156,162.48639,7858.8794,485.36093,1496.4058,316.68024,4427.346,21.318491,-170.35858,-929.89386,3143.2512,2605.815,-1669.2805,930.20825,-259.6814,-516.5757,356.74033,-630.4723,-1727.8506,-1748.0673,1528.3596,2667.259,1089.0244
2000-01-10,-459.5052,1662.9465,31.700747,-78.31856,-103.5811,-660.4872,-370.30554,506.7303,1921.922,-1964.2415,-3496.8945,544.39734,1811.8082,773.4265,732.0991,1236.4725,3184.045,3756.719,465.94336,4245.3813,1712.6321,385.146,-130.43758,-1780.5513,853.8862,34.954163,3002.2874,961.5732,2503.0085,2474.793,791.91833
2000-01-11,543.0651,286.54214,979.7311,305.32974,736.73627,696.46655,-84.234024,292.09607,871.63324,-103.559654,138.65599,196.51643,332.04648,312.00632,1077.6416,1170.993,1183.5176,997.0044,851.4638,1278.4017,1236.7526,872.22064,681.817,-723.5222,31.098967,383.96326,82.44216,756.9762,1243.7285,928.2883,585.19403
2000-01-12,1756.4114,-3855.2373,-3003.5332,-2651.6152,-3144.6577,461.3626,1605.7031,2643.9768,-6.523993,-377.1194,-7560.7266,-48.69034,-796.5283,307.2172,-2991.7195,2183.3206,2397.0103,2928.7446,-1464.6223,-64.815865,4022.845,773.3848,1642.3313,-983.1086,-251.88275,1321.9297,1812.2986,3164.9277,731.9097,-808.9347,-8.544769
2000-01-13,1543.6272,-1069.3705,2114.0757,682.5202,1604.4117,2065.7224,166.42126,68.85,-176.2526,1771.2502,3778.6628,-155.47644,-1138.927,-157.9185,1196.372,1218.5012,-788.4429,-1771.9393,1220.3433,-1749.087,491.1998,1355.6882,1491.5449,343.9957,-793.15967,564.3603,-2975.4543,601.5923,-59.12897,-595.5567,361.61414
2000-01-14,537.0191,280.4839,973.64496,299.39096,730.7307,690.3832,-90.405655,286.10397,865.5548,-109.60627,132.5769,190.45819,325.9968,305.88495,1071.6293,1165.039,1177.5231,991.0252,845.4527,1272.542,1230.736,866.3116,675.85834,-729.6957,24.93163,377.87622,76.335495,751.0105,1237.7799,922.27783,579.1617
2000-01-15,538.85205,282.5025,976.16516,301.00082,732.6421,692.64996,-88.38521,287.7929,867.83905,-107.82543,134.55627,192.22063,327.6661,308.031,1073.575,1166.7793,1179.7372,992.7414,847.29175,1274.1947,1232.891,867.8271,677.63824,-727.7408,26.626667,379.73242,78.32774,752.8048,1239.5979,924.34735,581.06934
2000-01-16,544.1455,287.97122,982.106,306.0308,737.9827,698.35834,-82.84723,292.92703,873.55994,-102.579155,140.00294,197.45833,332.81616,313.6523,1078.9512,1171.9374,1185.3425,997.89087,852.57056,1279.213,1238.4584,872.7553,682.8315,-722.2586,31.871721,385.07797,83.801384,758.0162,1244.8202,929.8326,586.4232
2000-01-17,-717.6576,4462.414,4103.0327,3212.4272,4662.247,804.4317,-1799.861,-2079.0513,1764.9794,171.93779,7868.8535,494.7725,1505.5471,327.087,4437.096,30.53334,-159.97203,-920.66925,3152.808,2614.6848,-1658.9498,938.87036,-250.32253,-506.60587,366.04834,-620.8284,-1717.8673,-1738.6735,1537.7881,2677.3293,1098.7477
2000-01-18,-438.84668,1684.1547,54.383358,-58.598274,-82.85336,-638.47864,-348.82526,526.8434,1943.9626,-1943.7498,-3475.7402,564.87506,1831.9642,795.15497,752.9139,1256.4691,3205.5044,3776.8103,486.50934,4264.962,1734.0422,404.5194,-110.151054,-1759.2095,874.4246,55.728477,3023.541,981.8836,2523.3535,2495.992,812.71796
