,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2652.2742,-3167.6711,2022.7325,2196.4028,189.94588,3421.8704,3331.5762,3387.3813,-578.3882,1565.2325,3451.4175,3506.3452,759.7958,3975.1082,7989.7407,-49.836906,-1233.6775,163.78494,-10344.03,10176.285,4686.0273,2233.009,-928.9998,7213.926,2362.5393,-2595.308,3225.1233,4103.609,13.501467,-4913.447,1627.209
2000-01-10,1752.7786,1011.3555,3134.8418,-195.65483,-466.6199,120.96289,995.6455,2389.512,4114.7656,5141.481,213.89885,-2992.6204,-1795.9321,2546.479,3427.9016,2312.878,4999.125,-73.50982,3088.5447,-1600.2749,1294.9421,1437.2063,1333.4187,1233.7621,1757.9813,1244.2252,995.4862,3763.7112,-470.0786,752.63196,1382.2948
2000-01-11,1158.1515,566.94635,571.6417,890.36475,1639.5562,1579.1874,-264.541,2079.1138,1772.4315,2878.1748,1119.9452,448.47763,-496.7574,1261.2693,659.8057,160.77113,43.40453,254.24513,2204.1028,1408.1554,1927.2804,1203.1282,1656.14,574.6402,348.54767,1446.689,386.97278,496.27386,74.08586,-369.35385,922.6283
2000-01-12,-320.0121,4391.2197,-847.8696,-405.4025,3140.5347,-115.804245,-3810.105,796.79486,4136.92,4254.4165,-1208.782,-2586.5793,-1711.9384,-1406.801,-6634.573,424.67725,1360.7335,418.86963,14863.436,-7272.219,-792.65656,194.89249,4318.8057,-5963.5386,-1592.7882,5526.64,-2427.1785,-3028.9717,163.26099,4195.068,268.70166
2000-01-13,610.646,654.1513,-1852.6019,2058.9236,3812.6335,3226.8801,-1446.3923,1799.0392,-567.0812,1560.8496,2026.5013,3897.0535,846.59314,31.118576,-2059.3413,-1955.2289,-4876.7476,587.7979,1525.9813,4478.7935,2563.015,1099.9803,2029.8351,69.08348,-1012.9103,1655.9608,-217.90417,-2654.2693,639.48364,-1484.9861,568.22864
2000-01-14,1152.6699,560.996,565.8415,884.5709,1633.8494,1573.4564,-270.50363,2073.4304,1766.5264,2872.634,1114.1682,442.75397,-502.61096,1255.5996,654.10046,154.86977,37.757164,248.2739,2198.2104,1402.1627,1921.3748,1197.3445,1650.8007,569.10406,342.623,1441.2086,381.02667,490.36575,68.59691,-375.2356,916.86554
2000-01-15,1152.548,562.7217,566.97394,885.9443,1634.8461,1574.489,-269.49802,2074.3638,1768.1571,2873.785,1115.3792,443.14923,-501.71072,1256.3778,654.7598,155.94525,37.994015,249.43579,2200.1992,1404.3627,1923.1384,1198.7086,1650.9539,568.9944,344.1244,1441.515,382.39203,491.5583,68.37508,-374.36786,917.85394
2000-01-16,1155.7456,567.86316,571.48975,890.67395,1639.1836,1578.8737,-264.99814,2078.6313,1773.184,2878.164,1119.9525,446.95786,-497.37018,1260.4972,658.79333,160.47025,41.611748,254.08212,2205.5403,1409.9552,1928.286,1203.4248,1654.3114,572.2337,349.04956,1445.0957,387.20566,496.193,71.4857,-370.03897,922.2183
2000-01-17,2656.478,-3158.479,2030.3497,2204.6292,197.14029,3429.1433,3338.9985,3394.4023,-569.4203,1572.6647,3459.2307,3512.0513,766.8652,3981.729,7996.0903,-42.293198,-1228.4514,171.59645,-10334.221,10186.727,4695.3267,2241.2014,-924.25604,7218.1553,2371.1902,-2590.038,3233.4592,4111.441,17.455328,-4906.425,1634.4249
2000-01-18,1766.2635,1031.0005,3152.7346,-177.07315,-449.34476,138.30914,1013.6217,2406.5947,4134.476,5158.392,232.06993,-2976.9644,-1778.5247,2563.0532,3444.2576,2330.931,5014.097,-54.99617,3108.9243,-1578.7296,1315.0448,1455.7175,1347.3479,1247.3131,1777.3303,1258.9971,1014.536,3782.0544,-456.837,770.064,1399.6887
