,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,707.6164,1156.0428,591.21375,746.9059,830.2167,681.0421,912.8072,1235.1531,1040.3777,831.8998,742.9217,855.95844,891.1084,441.66254,873.6902,840.0103,531.5847,1092.5154,680.6707,559.94867,423.89777,471.53284,770.2938,986.7622,968.2032,791.03687,804.1952,456.93137,853.4502,733.22974,783.4293
2000-01-10,707.9372,1156.4182,591.35284,747.2717,830.50684,681.21,913.1825,1235.2809,1040.7258,832.35205,743.27496,856.28784,891.3541,442.0192,873.8918,840.3118,531.9732,1092.8741,680.998,560.3213,424.37024,471.96118,770.4176,986.98956,968.3791,791.1993,804.6928,457.17648,853.7952,733.576,783.73676
2000-01-11,704.6896,1153.1476,588.1656,743.9944,827.289,678.03503,909.9092,1232.1433,1037.4509,829.0527,740.0179,853.02277,888.1357,438.71124,870.6828,837.05536,528.6738,1089.627,677.7317,557.028,421.06473,468.64157,767.2659,983.7944,965.1756,788.0145,801.3695,453.9531,850.53107,730.2956,780.48895
2000-01-12,702.30725,1150.7307,585.88104,741.57684,824.937,675.7505,907.491,1229.898,1035.0402,826.591,737.6184,850.6261,885.7966,436.2741,868.3642,834.67334,526.23364,1087.2329,675.33374,554.597,418.59448,466.1744,765.01263,981.4773,962.86865,785.72504,798.8772,451.61154,848.12854,727.8818,778.11017
2000-01-13,701.7965,1150.2168,585.37054,741.06335,824.4275,675.2449,906.979,1229.3925,1034.526,826.07806,737.10425,850.11346,885.28485,435.75934,867.8519,834.1586,525.71826,1086.7216,674.81964,554.08405,418.08154,465.66086,764.50275,980.9687,962.3551,785.21454,798.36304,451.10107,847.6175,727.37067,777.59827
2000-01-14,704.50085,1152.897,588.43646,743.7033,827.2369,678.19006,909.57916,1232.4996,1037.1941,828.55994,739.8423,852.80035,888.1939,438.335,870.8311,836.9402,528.31165,1089.4056,677.54846,556.6493,420.53955,468.10107,767.67834,983.86725,965.4131,788.2688,800.746,453.9286,850.2498,729.9316,780.346
2000-01-15,710.61884,1158.9531,595.0211,749.74567,833.441,684.6271,915.57465,1239.0675,1043.2849,834.3915,745.9572,858.91406,894.54504,444.37607,877.28735,843.1608,534.3178,1095.4553,683.70416,562.64136,426.32877,473.95343,774.32184,990.20374,971.9603,794.81,806.46136,460.2142,856.2992,735.9433,786.51935
2000-01-16,719.79016,1168.0698,604.48663,758.89246,842.613,693.97363,924.6841,1248.4205,1052.4722,843.39,755.09454,868.11145,903.83777,453.61606,886.66125,852.4161,543.4726,1104.5419,692.92084,571.80414,435.29114,483.04755,783.73645,999.467,981.3884,804.2148,815.4087,469.4995,865.45337,745.1275,795.73016
2000-01-17,731.0555,1179.3529,615.70844,770.2221,853.79156,705.1311,935.9901,1259.4615,1063.8094,854.7123,766.34607,879.4319,915.0608,465.0836,897.8956,863.72614,554.86053,1115.7578,704.2444,583.1969,446.60916,494.48447,794.8259,1010.6294,992.624,815.3974,826.7785,480.75626,876.7616,756.5068,807.007
2000-01-18,744.90564,1193.4084,628.98193,784.2788,867.47015,718.4034,950.04865,1272.5168,1077.8248,869.02515,780.30475,893.36633,928.6603,479.24017,911.3735,877.5769,569.0477,1129.6809,718.1871,597.32465,460.97714,508.81937,807.9315,1024.0996,1006.036,828.7046,841.26904,494.36557,890.7242,770.5298,820.8362
