,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,39929.71,40436.637,40130.88,39998.52,39914.11,39783.383,40107.76,40252.637,40289.418,39976.58,40007.273,40114.746,40178.625,40006.97,40339.73,40331.938,39996.38,40094.375,40117.91,39831.137,39593.8,39744.105,40065.113,40104.414,40512.867,40134.77,39915.316,39719.35,40017.707,39896.906,40051.434
2019-06-21,39862.824,40371.246,40056.91,39933.375,39846.22,39711.465,40042.926,40179.055,40223.777,39914.242,39941.023,40048.375,40108.832,39941.316,40267.984,40263.656,39931.445,40029.117,40050.67,39766.59,39532.035,39681.5,39990.676,40034.332,40440.074,40061.973,39855.02,39650.023,39952.105,39831.902,39984.027
2019-06-22,39767.965,40277.477,39960.61,39838.938,39752.44,39616.105,39948.348,40084.86,40129.28,39820.52,39847.418,39953.562,40014.418,39844.598,40172.53,40168.297,39836.164,39935.934,39955.652,39671.324,39438.344,39586.15,39896.21,39939.816,40344.812,39966.957,39761.336,39554.605,39857.25,39736.258,39889.27
2019-06-23,39643.125,40151.91,39840.33,39713.004,39629.77,39496.168,39822.04,39967.41,40003.992,39692.613,39722.785,39828.492,39892.633,39716.5,40051.066,40043.52,39708.547,39811.688,39830.406,39544.33,39309.62,39457.234,39778.406,39818.61,40224.3,39847.336,39631.785,39431.65,39731.7,39609.9,39765.027
2019-06-24,39486.617,39991.67,39694.754,39553.59,39475.953,39350.508,39661.992,39824.65,39845.965,39527.723,39564.137,39671.62,39741.312,39556.453,39901.824,39887.37,39546.656,39653.734,39672.934,39384.52,39143.04,39293.617,39634.99,39668.88,40076.582,39701.258,39463.883,39280.152,39573.984,39452.246,39609.426
2019-06-25,39579.44,40085.754,39782.44,39647.723,39566.99,39438.203,39756.496,39910.3,39939.465,39624.246,39657.332,39764.68,39831.258,39651.82,39991.035,39979.992,39642.207,39746.664,39766.137,39479.336,39240.355,39390.375,39720.87,39758.184,40164.887,39788.78,39562.023,39370.766,39667.543,39546.28,39701.723
2019-06-26,39619.848,40127.168,39820.65,39688.742,39606.996,39476.24,39797.6,39947.977,39980.137,39666.47,39698.457,39805.12,39870.734,39692.723,40030.07,40020.45,39683.75,39787.492,39806.867,39520.23,39282.98,39432.01,39758.855,39797.234,40203.71,39827.152,39604.78,39410.062,39708.074,39586.55,39741.973
2019-06-27,39571.14,40078.23,39771.105,39640.207,39558.145,39427.527,39749.15,39898.89,39931.723,39618.08,39649.43,39756.555,39821.676,39644.18,39980.668,39971.242,39634.96,39739.008,39757.793,39472.016,39234.47,39383.99,39709.19,39748.375,40154.047,39777.855,39556.69,39361.273,39659.76,39538.676,39693.2
2019-06-28,39613.293,40119.574,39822.27,39680.19,39602.957,39476.02,39788.43,39951.1,39972.098,39654.668,39692.18,39797.953,39868.516,39682.65,40029.508,40015.258,39674.02,39780.336,39800.656,39510.105,39270.5,39419.07,39762.992,39795.348,40204.844,39828.453,39590.31,39406.406,39699.727,39576.62,39736.203
2019-06-29,39793.566,40297.555,40019.1,39856.47,39786.48,39667.285,39963.758,40147.496,40149.164,39824.754,39872.383,39976.848,40056.227,39858.668,40221.6,40199.27,39849.766,39957.56,39982.312,39683.94,39439.613,39588.1,39962.297,39983.31,40399.953,40023.01,39755.31,39592.03,39876.36,39750.586,39917.824
2019-06-30,40091.992,40593.414,40329.043,40152.05,40084.887,39972.027,40259.07,40453.387,40445.168,40116.086,40169.207,40274.31,40358.07,40157.75,40527.668,40500.953,40146.773,40251.58,40282.082,39979.21,39730.508,39880.977,40270.617,40285.18,40707.438,40329.49,40043.625,39893.996,40172.54,40046.18,40216.84
2019-07-01,40408.426,40907.645,40649.28,40467.37,40398.574,40288.727,40574.66,40767.45,40760.305,40429.77,40483.043,40590.45,40673.387,40478.934,40845.906,40819.246,40464.746,40563.54,40599.47,40296.246,40044.51,40198.27,40586.258,40600.355,41025.438,40646.18,40357.11,40211.61,40488.48,40363.477,40532.957
2019-07-02,40894.44,41399.453,41114.195,40958.785,40876.88,40752.336,41067.64,41222.68,41248.793,40931.48,40971.14,41077.16,41147.312,40975.87,41317.19,41305.17,40962.855,41049.582,41087.664,40790.156,40549.86,40700.46,41043.285,41071.16,41493.055,41109.895,40865.37,40687.992,40977.086,40853.492,41016.746
2019-07-03,41054.492,41562.473,41266.242,41120.96,41034.81,40903.86,41230.28,41372.06,41409.78,41097.824,41132.97,41237.37,41303.426,41138.723,41471.973,41465.28,41127.215,41210.48,41248.695,40952.504,40717.637,40865.7,41193.566,41225.914,41646.773,41262.08,41033.902,40844.176,41137.816,41013.945,41176.094
2019-07-04,40985.902,41493.47,41197.26,41052.434,40966.242,40835.87,41161.81,41303.86,41341.496,41029.188,41063.934,41168.94,41234.758,41070.066,41402.977,41396.117,41058.22,41142.14,41179.62,40884.305,40648.734,40797.504,41124.633,41157.562,41577.57,41193.41,40965.445,40775.75,41069.633,40946.258,41107.5
2019-07-05,40926.008,41433.48,41136.277,40992.777,40906.36,40775.832,41102.17,41243.547,41281.906,40969.734,41003.85,41109.227,41174.52,41010.137,41342.273,41335.645,40998.19,41082.668,41119.367,40824.887,40589.184,40738.246,41063.77,41097.508,41516.66,41132.83,40906.34,40715.73,41010.125,40887.098,41047.547
2019-07-06,40909.766,41417.32,41121.887,40976.1,40891.094,40761.023,41085.273,41229.992,41265.29,40952.375,40988.094,41092.816,41159.566,40992.457,41327.53,41319.723,40981.035,41066.676,41103.258,40807.523,40571.715,40720.09,41050.56,41082.57,41502.473,41118.656,40888.27,40700.105,40993.33,40869.582,41031.54
2019-07-07,40955.71,41463.39,41171.418,41021.266,40938.125,40809.098,41130.184,41279.78,41310.54,40996.508,41034.742,41138.355,41207.477,41036.8,41376.258,41366.7,41026.06,41112.406,41149.73,40851.62,40615.707,40763.082,41101.234,41130.32,41552.04,41167.953,40931.074,40746.934,41038.25,40913.344,41077.867
2019-07-08,40956.26,41460.656,41184.74,41018.547,40941.137,40820.09,41126.8,41294.004,41308.938,40988.176,41033.695,41138.18,41213.62,41034.24,41385.496,41368.957,41021.94,41110.555,41150.28,40848.004,40606.03,40755.535,41116.215,41137.516,41563.203,41179.797,40919.117,40752.496,41036.76,40911.13,41079.402
2019-07-09,41165.59,41669.48,41397.188,41227.082,41149.617,41029.69,41335.355,41503.266,41517.24,41195.84,41242.57,41347.08,41423.195,41245.082,41596.848,41579.92,41231.996,41317.71,41360.594,41056.605,40814.016,40963.906,41327.05,41346.69,41774.89,41390.4,41126.086,40962.41,41245.184,41119.29,41288.73
2019-07-10,41420.754,41925.395,41651.777,41482.426,41403.05,41281.527,41590.945,41753.83,41771.89,41452.18,41498.0,41601.93,41676.86,41502.88,41851.574,41836.562,41489.652,41571.242,41617.03,41312.137,41071.21,41220.48,41579.348,41599.465,42029.418,41643.348,41382.72,41216.473,41499.86,41373.676,41543.586
2019-07-11,41627.125,42131.8,41859.88,41688.38,41608.453,41487.004,41796.977,41958.82,41977.465,41657.957,41704.32,41807.918,41882.98,41710.844,42059.074,42044.43,41697.234,41775.87,41824.426,41518.094,41277.47,41426.598,41785.883,41805.04,42237.1,41849.86,41588.13,41422.812,41705.48,41578.938,41749.883
2019-07-12,41821.03,42325.87,42054.082,41882.215,41801.01,41679.062,41990.996,42149.836,42170.867,41852.15,41898.07,42001.57,42075.92,41906.87,42253.06,42239.496,41892.793,41968.21,42019.22,41712.21,41472.203,41621.344,41978.152,41997.434,42430.957,42042.605,41782.41,41616.24,41898.992,41772.41,41943.574
2019-07-13,41979.48,42484.887,42209.81,42041.312,41957.527,41833.684,42150.45,42302.51,42329.41,42012.715,42056.37,42160.016,42232.066,42068.176,42409.438,42398.41,42053.69,42125.664,42178.285,41872.047,41633.492,41782.664,42131.53,42153.0,42586.65,42197.316,41944.008,41773.242,42057.715,41931.59,42101.574
2019-07-14,42051.605,42558.445,42273.203,42115.58,42026.73,41898.207,42225.387,42363.406,42402.902,42090.656,42128.47,42232.668,42299.363,42144.43,42475.23,42469.52,42129.742,42198.137,42250.434,41947.86,41712.434,41861.63,42191.945,42219.652,42650.695,42260.71,42024.8,41842.016,42131.492,42006.758,42172.8
2019-07-15,41992.777,42502.023,42201.17,42060.04,41965.062,41829.543,42170.598,42290.69,42346.496,42040.4,42070.215,42174.812,42234.47,42089.395,42407.105,42408.33,42075.285,42141.49,42191.03,41893.996,41663.266,41811.816,42117.656,42154.15,42580.277,42190.152,41978.562,41778.52,42075.273,41952.234,42112.9
2019-07-16,41765.69,42277.297,41961.26,41836.16,41736.637,41594.645,41947.25,42053.11,42122.145,41821.332,41844.08,41948.836,42002.6,41863.742,42171.18,42178.016,41850.88,41918.03,41962.684,41671.266,41444.777,41592.336,41877.574,41922.113,42342.367,41953.035,41763.152,41547.336,41850.926,41729.3,41884.99
2019-07-17,41472.164,41984.598,41667.33,41542.844,41446.047,41303.55,41653.47,41764.8,41829.258,41527.85,41552.08,41655.54,41711.26,41565.566,41877.98,41883.047,41554.734,41627.75,41668.19,41376.52,41150.64,41296.39,41587.91,41631.26,42049.82,41661.863,41469.156,41254.21,41557.504,41434.84,41591.938
2019-07-18,41146.547,41656.863,41349.598,41215.25,41124.477,40987.83,41325.145,41453.266,41503.137,41196.184,41226.035,41329.81,41391.137,41233.992,41558.04,41556.7,41223.316,41303.44,41341.152,41047.582,40817.164,40963.83,41274.805,41312.652,41731.41,41345.76,41134.82,40932.52,41231.13,41107.78,41267.38
2019-07-19,40878.48,41386.754,41083.24,40946.617,40857.61,40724.547,41056.387,41190.477,41235.516,40925.734,40956.363,41062.137,41124.465,40964.203,41290.793,41286.953,40952.344,41036.09,41071.414,40779.562,40545.5,40694.617,41009.727,41047.33,41464.117,41080.465,40864.03,40666.324,40963.84,40841.746,40999.582
2019-07-20,40649.582,41158.164,40845.402,40719.773,40627.355,40491.36,40829.996,40954.46,41008.637,40701.56,40726.67,40834.26,40891.797,40737.082,41055.32,41055.06,40724.727,40809.223,40840.918,40554.504,40321.39,40471.797,40771.02,40815.164,41226.88,40844.426,40642.754,40435.246,40737.44,40617.516,40769.984
2019-07-21,40451.25,40964.7,40626.32,40526.695,40426.266,40278.266,40637.863,40736.973,40814.227,40517.066,40530.773,40637.35,40685.293,40541.883,40842.895,40852.75,40532.21,40616.105,40641.605,40362.773,40138.477,40285.812,40550.938,40607.645,41011.387,40629.03,40464.023,40229.45,40542.85,40424.344,40570.24
2019-07-22,39943.93,40457.996,40113.098,40020.77,39921.215,39771.65,40131.855,40231.457,40308.977,40012.504,40024.156,40130.926,40177.973,40030.594,40331.746,40341.656,40022.492,40113.56,40131.86,39856.668,39633.004,39779.777,40041.688,40101.484,40499.637,40119.965,39960.688,39721.383,40037.438,39919.53,40062.99
2019-07-23,39381.316,39894.258,39549.945,39458.11,39362.09,39214.797,39568.824,39677.082,39747.598,39448.617,39461.26,39568.97,39617.805,39462.414,39768.88,39775.594,39455.03,39554.863,39566.473,39293.598,39067.477,39214.98,39483.434,39543.184,39936.91,39560.59,39396.547,39160.387,39476.047,39358.688,39500.855
2019-07-24,38952.85,39464.44,39127.625,39028.01,38938.53,38795.586,39137.918,39262.805,39318.8,39015.12,39033.188,39140.434,39194.848,39026.49,39345.145,39345.72,39020.332,39129.105,39136.297,38861.63,38632.285,38779.38,39067.223,39121.805,39514.76,39141.0,38960.617,38735.344,39046.902,38928.336,39073.42
2019-07-25,38706.023,39214.926,38896.07,38777.387,38697.625,38563.285,38886.074,39037.58,39069.8,38757.824,38786.46,38892.723,38957.07,38771.062,39109.43,39099.957,38765.562,38882.562,38888.812,38608.074,38372.918,38519.91,38842.043,38885.547,39282.14,38910.25,38698.227,38494.664,38797.37,38676.336,38828.26
2019-07-26,38634.555,39139.305,38842.14,38701.496,38630.336,38506.805,38809.188,38986.44,38995.59,38674.297,38713.375,38820.246,38893.98,38693.953,39050.098,39030.55,38687.06,38808.73,38817.113,38530.426,38287.363,38436.55,38791.598,38823.96,39225.62,38855.047,38609.496,38430.08,38723.086,38600.645,38758.3
2019-07-27,38912.594,39412.656,39148.56,38972.586,38913.773,38804.2,39078.58,39292.047,39268.074,38934.223,38990.44,39096.125,39184.5,38965.195,39348.19,39314.613,38956.965,39081.207,39097.223,38797.9,38545.52,38695.67,39101.875,39115.188,39528.797,39157.457,38860.96,38717.785,38995.13,38868.742,39038.555
2019-07-28,39550.83,40048.902,39803.06,39607.023,39551.562,39448.52,39712.562,39938.32,39902.41,39563.555,39627.953,39732.633,39827.344,39605.05,39997.637,39959.066,39595.016,39712.703,39738.824,39431.05,39175.074,39325.9,39753.66,39756.95,40180.656,39806.277,39485.85,39360.0,39629.28,39500.723,39677.61
2019-07-29,40241.78,40738.066,40502.87,40295.812,40238.91,40139.566,40401.59,40627.12,40590.535,40249.984,40316.945,40422.445,40518.145,40302.25,40694.05,40655.066,40289.07,40396.41,40432.844,40120.727,39862.438,40015.457,40447.117,40446.492,40877.676,40499.914,40170.54,40052.47,40317.887,40189.28,40368.453
