,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,1218525.2,1168156.8,1166026.8,1182691.8,1166456.8,1150325.9,1203360.0,1175051.8,1159032.2,1159985.4,1284067.5,1169351.8,1140955.0,1201154.2,1169395.5,1223043.5,1273935.6,1182536.0,1178627.1,1159120.4,1174556.4,1326442.0,1150829.9,1175114.2,1217362.1,1247832.6,1211151.4,1176362.0,1299646.4,1170266.9,1196045.5
798,1226328.1,1175351.1,1174236.1,1189729.4,1174026.6,1156806.0,1210274.1,1182311.5,1166496.4,1167131.8,1291792.0,1176726.5,1148169.1,1208455.8,1176676.6,1231258.1,1282408.5,1190701.4,1185816.0,1166821.2,1181039.5,1333716.2,1158162.6,1182896.0,1225357.0,1256068.1,1218350.6,1183686.5,1307712.9,1178062.0,1203552.2
799,1235210.5,1183358.8,1182332.1,1198146.4,1182176.6,1164563.4,1218828.5,1190645.2,1174623.2,1175095.8,1300504.2,1184867.0,1156106.0,1216935.8,1185015.6,1239720.0,1291083.8,1198772.0,1194054.2,1174909.4,1189435.0,1342713.0,1166207.0,1191102.1,1233978.1,1264711.6,1226694.8,1191644.8,1316619.4,1186240.4,1211876.5
800,1241060.8,1188473.2,1186562.8,1204046.5,1187132.2,1170009.0,1225066.8,1196194.8,1179648.8,1180190.5,1306172.6,1190004.0,1161090.6,1222670.2,1190551.4,1244510.4,1295943.6,1203007.0,1199528.2,1179638.5,1195858.5,1349270.6,1171238.1,1195931.6,1239232.6,1269761.0,1232323.9,1196553.1,1322241.5,1191013.2,1217164.0
801,1243343.9,1190452.1,1188098.0,1206386.4,1189022.8,1172169.1,1227564.2,1198366.6,1181575.4,1182162.9,1308376.6,1191984.9,1163010.1,1224923.4,1192716.2,1246297.1,1297749.9,1204546.0,1201669.4,1181421.1,1198458.8,1351895.6,1173173.4,1197755.8,1241238.6,1271663.6,1234533.9,1198433.4,1324409.2,1192810.9,1219206.9
802,1237591.4,1184750.5,1179239.8,1202107.4,1182393.8,1168262.6,1224021.8,1193163.4,1175240.1,1176520.8,1302523.4,1185978.6,1157079.5,1219931.8,1187456.1,1238267.1,1289347.2,1195776.9,1196494.4,1174224.9,1195953.9,1348162.9,1167091.9,1190556.6,1234263.9,1263970.4,1229595.6,1192197.5,1317851.5,1185503.8,1213184.0
803,1219347.1,1167790.1,1159021.2,1185994.2,1164318.0,1153439.5,1208437.6,1176247.6,1157489.5,1159683.4,1284419.8,1168534.2,1139997.0,1203012.2,1170476.5,1218350.4,1268759.5,1175685.9,1179737.1,1155670.2,1181638.4,1331764.8,1149705.2,1171832.6,1215180.6,1244130.4,1212918.1,1174771.8,1298780.4,1166716.4,1195461.6
804,1192854.9,1143598.5,1132851.9,1161568.9,1139262.4,1130901.0,1184012.9,1151530.6,1132661.0,1135641.0,1258276.9,1143849.4,1115878.2,1177979.2,1145709.0,1191633.6,1241276.5,1149633.1,1155260.1,1130448.1,1158279.5,1306064.9,1125218.8,1146302.5,1188704.5,1217128.4,1188225.1,1150391.5,1271764.2,1141208.0,1170270.5
805,1164862.4,1118272.0,1107032.4,1135167.4,1113468.1,1106478.1,1157143.0,1125334.9,1106965.4,1110453.1,1230699.2,1118132.4,1090775.4,1151239.4,1119478.5,1164632.2,1213586.1,1123889.0,1129309.1,1104777.6,1132120.2,1277786.8,1099772.5,1120273.6,1161439.5,1189602.8,1161803.9,1125138.0,1243581.0,1115263.8,1143949.2
806,1139064.4,1094951.9,1083541.2,1110739.2,1089807.5,1083838.0,1132167.4,1101194.5,1083370.0,1087254.2,1205246.2,1094488.6,1067691.1,1126521.5,1095303.5,1139904.6,1188244.1,1100450.8,1105374.0,1081274.6,1107773.8,1251493.0,1076381.1,1096437.2,1136435.2,1164360.6,1137329.5,1101918.9,1217639.0,1091513.9,1119723.6
