,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,81668.25,81370.96,81503.77,81425.54,81034.92,81967.94,81498.08,81458.33,82396.516,81880.28,82559.9,80989.26,81762.81,81313.71,81292.805,82389.55,81828.45,81399.84,81653.1,81725.29,81675.41,81322.055,81875.55,81681.78,81201.484,81592.84,81622.91,81178.65,81138.164,81003.9,81580.41
1,80867.266,80563.59,80682.12,80597.21,80202.33,81120.97,80649.086,80601.98,81528.055,81008.4,81681.99,80115.48,80879.48,80431.44,80408.75,81492.89,80933.24,80505.625,80752.86,80823.38,80775.06,80420.09,80966.82,80775.22,80298.24,80685.47,80715.664,80271.35,80232.38,80098.44,80702.84
2,79920.03,79620.88,79733.18,79649.55,79259.05,80169.57,79705.24,79657.6,80577.625,80061.805,80735.78,79181.76,79940.99,79500.87,79482.266,80556.914,80004.555,79582.85,79828.08,79900.58,79858.17,79505.195,80048.25,79862.78,79394.48,79779.76,79812.88,79371.75,79335.57,79204.53,79774.75
3,78432.29,78173.66,78303.516,78243.62,77883.87,78801.336,78372.73,78341.71,79269.52,78775.984,79465.64,77947.516,78710.77,78295.88,78295.86,79364.46,78833.87,78429.39,78680.664,78762.37,78735.72,78392.13,78936.24,78766.68,78321.36,78708.56,78750.164,78319.6,78287.62,78165.375,78558.93
4,78677.85,78448.52,78607.836,78572.086,78236.55,79181.27,78778.71,78771.8,79726.08,79256.17,79969.77,78473.23,79260.26,78866.586,78887.695,79979.62,79468.67,79082.164,79354.6,79453.89,79444.24,79118.91,79684.0,79531.22,79104.79,79509.2,79567.07,79153.57,79133.055,79026.2,79144.18
5,79652.63,79456.336,79655.82,79648.06,79338.34,80320.734,79943.195,79964.266,80953.0,80506.54,81246.234,79763.99,80579.91,80202.74,80242.94,81365.8,80869.21,80495.91,80790.94,80905.34,80907.13,80597.2,81184.914,81042.445,80627.234,81048.21,81117.445,80716.375,80701.61,80605.125,80481.65
6,81121.27,80929.79,81149.05,81147.76,80840.016,81842.79,81462.4,81491.23,82496.234,82050.13,82795.11,81299.39,82127.32,81742.57,81780.69,82921.53,82417.055,82037.16,82338.18,82451.18,82445.516,82133.94,82729.086,82578.125,82151.66,82576.086,82640.8,82235.39,82214.695,82113.56,82008.65
7,83018.14,82797.92,83013.18,82995.95,82664.945,83671.47,83261.13,83279.78,84285.59,83821.055,84555.18,83023.74,83853.01,83443.57,83465.1,84618.32,84091.89,83694.14,83992.48,84096.66,84074.04,83753.5,84350.57,84182.47,83731.97,84156.29,84211.66,83795.46,83768.234,83657.82,83710.85
8,85100.09,84824.7,85016.92,84967.91,84595.34,85593.77,85135.24,85132.27,86128.945,85635.08,86349.1,84769.414,85594.92,85152.18,85149.62,86313.234,85758.34,85338.4,85630.26,85723.44,85680.734,85349.05,85946.77,85758.46,85278.01,85701.56,85747.15,85318.2,85286.89,85166.13,85438.086
9,85744.61,85458.97,85650.19,85596.63,85216.72,86217.945,85750.42,85745.7,86744.63,86246.61,86959.18,85369.42,86198.055,85749.414,85743.55,86914.164,86354.35,85930.96,86224.45,86317.26,86271.44,85939.38,86540.63,86348.99,85862.83,86288.71,86333.78,85903.66,85872.54,85750.93,86041.54
10,85937.42,85663.98,85867.83,85823.59,85452.914,86465.08,86006.67,86010.63,87019.49,86529.09,87249.6,85665.66,86502.23,86059.266,86059.5,87238.04,86683.12,86263.95,86563.8,86660.93,86618.8,86291.19,86898.414,86710.24,86228.22,86658.58,86706.93,86280.56,86250.94,86132.46,86349.97
11,86444.03,86159.93,86359.98,86309.1,85929.664,86940.336,86471.09,86469.89,87476.42,86978.49,87693.555,86097.35,86931.81,86479.66,86472.92,87652.32,87088.97,86662.69,86959.266,87051.74,87002.7,86670.234,87275.38,87080.086,86588.87,87016.8,87060.164,86628.37,86594.98,86471.555,86767.27
12,86645.79,86343.67,86530.016,86466.05,86072.21,87071.91,86586.64,86573.73,87569.414,87058.875,87762.5,86151.836,86977.17,86512.74,86495.08,87667.54,87093.21,86657.39,86945.54,87030.234,86972.375,86631.91,87229.72,87025.766,86523.78,86945.64,86982.02,86542.56,86504.695,86374.62,86798.16
