,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4701.8633,4654.504,4722.5957,4688.945,4711.558,4683.161,4685.897,4670.917,4651.007,4695.9917,4667.726,4691.711,4720.3994,4658.2983,4722.5654,4628.1646,4681.1006,4691.321,4678.0894,4697.9614,4686.309,4662.9683,4721.557,4691.51,4667.0044,4690.6562,4690.818,4699.6953,4704.113,4673.9185,4686.4116
2021-11-25,4702.8545,4655.406,4723.551,4689.8506,4712.4863,4684.067,4686.8145,4671.87,4651.8555,4696.875,4668.6406,4692.649,4721.2964,4659.1753,4723.537,4629.04,4681.971,4692.3057,4679.012,4698.936,4687.271,4663.887,4722.5166,4692.477,4667.945,4691.607,4691.835,4700.622,4705.0527,4674.8257,4687.3413
2021-11-26,4701.2173,4653.9795,4721.9287,4688.421,4710.8896,4682.5703,4685.322,4670.3633,4650.4062,4695.36,4667.1694,4691.0483,4719.7783,4657.717,4721.8994,4627.619,4680.499,4690.7163,4677.486,4697.352,4685.7026,4662.3486,4720.924,4690.91,4666.467,4690.002,4690.229,4699.1724,4703.4966,4673.348,4685.8115
2021-11-27,4700.7573,4653.484,4721.5386,4687.922,4710.5347,4682.15,4684.868,4669.839,4650.0693,4695.0166,4666.6978,4690.6753,4719.406,4657.3213,4721.4883,4627.182,4680.136,4690.216,4677.0596,4696.869,4685.232,4661.947,4720.4883,4690.425,4665.94,4689.6025,4689.6675,4698.6445,4703.0654,4672.902,4685.3716
2021-11-28,4702.0283,4654.67,4722.743,4689.113,4711.6963,4683.3115,4686.0557,4671.093,4651.136,4696.1245,4667.888,4691.8545,4720.5396,4658.442,4722.7188,4628.3164,4681.237,4691.494,4678.2427,4698.13,4686.474,4663.116,4721.715,4691.678,4667.18,4690.805,4691.006,4699.87,4704.268,4674.0747,4686.5674
2021-11-29,4700.239,4653.0864,4720.9863,4687.5244,4709.975,4681.676,4684.4146,4669.4185,4649.57,4694.489,4666.265,4690.124,4718.8936,4656.851,4720.941,4626.7534,4679.6406,4689.743,4676.5747,4696.3887,4684.752,4661.441,4719.977,4689.9536,4665.535,4689.064,4689.221,4698.2544,4702.5684,4672.4517,4684.892
2021-11-30,4682.304,4637.19,4703.3926,4671.5645,4692.727,4665.265,4667.947,4652.6147,4633.863,4678.0913,4649.9663,4672.7905,4702.3867,4640.895,4703.1255,4611.0728,4663.6353,4672.175,4659.8438,4678.938,4667.4863,4644.651,4702.5586,4672.656,4649.018,4671.6167,4671.324,4682.024,4685.527,4656.1646,4668.0938
2021-12-01,4647.063,4605.3257,4669.208,4639.472,4659.2993,4632.9478,4635.2886,4618.928,4603.3096,4646.252,4617.492,4639.161,4670.155,4609.543,4668.3647,4579.9995,4632.3774,4637.287,4626.8955,4644.4526,4633.373,4611.77,4668.372,4638.3657,4615.839,4637.618,4635.5176,4649.3125,4652.033,4623.882,4634.963
2021-12-02,4603.776,4566.134,4627.164,4599.8457,4618.0205,4593.1167,4595.0244,4577.503,4565.54,4606.899,4577.4556,4597.758,4630.325,4570.8755,4625.5557,4541.785,4593.754,4594.391,4586.2686,4602.16,4591.471,4571.2324,4626.3203,4596.212,4575.05,4595.7866,4591.641,4609.032,4610.8105,4584.0913,4594.1665
2021-12-03,4575.204,4539.696,4599.7554,4573.017,4591.1797,4566.7544,4568.1694,4549.5654,4540.8755,4581.2524,4550.617,4570.819,4604.2007,4545.3447,4597.5176,4516.327,4568.422,4565.7544,4559.3804,4574.08,4563.6465,4544.558,4598.598,4568.12,4547.4814,4568.422,4562.1206,4581.707,4583.585,4557.571,4567.125
2021-12-04,4566.171,4531.451,4591.0005,4564.6387,4582.554,4558.4053,4559.708,4540.8555,4532.965,4573.015,4542.191,4562.1943,4595.851,4537.2397,4588.58,4508.321,4560.324,4556.7646,4550.86,4565.2554,4554.8867,4536.073,4589.813,4559.2915,4538.9023,4559.699,4552.9375,4573.211,4574.9624,4549.213,4558.578
2021-12-05,4559.87,4525.6685,4584.914,4558.7573,4576.563,4552.5776,4553.7915,4534.747,4527.4634,4567.291,4536.2915,4556.2017,4590.038,4531.587,4582.36,4502.723,4554.6875,4550.4756,4544.9136,4559.089,4548.7666,4530.16,4583.688,4553.118,4532.882,4553.629,4546.4995,4567.243,4568.9473,4543.37,4552.611
2021-12-06,4557.596,4523.5464,4582.7407,4556.5977,4574.433,4550.474,4551.6426,4532.505,4525.5034,4565.254,4534.1396,4554.067,4587.958,4529.5513,4580.1323,4500.6895,4552.6714,4548.1865,4542.768,4556.851,4546.5474,4528.036,4581.481,4550.8735,4530.6675,4551.4565,4544.136,4565.044,4566.778,4541.249,4550.4526
