,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,331.15762,404.74753,349.40707,430.08188,294.54904,399.84457,293.5602,206.27705,531.90576,376.3389,222.42805,246.6246,334.54968,488.79242,291.38495,376.26718,275.78976,463.3035,225.58891,470.64685,360.42902,543.11755,350.2175,246.32137,197.87935,360.7818,419.91806,333.42874,404.71176,358.3555,352.94687
2000-01-10,247.21635,308.7244,403.56326,305.9673,148.66872,417.29477,296.66022,280.0082,473.2889,304.3305,372.99423,244.83943,393.34183,541.4426,347.19882,524.21906,341.53223,345.25012,281.67133,408.12442,417.4501,312.70465,381.83035,431.8483,213.43272,382.69064,455.26556,414.47278,265.1158,301.26257,352.08035
2000-01-11,326.39096,408.09283,295.75128,377.52533,269.51205,419.91327,296.7375,315.33804,414.94434,251.72021,347.5262,294.6745,262.58743,460.1871,415.42288,436.2659,307.8621,335.24274,291.9183,424.2121,367.087,399.56674,404.49835,312.93417,232.25133,337.73145,418.27237,310.025,333.80167,348.8926,347.22952
2000-01-12,317.31958,399.9372,286.95728,368.69556,260.8822,411.61917,287.46384,306.72723,406.2431,242.77737,339.2095,286.49252,253.40038,452.1665,406.734,428.34396,299.2005,326.09702,282.61942,415.9691,358.51007,391.66028,395.6537,304.2145,222.83257,329.03052,410.32788,301.41852,324.66666,339.88226,338.56845
2000-01-13,333.06512,413.81116,302.85895,383.80338,276.75925,425.83215,303.1253,321.67322,421.06287,259.24957,354.19946,301.5816,269.37112,466.68768,422.10837,442.06323,315.6374,342.0583,298.94653,430.3111,373.3099,407.0905,410.56885,319.3375,239.01424,345.11584,424.6692,317.08508,340.0314,354.80222,353.84097
2000-01-14,356.75232,434.8109,326.55325,406.63553,300.33258,447.32178,326.88437,344.1871,443.50256,283.67996,376.58344,323.9829,293.4281,488.33463,445.13425,462.7703,339.81442,366.0411,323.41934,451.90106,395.61777,429.66342,433.2034,342.1227,263.4496,368.91904,446.05347,340.4122,363.34796,377.57056,376.74765
2000-01-15,379.5541,444.4249,290.3659,366.89136,302.85013,473.1382,350.50757,460.40454,327.7699,160.16905,511.89822,391.115,234.05104,468.85782,566.5049,532.08057,379.0799,246.55042,412.14154,415.6417,410.28134,295.52844,492.5828,434.8882,316.1923,368.9912,464.1064,328.37497,308.75073,373.9129,383.58688
2000-01-16,462.43515,567.79865,258.10278,508.7273,460.89282,487.34116,358.2928,416.1111,419.22086,252.53606,388.91385,409.64862,193.1771,438.65335,545.5288,400.1704,348.27142,393.40796,356.2033,501.16278,383.8466,552.0983,487.7091,248.37816,306.8062,365.26663,431.52744,267.24988,465.37534,460.49124,404.51154
2000-01-17,409.89612,482.038,379.72693,457.9683,353.28003,495.71112,380.3605,394.82794,494.0277,338.46832,426.94736,374.3431,347.56897,536.9835,496.80774,509.4744,393.88757,419.8617,378.23743,500.4548,445.71695,480.21954,484.14655,393.37372,318.40735,422.1601,494.0734,392.84717,415.76035,428.9179,428.2165
2000-01-18,403.56326,476.5426,373.08157,451.9551,346.5312,490.02362,374.18826,388.78873,488.1336,331.48206,420.67026,367.90665,341.0944,530.8929,490.50833,503.90997,386.7827,413.41068,371.62286,494.6481,439.78915,473.375,478.27673,387.2673,311.93436,415.35364,488.0839,386.24393,409.74387,423.13235,421.96463
