,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4705.159,4710.905,4690.5264,4701.0967,4743.134,4713.1504,4673.4233,4710.7866,4703.4487,4714.9556,4650.251,4677.8906,4696.317,4676.9043,4706.797,4698.4785,4689.336,4692.4287,4720.4336,4676.0693,4666.2324,4727.81,4640.8467,4710.0864,4715.245,4727.4204,4684.5176,4712.4194,4686.295,4696.3213,4697.2896
2021-11-25,4706.1694,4711.931,4691.536,4702.0913,4744.161,4714.242,4674.4766,4711.786,4704.512,4715.9956,4651.2217,4678.891,4697.352,4677.889,4707.8447,4699.511,4690.3604,4693.413,4721.5093,4677.031,4667.1997,4728.8394,4641.7725,4711.132,4716.3374,4728.5303,4685.529,4713.481,4687.314,4697.32,4698.3125
2021-11-26,4704.4487,4710.205,4689.853,4700.4653,4742.382,4712.4136,4672.645,4710.056,4702.711,4714.249,4649.6235,4677.198,4695.607,4676.1943,4706.0864,4697.802,4688.564,4691.7153,4719.6772,4675.4404,4665.5317,4727.061,4640.2124,4709.3516,4714.444,4726.5864,4683.8647,4711.72,4685.594,4695.5874,4696.5767
2021-11-27,4704.043,4709.766,4689.403,4699.9834,4742.0054,4711.9375,4672.268,4709.6875,4702.272,4713.802,4649.1665,4676.782,4695.17,4675.82,4705.634,4697.327,4688.215,4691.3457,4719.244,4674.9966,4665.1675,4726.6777,4639.822,4708.9307,4714.045,4726.204,4683.388,4711.238,4685.1655,4695.2227,4696.1577
2021-11-28,4705.314,4711.0674,4690.6904,4701.266,4743.2837,4713.3257,4673.575,4710.933,4703.6143,4715.1216,4650.414,4678.047,4696.4795,4677.0513,4706.9644,4698.65,4689.48,4692.5747,4720.598,4676.2285,4666.376,4727.962,4640.992,4710.2466,4715.4043,4727.577,4684.6875,4712.594,4686.4556,4696.467,4697.4478
2021-11-29,4703.453,4709.193,4688.857,4699.4824,4741.371,4711.3364,4671.6094,4709.072,4701.6626,4713.223,4648.6646,4676.212,4694.586,4675.2246,4705.0527,4696.7812,4687.556,4690.7466,4718.6167,4674.4907,4664.5786,4726.048,4639.3,4708.321,4713.369,4725.4946,4682.8667,4710.673,4684.59,4694.604,4695.5684
2021-11-30,4684.8496,4690.449,4670.5156,4681.6187,4722.2607,4691.456,4651.9863,4690.47,4682.1587,4694.2495,4631.162,4657.8594,4675.655,4656.9785,4685.939,4678.0957,4668.3496,4672.47,4698.8237,4657.103,4646.6133,4706.9146,4622.3735,4689.0728,4693.046,4704.7153,4664.6436,4691.4585,4665.94,4675.9995,4676.7744
2021-12-01,4648.914,4654.06,4634.7705,4646.4736,4685.6255,4652.8545,4614.5117,4654.7783,4644.454,4657.3975,4596.859,4622.2896,4638.9507,4621.9277,4648.81,4641.5723,4631.734,4637.3374,4660.6724,4623.0703,4612.052,4670.15,4589.5312,4651.8945,4654.1675,4665.1426,4628.924,4653.959,4629.795,4640.332,4640.433
2021-12-02,4604.999,4609.636,4591.134,4603.504,4640.867,4605.833,4568.86,4611.137,4598.484,4612.4106,4554.964,4578.8022,4594.145,4579.1597,4603.501,4596.974,4587.0117,4594.3623,4614.1978,4581.4683,4569.737,4625.1636,4549.4004,4606.4907,4606.792,4616.9336,4585.3013,4608.2124,4585.6797,4596.7363,4596.063
2021-12-03,4576.5728,4580.7227,4562.6133,4575.121,4612.147,4575.233,4539.698,4583.102,4568.7095,4583.1143,4527.4106,4550.5474,4565.026,4551.648,4573.997,4567.7324,4558.498,4566.693,4584.196,4554.1406,4542.4663,4596.2173,4523.2905,4577.1094,4576.4707,4586.239,4556.607,4578.2695,4557.0195,4568.761,4567.3125
2021-12-04,4567.5093,4571.5503,4553.5933,4566.197,4602.935,4565.5483,4530.3433,4574.111,4559.2446,4573.824,4518.731,4541.5596,4555.78,4542.8516,4564.6455,4558.503,4549.314,4557.8286,4574.644,4545.5146,4533.727,4586.937,4514.9956,4567.7466,4566.755,4576.3696,4547.57,4568.8174,4547.918,4559.784,4558.1616
2021-12-05,4561.2183,4565.1733,4547.316,4559.969,4596.555,4558.8154,4523.871,4567.8813,4552.6724,4567.365,4512.68,4535.3145,4549.3545,4536.7544,4558.1436,4552.0747,4542.963,4551.683,4568.0176,4539.504,4527.6675,4580.506,4509.2305,4561.248,4560.03,4569.547,4541.27,4562.2363,4541.5938,4553.567,4551.807
2021-12-06,4558.976,4562.8896,4545.0596,4557.7144,4594.298,4556.401,4521.5854,4565.676,4550.326,4565.0503,4510.495,4533.083,4547.0557,4534.591,4555.814,4549.759,4540.7275,4549.5044,4565.6567,4537.3364,4525.519,4578.227,4507.167,4558.932,4557.6514,4567.1445,4538.994,4559.867,4539.3315,4551.368,4549.54
