,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4655.296,4687.777,4670.9946,4629.022,4653.0547,4666.406,4646.6377,4666.4727,4626.113,4684.5996,4681.757,4701.475,4673.5522,4624.9624,4658.8096,4656.7925,4659.881,4670.016,4670.238,4662.762,4646.6245,4662.2515,4687.1533,4652.831,4668.4727,4643.423,4668.134,4714.3433,4634.8125,4673.5195,4663.2725
2021-11-25,4655.878,4688.6626,4671.8438,4629.9136,4653.7456,4667.25,4647.459,4667.3784,4626.828,4685.4585,4682.309,4702.349,4674.4097,4625.669,4659.453,4657.6206,4660.549,4670.844,4671.0527,4663.645,4647.474,4663.0664,4688.005,4653.672,4669.339,4644.201,4668.706,4715.223,4635.626,4674.2046,4664.061
2021-11-26,4649.3545,4684.7583,4668.839,4627.711,4649.154,4664.048,4644.248,4664.4507,4623.1235,4682.2646,4676.058,4698.213,4671.371,4621.1646,4653.9897,4654.2344,4655.717,4667.2466,4667.2847,4661.1323,4644.466,4659.6387,4683.656,4649.7983,4666.158,4640.8486,4663.08,4712.0703,4632.3813,4669.4077,4660.1953
2021-11-27,4655.764,4687.28,4670.369,4628.174,4652.978,4665.8276,4646.094,4665.75,4625.8223,4683.9995,4682.2134,4701.041,4672.923,4624.8447,4658.976,4656.275,4659.8857,4669.541,4669.816,4661.9897,4646.0,4661.7603,4686.795,4652.3926,4667.859,4642.97,4668.4365,4713.7026,4634.288,4673.4917,4662.908
2021-11-28,4653.987,4687.307,4670.731,4628.9863,4652.2974,4666.09,4646.3057,4666.2617,4625.5938,4684.294,4680.499,4700.94,4673.2847,4624.2363,4657.804,4656.42,4659.0493,4669.5903,4669.7607,4662.6426,4646.3594,4661.8604,4686.5513,4652.343,4668.175,4643.03,4667.046,4714.0596,4634.4673,4672.7075,4662.756
2021-11-29,4648.974,4683.969,4668.0566,4626.8564,4648.5933,4663.2783,4643.5024,4663.6064,4622.5063,4681.48,4675.6997,4697.4443,4670.582,4620.5835,4653.509,4653.488,4655.1875,4666.5073,4666.565,4660.298,4643.684,4658.9067,4682.9185,4649.0557,4665.3647,4640.153,4662.6797,4711.2617,4631.645,4668.8594,4659.5073
2021-11-30,4600.8833,4651.5,4641.9106,4605.8447,4612.8286,4635.841,4616.1587,4637.595,4592.5615,4654.005,4629.66,4663.4844,4644.1636,4585.285,4612.159,4624.9033,4617.9424,4636.511,4635.875,4637.2573,4617.5254,4630.145,4647.6865,4617.8857,4637.923,4612.1577,4620.737,4683.918,4604.1353,4631.732,4628.0073
2021-12-01,4557.719,4610.4087,4605.5264,4571.5303,4574.4937,4598.799,4579.7266,4599.918,4557.136,4616.6035,4588.468,4621.764,4607.4336,4546.831,4571.5635,4587.4907,4579.2573,4598.324,4597.8564,4601.9404,4581.139,4593.011,4605.965,4579.5674,4600.349,4576.389,4581.5454,4645.974,4567.8105,4592.6924,4589.9077
2021-12-02,4503.5884,4559.755,4560.8545,4529.642,4526.8804,4553.258,4534.9155,4553.7217,4513.3374,4570.643,4536.808,4570.264,4562.3354,4499.1064,4520.915,4541.438,4531.1323,4551.2656,4550.9556,4558.7334,4536.4604,4547.2783,4554.4014,4532.3145,4554.177,4532.3237,4532.5195,4599.3613,4523.121,4544.1553,4542.855
2021-12-03,4511.995,4545.864,4544.273,4508.0083,4522.92,4537.72,4520.224,4534.8022,4504.575,4554.579,4545.0635,4557.799,4545.636,4494.185,4522.6655,4527.2695,4529.109,4538.0625,4538.9077,4538.7935,4519.895,4533.7715,4543.7437,4519.77,4537.777,4519.7896,4537.31,4582.324,4508.878,4541.282,4532.233
