,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,132.79575,511.44638,415.29077,344.99274,454.8124,331.46155,514.1366,264.09427,304.87634,350.87863,370.9207,147.31212,376.54755,445.74994,476.07816,339.3342,306.11163,400.13287,307.15845,431.25168,323.65552,346.94675,385.9473,356.65723,413.2421,556.36334,294.15002,175.7993,204.59953,290.83032,352.45248
2000-01-10,413.22745,347.49734,543.6138,398.81152,314.90448,422.7525,343.5843,357.68292,289.02466,282.2633,346.24826,318.00082,341.80725,297.79346,307.11218,350.83368,383.8753,268.51083,387.7666,323.27408,336.85654,409.3741,369.56174,323.49136,284.9756,252.76158,413.05447,396.09027,272.25003,356.23505,348.44122
2000-01-11,317.7358,360.8296,347.1294,301.64487,302.54385,327.57703,315.49127,333.65805,333.80432,321.6692,354.30045,320.45886,327.9016,310.0164,316.9205,348.13965,356.64188,314.82843,305.52908,321.2384,362.44928,351.30298,287.96817,326.1207,318.78467,322.4038,281.736,317.9861,310.30252,287.718,323.49435
2000-01-12,316.6867,364.96164,348.00607,311.93002,310.30832,331.44336,324.5559,331.7196,331.44644,326.83813,355.81583,319.2483,336.44696,312.76706,318.44806,352.22195,367.3629,312.8857,312.02533,324.02356,371.6544,350.39807,289.11252,328.88834,324.82794,326.85184,285.91034,330.2261,314.02722,290.0026,327.36807
2000-01-13,335.94354,387.05566,366.61844,340.25464,335.6138,352.62238,350.03964,351.28354,350.39288,348.8855,376.64313,338.75604,360.43716,335.24078,340.8478,374.53067,393.97787,335.8175,336.52844,345.5283,398.25143,367.4368,309.2243,349.80942,346.70883,349.77893,308.6905,357.2817,337.11725,311.68225,349.76666
2000-01-14,359.00134,409.02444,386.89615,364.5969,358.71448,373.70178,372.0046,374.6286,373.743,370.09695,398.97144,361.1504,381.47998,357.56256,364.7825,396.38406,414.94565,361.89966,359.59653,368.57385,420.21512,387.55658,331.00183,371.2594,367.2045,372.4671,332.64203,379.30136,360.48016,335.8405,372.19077
2000-01-15,492.796,435.25415,456.28864,436.4372,463.47153,323.92593,305.52866,487.44925,451.822,586.11194,403.5439,593.2693,245.94922,493.1374,250.68127,574.9802,410.72427,630.6473,374.91327,280.8568,407.13815,296.6297,341.167,328.58295,327.73367,396.34277,356.68536,417.95187,481.8317,324.35886,412.54037
2000-01-16,406.84058,474.1369,495.8234,334.7098,424.2466,388.79645,526.41486,399.18246,393.00784,480.68826,475.53278,333.5767,481.54785,455.37335,400.90433,434.1334,452.46826,396.3266,383.50116,398.15817,450.25735,355.34457,359.84106,428.49945,501.05008,470.8231,351.86487,360.85645,470.15213,305.3286,419.6463
2000-01-17,409.2589,455.55017,430.49826,407.5484,401.3389,418.43445,416.7716,425.81805,422.62653,414.51428,446.8307,409.60596,426.47644,404.21524,416.38785,442.06958,455.29398,410.0558,407.8823,422.32492,464.08087,430.8392,377.9726,416.81305,411.55896,420.3489,384.09726,423.48282,410.92328,386.59454,419.0071
2000-01-18,394.86032,435.5956,415.4902,380.97385,378.98566,399.14786,390.81973,411.47623,410.17392,394.1185,429.69635,395.10617,400.57864,385.86737,397.54898,421.98593,426.90176,393.48755,384.78748,401.543,435.99017,416.9783,361.42993,398.69073,390.01907,399.65808,362.64673,394.71722,389.99014,367.7017,398.89893
2000-01-19,395.03244,441.2161,417.75494,393.16922,388.0521,404.9566,402.00845,411.99768,409.7542,400.71902,432.73755,395.82962,411.45734,390.21542,400.95862,427.82794,441.74777,395.711,392.7387,405.99756,448.96793,418.34406,364.0641,403.1102,397.61874,405.64233,368.58246,408.41022,395.52795,371.59854,404.72498
2000-01-20,408.95447,456.1046,430.59308,409.3341,402.6054,418.8937,418.37296,425.51477,422.20035,415.33923,447.16953,409.40808,428.01782,404.64337,416.64325,442.9655,457.76108,410.1057,408.911,422.7168,466.2292,430.79327,378.14722,417.26053,412.5905,421.04227,384.6975,425.51306,411.52576,386.92072,419.69913
2000-01-21,413.08676,457.8018,433.16934,407.1016,401.7167,420.51947,416.79126,429.47763,426.28586,415.9163,449.59204,413.11285,426.67734,406.48196,419.33206,443.4262,453.1708,413.17963,409.1683,424.81097,463.0513,433.77673,380.8163,418.9729,412.45477,422.30362,386.02094,422.6878,413.22244,389.2957,420.78073
2000-01-22,412.05075,456.48584,432.15045,405.5368,400.36554,419.35306,415.2421,428.4508,425.4255,414.63467,448.44208,412.0856,425.12302,405.28253,418.0637,442.09723,451.532,412.0467,407.731,423.49908,461.33963,432.80087,379.66064,417.7919,411.14935,420.95706,384.65118,421.00842,411.84024,388.0436,419.49472
2000-01-23,407.62354,451.2592,427.9626,399.79657,395.29315,414.52942,409.48877,424.10526,421.59442,409.66443,443.75415,407.7399,419.32303,400.48596,412.90814,437.18002,445.771,407.36688,402.2005,418.26276,455.1422,428.7763,374.94415,413.0798,406.16754,415.6618,379.28665,414.89563,406.43854,382.98575,414.45627
2000-01-24,398.802,441.6771,419.85748,389.72266,386.1967,405.46112,399.2741,415.50705,413.5525,400.49084,434.73877,399.1438,408.97983,391.4025,403.01688,427.99304,436.0831,398.27444,392.06223,407.7541,444.59036,420.91855,366.20633,404.17328,396.83682,406.0153,369.2341,404.24838,396.37677,373.32922,405.064
2000-01-25,383.62357,425.81113,405.9652,372.69415,370.77124,390.02026,381.97775,400.18326,399.74225,384.86957,419.3,384.31165,391.45425,375.8795,386.4256,412.3221,419.16284,382.9499,374.81506,389.7368,427.4533,407.4587,351.2345,388.95667,380.88162,389.58362,351.8767,386.27118,379.20023,356.8083,389.05807
2000-01-26,379.40945,424.75327,403.4046,375.35046,371.95892,389.43118,383.9384,395.8449,395.26443,384.4843,416.77704,380.5523,393.159,374.13654,383.7865,411.2779,423.13986,379.868,374.79797,387.3493,429.97665,404.62558,348.59387,387.34473,381.016,388.58856,350.57764,389.57877,377.7185,354.50363,388.04034
2000-01-27,367.17325,410.02975,391.45654,357.35855,355.54263,374.94617,366.08902,383.49658,383.5219,369.60904,403.31284,368.32248,376.30182,360.14026,369.2863,396.735,404.10483,367.84604,358.13837,372.26782,411.8723,393.3999,335.64862,373.5688,365.51755,373.282,334.8187,370.2938,362.37717,339.86713,373.21085
2000-01-28,360.45364,405.8518,386.40863,356.09854,352.53656,371.43936,364.1821,376.62164,376.168,366.05365,397.97742,362.04703,374.26804,355.4507,363.61636,392.6089,403.55676,362.27475,354.5601,366.94006,410.30768,388.29166,330.30963,369.054,362.35962,369.04053,330.1831,369.39154,357.66254,334.4937,369.00693
2000-01-29,356.06586,401.38068,382.4373,351.43036,347.65384,367.12473,359.41513,372.21252,371.7234,361.67407,393.57538,357.75275,369.7247,351.05185,358.89124,388.19275,398.756,358.1771,349.73874,362.26987,405.59784,384.4669,326.03384,364.74527,358.08502,364.4134,325.36484,364.48074,352.9431,329.79648,364.50586
