,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4680.494,4675.7983,4719.1836,4651.1294,4659.18,4671.765,4676.523,4601.011,4680.0366,4645.4824,4727.282,4693.4414,4697.2637,4704.6675,4701.6064,4673.2036,4691.249,4645.1123,4658.7383,4703.9146,4694.8745,4682.6455,4663.8286,4676.983,4673.369,4675.039,4705.4146,4674.401,4711.9224,4724.3164,4681.3286
2021-11-25,4681.43,4676.7275,4720.2056,4652.0483,4660.0312,4672.721,4677.491,4601.8984,4681.0312,4646.382,4728.3027,4694.423,4698.2476,4705.666,4702.569,4674.1343,4692.2104,4646.0044,4659.655,4704.89,4695.8335,4683.643,4664.7236,4677.866,4674.2524,4675.931,4706.331,4675.2905,4712.9155,4725.336,4682.273
2021-11-26,4679.198,4674.3975,4718.377,4650.163,4658.375,4670.984,4675.677,4600.4507,4679.089,4644.597,4725.685,4692.6367,4696.136,4703.8315,4700.373,4672.2393,4690.645,4644.5117,4658.219,4703.341,4693.362,4681.9287,4662.637,4675.596,4672.436,4673.666,4704.2534,4672.918,4710.8125,4723.5166,4680.335
2021-11-27,4679.588,4674.9224,4718.072,4650.1777,4658.2812,4670.73,4675.4863,4600.017,4678.987,4644.5386,4726.331,4692.38,4696.263,4703.592,4700.6543,4672.238,4690.171,4644.1226,4657.7,4702.812,4693.984,4681.546,4662.9517,4676.1606,4672.454,4674.2017,4704.5044,4673.591,4710.9067,4723.2056,4680.3525
2021-11-28,4680.476,4675.752,4719.318,4651.1895,4659.2583,4671.885,4676.63,4601.1636,4680.1265,4645.556,4727.217,4693.563,4697.3047,4704.7866,4701.614,4673.268,4691.414,4645.2563,4658.911,4704.093,4694.8096,4682.7944,4663.8237,4676.9253,4673.4263,4674.9873,4705.425,4674.321,4711.9707,4724.451,4681.3906
2021-11-29,4678.299,4673.509,4717.3735,4649.2695,4657.5435,4670.0464,4674.7295,4599.5737,4678.118,4643.7197,4724.7104,4691.675,4695.182,4702.8535,4699.444,4671.3335,4689.6953,4643.633,4657.3125,4702.376,4692.447,4680.9473,4661.775,4674.7524,4671.576,4672.8135,4703.368,4672.072,4709.8486,4722.5156,4679.4165
2021-11-30,4656.789,4651.3706,4698.009,4630.237,4640.4873,4651.7524,4655.8413,4583.706,4658.196,4625.4565,4700.0137,4672.895,4674.1675,4683.624,4677.979,4652.1387,4672.5303,4627.406,4641.3145,4685.2197,4669.1367,4662.5347,4641.536,4653.303,4653.2095,4651.399,4683.0,4649.917,4688.817,4703.2207,4659.8403
2021-12-01,4621.04,4615.3613,4661.4844,4596.4106,4609.3794,4617.474,4620.9443,4552.544,4622.1294,4592.408,4660.3384,4637.7363,4637.6035,4647.8037,4641.5474,4617.8813,4638.804,4595.813,4609.2954,4651.1562,4631.6807,4627.225,4607.543,4618.698,4620.5156,4616.791,4648.2607,4614.8457,4651.9546,4666.7705,4625.0474
2021-12-02,4577.301,4571.204,4616.9414,4555.069,4571.2314,4575.6626,4578.381,4514.5244,4578.287,4551.8584,4611.824,4594.8506,4592.9834,4604.161,4596.908,4575.9546,4597.6914,4557.147,4570.1504,4609.67,4585.7295,4584.2373,4565.903,4576.0884,4580.413,4574.3765,4605.5864,4571.772,4606.894,4622.307,4582.5034
2021-12-03,4553.869,4548.3057,4588.415,4530.3867,4547.8105,4549.0312,4551.601,4488.875,4551.551,4527.289,4587.208,4567.4126,4567.25,4576.549,4572.083,4550.867,4569.946,4531.535,4543.2554,4581.408,4562.477,4556.0894,4542.8477,4554.2256,4556.4834,4552.171,4581.752,4550.4106,4580.591,4593.92,4557.1875
2021-12-04,4545.2505,4539.648,4579.2324,4522.001,4539.9937,4540.4194,4542.8545,4480.902,4542.6626,4519.0117,4577.776,4558.557,4558.306,4567.5864,4563.182,4542.351,4561.3315,4523.46,4534.988,4572.7036,4553.522,4547.1816,4534.536,4545.851,4548.3228,4543.8066,4573.213,4542.0366,4571.5107,4584.7705,4548.5654
2021-12-05,4539.545,4533.961,4572.865,4516.2896,4534.6343,4534.4565,4536.813,4475.295,4536.5757,4513.3574,4571.6123,4552.4146,4552.27,4561.3906,4557.23,4536.5483,4555.2725,4517.8135,4529.1465,4566.5674,4547.677,4540.9663,4528.9785,4540.362,4542.765,4538.2896,4567.4995,4536.5947,4565.364,4578.435,4542.7
2021-12-06,4537.826,4532.303,4570.6025,4514.38,4532.8037,4532.347,4534.694,4473.2144,4534.4966,4511.4507,4569.852,4550.2295,4550.3135,4559.209,4555.3696,4534.6074,4553.0225,4515.757,4526.9507,4564.2715,4546.017,4538.714,4527.2427,4538.781,4540.9126,4536.6543,4565.71,4535.081,4563.3506,4576.193,4540.7446
