,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,476.22705,379.4666,345.18384,290.85297,445.4323,438.16553,350.0823,419.46045,376.11038,256.2885,348.27594,212.51295,394.83505,383.00287,418.93668,310.90927,400.8735,221.77513,364.81332,307.61508,331.84012,227.1252,285.91183,293.6234,291.21133,259.95764,316.28723,392.07874,303.29382,367.0191,340.30563
2000-01-10,392.00958,409.62137,395.40405,298.91586,446.05472,368.80945,280.4835,418.61688,385.62912,177.1551,347.63028,248.56804,384.26285,336.53015,411.2495,392.329,418.82794,290.9922,456.61832,347.29654,437.538,340.47137,299.09976,289.689,363.85577,318.07578,325.5254,430.28198,317.73276,382.58612,357.062
2000-01-11,507.43988,412.20224,319.9063,355.89526,423.08154,373.93906,389.905,455.14893,376.29785,277.19626,346.03702,243.4512,429.1069,393.37482,360.2288,381.6507,437.49493,320.2667,338.82388,378.80453,363.0788,378.56064,324.57883,307.52264,383.37283,263.49542,294.8312,427.05554,326.0078,430.2298,367.2995
2000-01-12,498.04987,400.94894,309.44238,347.32596,409.95773,365.05267,377.76553,445.8039,368.12256,265.80527,335.28174,231.36253,421.6485,385.18216,349.46222,370.7734,426.17087,306.2349,326.2181,368.4981,352.73953,369.50598,313.14093,297.57144,371.32474,251.21024,284.1373,417.17365,313.05032,419.99597,356.63193
2000-01-13,508.9075,413.32968,322.85406,361.2263,423.36102,378.3494,390.38882,458.6975,381.01917,279.71738,347.79846,244.61504,435.2612,398.8147,362.18167,384.4563,437.6162,319.67758,339.2151,382.16486,365.2073,383.05908,325.233,311.55075,384.60373,265.21695,298.09924,429.63345,325.968,432.32205,369.68488
2000-01-14,527.40356,434.76154,344.9243,382.5494,447.11618,399.2176,412.66437,479.42508,400.95978,302.9424,369.06088,267.60205,455.50577,419.5947,383.70334,407.0608,458.09375,344.12253,362.25366,404.38608,386.1436,404.3272,346.50827,333.88452,407.54056,289.04877,320.90167,450.23978,349.14847,453.00766,391.46994
2000-01-15,558.3468,476.5851,314.94528,449.0614,444.58658,340.70273,470.50006,507.32745,403.08124,298.7495,352.11664,315.04114,498.4972,433.77347,312.73578,486.1423,504.92337,443.3855,340.81116,483.86435,403.01968,516.7668,394.80325,356.0229,504.44885,298.60007,306.53766,499.15057,381.03796,494.03128,419.6532
2000-01-16,670.8691,473.5113,318.7166,482.2196,471.46866,438.43777,548.49066,552.53784,426.93637,446.23135,407.19382,306.73312,537.257,516.0442,367.08014,436.731,515.5595,418.9074,284.25296,463.02527,347.92593,472.18393,408.45514,404.45715,475.4421,288.4022,340.2575,479.88126,399.95206,539.9572,441.30392
2000-01-17,569.68463,483.7414,395.2549,430.6724,501.1987,446.4892,463.61124,526.5382,446.11133,355.79428,417.6689,320.29968,500.99606,466.52707,432.98087,458.37762,505.29388,400.10074,415.10617,454.8539,433.9912,452.51773,395.48535,384.50662,459.86612,343.0795,372.72366,497.18277,402.36304,500.17642,441.10645
2000-01-18,567.20917,481.3016,391.60236,425.4264,499.21362,441.91656,461.60754,522.58453,441.44934,352.31085,414.83267,317.78186,495.28555,461.27304,429.99423,454.77338,503.6392,398.65613,413.0881,450.91708,430.93506,447.87527,393.44403,380.08856,457.32205,340.23596,368.82935,493.83838,400.63223,497.18005,437.84143
2000-01-19,559.2936,471.7856,382.7605,418.45612,488.15643,434.5763,451.2695,514.7592,434.67587,342.7577,405.7212,307.43295,489.32935,454.5812,420.83844,445.69162,493.85364,386.67664,402.2952,442.2988,422.18146,440.37485,383.55823,371.83737,447.1133,329.90628,359.8537,485.5497,389.51715,488.5506,428.8551
2000-01-20,568.0644,481.80725,393.42484,429.1739,498.9735,444.93387,461.5258,524.90186,444.66562,353.8284,415.8054,318.1989,499.68713,465.08276,431.10385,456.502,503.3235,397.70538,412.9298,453.0616,432.19226,450.9288,393.48572,382.77536,457.7936,340.9792,370.86325,495.4694,400.13016,498.40335,439.2574
2000-01-21,575.35333,490.40573,401.83353,436.50162,508.69772,452.3693,470.6735,532.55664,451.66223,362.76782,424.19104,327.51776,506.31244,472.1867,439.5765,465.08447,511.92422,408.04016,422.46408,461.36362,440.34976,458.519,402.28714,390.91644,466.99353,350.3552,379.44757,503.32397,409.8447,506.4376,447.66522
2000-01-22,574.9435,489.95236,401.3124,435.9201,508.23373,451.82532,470.22827,532.04333,451.12842,362.2382,423.72037,327.03442,505.7269,471.6123,439.0938,464.56055,511.5191,407.5875,422.00415,460.829,439.87402,457.9655,401.85135,390.35706,466.51312,349.85062,378.9052,502.8407,409.3962,505.97003,447.1679
