,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4686.8076,4683.4126,4618.1074,4681.6406,4643.4854,4648.251,4682.1133,4708.4634,4688.706,4675.4473,4697.2993,4677.7134,4670.0957,4685.5845,4721.175,4683.2837,4650.066,4664.0947,4656.296,4681.0127,4677.3774,4683.276,4659.0747,4669.7554,4677.9688,4681.646,4685.63,4686.431,4695.396,4642.9795,4675.42
2021-11-25,4687.79,4684.324,4619.0464,4682.686,4644.4453,4649.2173,4683.065,4709.4897,4689.6934,4676.484,4698.3174,4678.722,4671.052,4686.504,4722.219,4684.3057,4651.036,4665.06,4657.298,4682.024,4678.403,4684.3027,4660.0405,4670.722,4678.94,4682.681,4686.607,4687.5054,4696.4526,4643.9463,4676.413
2021-11-26,4685.647,4681.734,4617.334,4680.665,4642.4097,4647.078,4680.63,4707.2515,4687.546,4674.9243,4695.774,4676.458,4668.88,4684.1636,4719.9404,4682.15,4649.1714,4662.981,4655.319,4680.072,4676.335,4682.175,4658.53,4668.4863,4676.8804,4681.009,4684.522,4685.513,4694.2715,4641.5205,4674.3125
2021-11-27,4685.8164,4682.614,4617.091,4680.5347,4642.504,4647.2817,4681.227,4707.4277,4687.7085,4674.261,4696.3374,4676.7085,4669.1484,4684.724,4720.1216,4682.2373,4649.036,4663.1157,4655.2446,4679.9424,4676.3096,4682.2163,4657.981,4668.806,4676.9785,4680.4854,4684.6343,4685.2764,4694.3057,4642.0684,4674.4043
2021-11-28,4686.8394,4683.29,4618.223,4681.7397,4643.531,4648.2744,4682.053,4708.497,4688.7393,4675.6587,4697.251,4677.7305,4670.1045,4685.53,4721.2085,4683.336,4650.161,4664.133,4656.381,4681.11,4677.454,4683.3374,4659.257,4669.755,4678.0156,4681.828,4685.674,4686.555,4695.4614,4642.931,4675.4688
2021-11-29,4684.6953,4680.872,4616.4126,4679.6436,4641.478,4646.1426,4679.721,4706.258,4686.5894,4673.897,4694.799,4675.483,4667.9575,4683.285,4718.9297,4681.1577,4648.2227,4662.045,4654.3413,4679.0835,4675.3364,4681.176,4657.5737,4667.5547,4675.9375,4679.9863,4683.5737,4684.46,4693.2446,4640.595,4673.3486
2021-11-30,4663.466,4657.107,4598.385,4658.809,4621.1284,4625.0454,4656.737,4684.087,4665.2974,4656.2446,4670.6216,4653.2534,4646.721,4661.1587,4696.3623,4659.5664,4628.9565,4641.3657,4634.0884,4658.949,4654.3223,4659.7407,4640.7344,4645.808,4655.3516,4661.5845,4662.773,4663.6157,4671.256,4617.5635,4652.3364
2021-12-01,4626.834,4620.659,4564.798,4620.896,4585.5654,4588.875,4620.064,4645.821,4628.5103,4620.465,4631.353,4615.3765,4610.733,4625.5176,4657.513,4621.749,4593.7983,4605.4775,4597.446,4622.286,4616.7817,4621.903,4607.1396,4609.2485,4619.392,4625.398,4626.5234,4624.983,4632.378,4580.225,4615.5903
2021-12-02,4582.2065,4576.0835,4523.9854,4574.977,4542.2573,4544.8013,4575.8633,4599.2036,4583.6963,4577.172,4583.4204,4569.2153,4566.865,4582.0005,4610.3374,4575.6997,4551.0396,4561.7666,4552.8384,4577.6943,4571.0957,4575.9565,4566.334,4564.673,4575.601,4581.4824,4582.376,4578.0195,4585.0493,4534.6455,4570.878
2021-12-03,4557.143,4555.4854,4498.643,4547.6675,4517.4966,4520.2764,4554.2983,4573.0146,4558.482,4547.9097,4558.885,4543.7583,4542.9263,4560.0303,4584.1016,4549.291,4525.163,4537.0156,4526.1245,4550.7817,4544.1924,4549.4023,4538.97,4540.5767,4550.582,4552.8877,4557.235,4549.0503,4557.5576,4511.8926,4545.3613
