,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,414.3793,391.18173,296.25586,321.97064,171.88046,458.78183,274.95905,451.42398,497.07257,479.96432,242.96817,403.56387,709.6215,142.60286,391.56534,253.61734,360.8151,217.40646,494.56458,364.57205,464.62653,468.2527,553.2379,368.82147,515.7869,315.79736,486.4906,98.58278,289.29254,139.57303,367.98764
2000-01-10,400.02777,444.31177,619.0543,210.00534,58.44338,481.42722,414.35492,351.75363,601.95966,353.83932,534.7911,556.07904,657.9829,429.51443,491.1989,251.89444,240.80684,66.220375,384.1701,543.84,212.52101,420.57245,569.2713,397.90363,406.63135,334.09894,263.45734,342.55698,313.46057,384.0493,391.20654
2000-01-11,369.6256,478.69504,366.26025,386.2062,236.35486,409.2181,315.0633,399.58997,417.52072,315.74936,429.00168,409.01523,374.35443,366.24585,360.51917,425.8656,374.93207,303.59146,382.85272,315.09628,308.88037,245.57413,427.60577,366.08813,334.42627,375.31033,343.52072,443.3683,354.09772,371.82635,366.88184
2000-01-12,364.1474,474.13882,354.7587,375.31073,228.541,400.59848,304.33963,392.50214,410.1182,304.5888,421.80096,406.63962,363.45544,358.5251,352.2517,417.03104,360.82394,294.77362,379.38516,303.94006,301.68768,238.32895,416.4725,358.9041,331.4353,368.1272,335.08035,439.0101,350.72733,363.1544,359.01993
2000-01-13,378.9605,488.09613,365.54956,386.89957,241.28662,413.27563,320.35916,405.86636,423.18307,315.62973,435.07156,420.32684,374.7639,373.79645,366.45648,430.25238,370.13318,306.06952,393.63934,316.12405,315.04193,252.46544,425.04697,372.89264,344.8716,379.31204,347.38065,454.44397,364.49646,375.57974,371.90912
2000-01-14,399.29883,506.8475,385.4733,407.30548,260.89474,433.355,345.61777,425.67465,442.86948,335.60193,454.85114,437.29245,394.85815,396.17358,388.00943,451.08783,390.1682,324.73447,412.35666,337.37524,334.91037,273.24637,442.23444,393.46634,361.9746,396.74118,366.9155,474.717,382.23062,395.41226,391.7231
2000-01-15,387.10654,631.7635,528.203,490.2999,356.15012,461.85587,408.84286,438.0027,369.49188,223.75218,679.651,597.2488,150.89185,627.5246,442.2726,601.6621,556.5901,440.7913,354.11404,307.42862,169.40335,68.01622,462.06766,446.9815,211.75519,491.0603,270.66202,822.2348,501.4948,663.6433,438.69876
2000-01-16,439.78018,472.3244,274.3934,642.04816,519.85596,603.79474,235.9934,611.68896,433.08282,311.71475,481.61832,357.03232,292.74606,443.14807,217.02812,588.56525,586.8292,859.1835,392.25418,188.06367,536.56085,75.05558,471.95596,139.96638,222.77048,409.08685,269.87692,466.91818,510.9351,506.37238,418.68814
2000-01-17,444.81476,548.6733,431.7828,454.48788,305.4872,479.19263,403.2444,465.78665,487.51538,382.8699,499.88605,474.64487,441.36755,443.63638,436.93463,498.62094,437.7374,367.56906,453.86105,386.45874,379.89172,320.21576,484.1991,439.96973,399.79672,436.44446,411.52502,519.7775,421.5235,440.7303,436.62152
2000-01-18,436.78333,540.72235,430.69052,452.3922,300.5408,474.81003,397.59946,458.63022,482.0604,381.6648,494.19513,465.52197,439.49164,435.0014,431.1237,493.95215,439.49933,364.3845,444.9601,384.06604,374.07922,313.8293,485.02548,433.65933,391.2584,432.3102,407.32135,509.02063,412.96713,436.57642,431.47125
2000-01-19,432.72842,537.476,420.61343,442.9514,294.11154,467.611,388.66296,455.6953,476.04602,371.2844,488.2761,464.323,430.02582,432.4797,424.3956,486.59128,426.72186,356.8914,442.58868,374.42358,368.28577,308.0464,474.19095,427.9232,389.45636,426.359,400.26364,507.60947,410.83112,429.30878,425.20572
2000-01-20,443.82446,547.8449,429.76535,452.57272,304.10022,477.66672,401.34555,465.03824,486.19846,380.78995,498.58252,474.19348,439.45264,442.93497,435.46494,497.05646,435.2533,366.01324,453.18304,384.49664,378.61005,318.92276,482.07712,438.68774,399.23965,435.171,410.0313,518.97864,420.90024,439.19638,435.25308
2000-01-21,449.575,552.9004,438.45425,461.03128,310.9055,484.94348,410.43954,469.59918,492.81036,389.76407,505.18515,477.8974,447.86676,447.5921,442.60388,504.55237,445.33612,373.1785,457.7944,393.21097,385.14468,325.61908,490.82504,445.32272,403.27072,441.33844,417.13782,522.4679,425.21378,446.46225,441.9481
2000-01-22,448.8757,552.2304,438.08057,460.6036,310.35965,484.41602,409.7699,468.99597,492.24,389.37335,504.6007,477.20273,447.45416,446.89386,441.97342,503.99966,445.0898,372.7291,457.0814,392.75595,384.55493,324.98816,490.5678,444.6987,402.6006,440.86533,416.6273,521.701,424.53265,445.9494,441.39368
2000-01-23,445.55673,549.1019,435.67975,458.02197,307.51102,481.58447,406.19153,466.17752,489.3185,386.8755,501.62552,474.13,444.93558,443.70172,438.99313,501.04633,443.02094,370.20862,453.83752,390.041,381.56793,321.8253,488.60666,441.56906,399.5858,438.36615,413.88025,518.45447,421.44366,443.17465,438.53445
2000-01-24,438.46683,542.4843,429.7373,451.79126,301.08966,475.10983,398.0275,460.21442,482.79926,380.70462,495.01004,467.8571,438.82758,437.0395,431.8824,494.30988,437.43384,364.32162,447.08914,383.5209,374.9427,314.85034,483.4559,434.66565,393.3595,432.6973,407.58997,512.0298,415.03177,436.80554,432.10483
2000-01-25,426.16132,531.0123,419.254,440.8274,289.8745,463.78345,383.74902,449.877,471.426,369.82053,483.4738,457.03018,428.07495,425.50894,419.47266,482.52878,427.4936,353.9994,435.4146,372.05426,363.39313,302.69913,474.31583,422.63834,382.59772,422.7894,396.58475,500.15173,403.94168,425.65887,420.85355
2000-01-26,420.16446,525.75006,410.0705,431.89896,282.72705,456.13104,374.18716,445.1293,464.48892,360.33658,476.54904,453.2111,419.19113,420.27844,411.78967,474.64725,416.8036,346.45175,430.63275,362.85843,356.5417,295.68298,465.04895,415.6863,378.4262,416.30826,389.11053,494.76868,399.47134,418.0152,413.74527
2000-01-27,411.73456,517.7013,405.2422,426.45898,276.01572,449.60358,365.9095,437.87994,457.50317,355.29446,469.39862,444.9526,413.92932,411.95013,404.23276,467.81262,413.37027,340.83408,422.1107,357.08688,349.33585,287.99054,461.56705,408.07703,370.4341,410.4753,382.79053,485.74963,391.33466,411.6565,406.9478
2000-01-28,404.0926,510.8561,395.2673,416.6014,267.62064,440.7563,354.8287,431.7069,449.25436,345.11322,461.12653,439.4681,404.15363,402.85504,395.1355,458.67667,402.22653,332.2835,415.63242,346.89832,341.1236,279.51385,451.79868,399.68042,364.66327,402.91708,374.16113,478.5795,385.2418,402.85382,398.50287
