,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4313.437,4483.3633,4415.4053,4223.674,4508.258,4546.825,4370.5684,4192.644,4602.5854,4311.4644,4600.882,4767.2944,4680.423,4391.162,4770.771,4522.562,4517.2183,4696.589,4359.4126,4576.693,4583.4766,4475.5386,4347.877,4144.647,4364.7007,4417.153,4372.886,4629.1196,4388.9614,4386.8027,4465.4136
2021-11-25,4310.2554,4480.082,4412.7026,4220.9517,4504.8594,4542.7876,4367.442,4190.1313,4597.9478,4308.939,4596.635,4762.3965,4676.0894,4387.5444,4766.1035,4518.4033,4513.6724,4692.1587,4355.961,4572.963,4578.3984,4471.8354,4344.7554,4142.2334,4361.6064,4413.7017,4370.156,4625.053,4385.324,4383.839,4461.8306
2021-11-26,4312.0576,4483.341,4415.549,4222.7114,4508.0625,4545.414,4369.7627,4191.734,4600.7046,4311.3325,4599.525,4765.8423,4679.3105,4389.594,4769.7544,4521.0034,4516.8022,4695.246,4358.1055,4576.14,4580.8765,4474.5425,4346.53,4143.85,4364.257,4416.112,4372.7124,4628.2866,4387.0923,4386.5063,4464.4253
2021-11-27,4311.618,4481.938,4413.554,4222.499,4507.3354,4545.268,4369.1714,4191.691,4601.7104,4310.2896,4599.604,4764.3823,4679.3486,4389.972,4769.185,4522.5664,4515.1294,4694.5786,4358.357,4575.567,4582.4644,4475.1245,4347.092,4143.8574,4363.9766,4416.0503,4372.048,4628.489,4388.0117,4385.643,4464.2173
2021-11-28,4310.154,4476.9375,4408.7666,4220.719,4502.6606,4542.699,4366.212,4190.0015,4599.5933,4306.531,4596.6885,4760.395,4675.498,4388.3906,4764.9546,4520.0957,4510.786,4691.2593,4356.39,4571.1772,4581.557,4471.816,4345.8066,4142.15,4360.345,4413.2964,4368.2246,4624.504,4387.327,4381.8477,4461.2266
2021-11-29,4287.67,4445.7026,4382.094,4199.8584,4470.781,4511.1343,4340.1846,4170.74,4565.854,4282.3926,4563.1084,4721.6304,4639.6665,4362.2793,4725.457,4489.8384,4479.6436,4655.2476,4330.5825,4538.124,4547.972,4441.1807,4323.3364,4123.229,4332.8994,4385.668,4342.5913,4590.0527,4363.0195,4354.799,4432.2246
2021-11-30,4260.3877,4409.3633,4351.192,4174.883,4433.705,4473.7925,4309.3726,4147.5054,4525.178,4254.2666,4523.4414,4675.6597,4597.1826,4330.7593,4679.623,4452.3506,4443.223,4613.164,4299.4883,4499.298,4506.8887,4404.5127,4296.164,4100.6016,4300.5977,4352.658,4312.5894,4549.3633,4333.353,4323.378,4397.799
2021-12-01,4225.9863,4366.4688,4315.112,4143.498,4389.1245,4426.1943,4271.327,4118.5063,4473.986,4220.427,4473.3755,4618.8335,4544.8247,4290.6846,4622.31,4407.5957,4399.5864,4559.381,4260.607,4452.415,4454.339,4359.602,4261.53,4072.2388,4261.6177,4311.738,4276.546,4499.812,4294.9536,4285.373,4355.266
2021-12-02,4218.923,4357.41,4307.367,4137.108,4379.9014,4416.597,4263.5557,4112.6064,4463.7324,4213.3735,4463.322,4607.0894,4534.1875,4282.658,4610.721,4398.4165,4390.3574,4548.588,4252.646,4442.7354,4443.9263,4350.511,4254.6,4066.49,4253.59,4303.404,4269.058,4489.71,4287.345,4277.3735,4346.576
2021-12-03,4213.128,4349.891,4300.816,4131.8203,4372.2144,4408.507,4257.0376,4107.7095,4455.32,4207.4497,4454.9873,4597.381,4525.35,4276.0317,4601.0913,4390.946,4382.75,4539.5767,4246.094,4434.698,4435.442,4342.9355,4248.893,4061.7188,4246.9165,4296.4854,4262.8027,4481.33,4281.115,4270.758,4339.3735
