,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4650.0107,4624.1426,4669.9614,4685.8247,4665.0776,4627.445,4662.5195,4701.079,4720.625,4589.8623,4658.5483,4613.7285,4612.6147,4619.863,4584.2383,4619.0156,4613.404,4668.307,4617.1064,4631.14,4604.6577,4663.65,4671.27,4635.515,4621.069,4592.966,4608.8433,4634.654,4633.6553,4678.1772,4639.299
798,4650.1626,4623.6353,4669.4365,4686.5923,4664.0864,4628.839,4661.5605,4700.7563,4720.5967,4589.839,4657.72,4614.835,4612.5576,4619.8,4584.423,4618.119,4613.9375,4668.101,4617.2896,4631.207,4604.9673,4663.505,4670.8975,4635.341,4620.563,4592.4077,4607.6987,4634.2964,4632.848,4678.073,4639.136
799,4651.35,4625.207,4671.1406,4686.1416,4666.0615,4629.447,4663.4805,4701.4956,4720.8213,4590.9355,4659.332,4614.2915,4613.8213,4620.0396,4584.658,4620.2744,4614.4053,4669.8906,4618.564,4632.7324,4605.6475,4664.4775,4672.4126,4636.6846,4622.374,4593.956,4609.7563,4636.2734,4634.5396,4678.328,4640.2847
800,4658.3857,4632.0483,4678.645,4686.3486,4673.4307,4637.5044,4670.6553,4704.4175,4721.952,4596.855,4665.2734,4615.1733,4620.5435,4621.133,4586.5894,4628.9604,4618.824,4678.8013,4626.184,4641.3228,4610.4497,4669.2944,4679.4116,4643.4336,4630.5312,4600.3657,4617.04,4645.862,4640.994,4679.36,4645.993
801,4656.874,4629.994,4676.4194,4686.9834,4670.8213,4636.874,4668.121,4703.446,4721.6616,4595.45,4663.1445,4615.951,4618.918,4620.8213,4586.3022,4626.127,4618.264,4676.505,4624.5635,4639.37,4609.601,4668.039,4677.441,4641.6978,4628.1704,4598.3496,4614.3135,4643.2983,4638.7617,4679.026,4644.5103
802,4654.598,4628.1196,4674.3467,4686.5234,4669.0312,4633.6416,4666.3745,4702.7,4721.3237,4593.613,4661.717,4615.107,4616.8486,4620.512,4585.6035,4623.877,4616.6104,4673.846,4622.089,4636.6533,4607.9424,4666.609,4675.4473,4639.681,4625.8833,4596.649,4612.629,4640.4883,4637.163,4678.757,4642.812
803,4649.7627,4623.169,4668.928,4686.6714,4663.5317,4628.518,4661.0205,4700.544,4720.526,4589.484,4657.2686,4614.913,4612.151,4619.727,4584.33,4617.496,4613.738,4667.5405,4616.8584,4630.7046,4604.7183,4663.201,4670.436,4634.9185,4620.0186,4591.955,4607.1304,4633.6846,4632.3687,4677.9995,4638.777
804,4647.5215,4621.3813,4666.9487,4686.149,4661.872,4625.228,4659.4004,4699.8423,4720.1973,4587.6855,4655.9453,4613.983,4610.13,4619.43,4583.629,4615.378,4612.0664,4664.959,4614.4204,4628.039,4603.0645,4661.814,4668.519,4632.958,4617.8276,4590.3438,4605.59,4630.9673,4630.8804,4677.746,4637.131
805,4650.113,4623.9614,4669.776,4686.155,4664.6914,4628.106,4662.146,4700.956,4720.619,4589.8833,4658.2236,4614.208,4612.6255,4619.8413,4584.3276,4618.676,4613.656,4668.2905,4617.225,4631.214,4604.8154,4663.6133,4671.1465,4635.476,4620.895,4592.779,4608.391,4634.5503,4633.343,4678.138,4639.261
806,4651.514,4625.165,4671.104,4686.382,4665.879,4630.0093,4663.3047,4701.445,4720.8315,4591.027,4659.1763,4614.648,4613.9155,4620.0386,4584.7476,4620.143,4614.643,4669.9624,4618.747,4632.896,4605.8228,4664.513,4672.414,4636.743,4622.354,4593.8813,4609.5244,4636.323,4634.398,4678.313,4640.3286
807,4651.993,4625.6406,4671.625,4686.3843,4666.3984,4630.5425,4663.81,4701.65,4720.909,4591.4326,4659.595,4614.6904,4614.376,4620.1143,4584.8765,4620.7505,4614.937,4670.577,4619.265,4633.4824,4606.147,4664.845,4672.8994,4637.2075,4622.919,4594.33,4610.04,4636.985,4634.852,4678.3853,4640.722
808,4651.556,4625.155,4671.095,4686.442,4665.834,4630.1484,4663.261,4701.433,4720.834,4591.051,4659.137,4614.737,4613.94,4620.0386,4584.77,4620.111,4614.703,4669.981,4618.7944,4632.9385,4605.8677,4664.523,4672.4155,4636.759,4622.3496,4593.863,4609.4673,4636.337,4634.3633,4678.3096,4640.341
809,4650.4507,4624.0957,4669.9326,4686.3916,4664.704,4628.8467,4662.16,4700.982,4720.6577,4590.123,4658.226,4614.5723,4612.8887,4619.868,4584.4634,4618.772,4613.9976,4668.5884,4617.5967,4631.592,4605.108,4663.7715,4671.328,4635.7056,4621.084,4592.871,4608.355,4634.844,4633.372,4678.1504,4639.45
810,4649.743,4623.4473,4669.219,4686.325,4664.032,4627.96,4661.506,4700.7114,4720.547,4589.536,4657.686,4614.418,4612.2246,4619.7637,4584.2603,4617.9644,4613.5273,4667.717,4616.829,4630.735,4604.6123,4663.3013,4670.6553,4635.0454,4620.3047,4592.2686,4607.7007,4633.914,4632.781,4678.054,4638.8926
811,4644.4365,4618.071,4663.3325,4686.4194,4658.1006,4622.2295,4655.7275,4698.3745,4719.6753,4585.011,4652.8823,4614.1094,4607.085,4618.9087,4582.8477,4611.0576,4610.332,4660.831,4611.088,4624.215,4601.052,4659.578,4665.198,4629.843,4613.928,4587.179,4601.7847,4626.496,4627.605,4677.2324,4634.488
812,4642.4966,4616.605,4661.7036,4685.8716,4656.8076,4619.2324,4654.4634,4697.813,4719.3965,4583.4707,4651.8555,4613.1675,4605.3594,4618.6616,4582.2217,4609.3584,4608.828,4658.6494,4608.975,4621.922,4599.5933,4658.4067,4663.602,4628.1836,4612.1167,4585.8735,4600.6143,4624.213,4626.435,4677.029,4633.097
813,4648.419,4622.5396,4668.2056,4685.8413,4663.314,4625.7275,4660.8022,4700.3843,4720.3643,4588.5073,4657.1216,4613.6196,4611.076,4619.6074,4583.8125,4616.959,4612.439,4666.2915,4615.3833,4629.186,4603.5874,4662.5376,4669.641,4633.96,4619.1655,4591.47,4607.087,4632.436,4632.116,4677.933,4637.9844
814,4652.4395,4626.102,4672.13,4686.3647,4666.914,4631.0073,4664.312,4701.8516,4720.9834,4591.815,4660.0127,4614.701,4614.8115,4620.1875,4584.9937,4621.347,4615.199,4671.162,4619.748,4634.033,4606.443,4665.1616,4673.365,4637.6494,4623.4653,4594.768,4610.5566,4637.6167,4635.301,4678.4565,4641.096
815,4653.9873,4627.5825,4673.7554,4686.4395,4668.4917,4632.8354,4665.849,4702.48,4721.23,4593.1123,4661.2847,4614.935,4616.283,4620.425,4585.4233,4623.2173,4616.1885,4673.11,4621.4253,4635.9185,4607.5073,4666.2124,4674.8857,4639.123,4625.2354,4596.1543,4612.1104,4639.705,4636.685,4678.678,4642.3423
816,4655.7993,4629.329,4675.6714,4686.5107,4670.3623,4634.9443,4667.67,4703.2236,4721.52,4594.6333,4662.792,4615.188,4618.01,4620.7046,4585.9243,4625.4287,4617.337,4675.3984,4623.3887,4638.128,4608.749,4667.4473,4676.6753,4640.8535,4627.32,4597.7915,4613.955,4642.161,4638.3257,4678.9414,4643.8057
817,4657.2285,4630.6616,4677.1357,4686.62,4671.7583,4636.694,4669.03,4703.7827,4721.7456,4595.8223,4663.9136,4615.4624,4619.357,4620.919,4586.3296,4627.0977,4618.2725,4677.173,4624.9385,4639.8623,4609.7427,4668.4033,4678.0513,4642.196,4628.917,4599.032,4615.3203,4644.059,4639.553,4679.14,4644.9404
818,4653.1016,4626.3867,4672.459,4686.8037,4666.9766,4632.4194,4664.3765,4701.915,4721.061,4592.2896,4660.0474,4615.3794,4615.333,4620.2427,4585.2534,4621.5703,4615.8555,4671.76,4620.476,4634.7764,4607.008,4665.4785,4673.737,4638.109,4623.8594,4594.9736,4610.528,4638.21,4635.388,4678.484,4641.4756
