,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.87184453,0.83462596,0.82931435,0.8107531,0.81760645,0.8134351,0.8059639,0.810537,0.8162552,0.8195797,0.8118228,0.8012688,0.7973625,0.8014051,0.788321,0.79378974,0.785695,0.7999618,0.79848766,0.78667676,0.7949226,0.76936984,0.776119,0.77215207,0.7407467,0.73997104,0.7286825,0.727136,0.7273735,0.71020657,0.78937954
1,0.86941946,0.8348676,0.82745224,0.8081645,0.8156786,0.8112979,0.80435085,0.81053615,0.8143381,0.81825227,0.812361,0.80184937,0.79798394,0.8031099,0.7909024,0.79508126,0.7877946,0.8001164,0.7964176,0.7872922,0.7963369,0.7755755,0.78075784,0.77983165,0.7494402,0.7510794,0.7393675,0.7367456,0.7374661,0.72381765,0.7919229
2,0.8648422,0.8335612,0.82716346,0.8079089,0.81406915,0.8090188,0.8024889,0.80853975,0.81279707,0.8165237,0.81136644,0.8012186,0.7976191,0.8034741,0.7922753,0.7954091,0.7888384,0.80069923,0.79798555,0.7891957,0.7975738,0.7775589,0.78155386,0.7804197,0.75339067,0.7518303,0.74286795,0.7406775,0.73746616,0.7239325,0.7920756
3,0.8617903,0.8335941,0.82737315,0.80956554,0.8119019,0.80571485,0.7993201,0.8047389,0.8091213,0.81272686,0.8076849,0.79814553,0.7956358,0.8025073,0.79350626,0.79510856,0.7891084,0.800543,0.79750514,0.78973454,0.7976048,0.78157926,0.7853834,0.7855201,0.76236665,0.76199317,0.7542913,0.75191796,0.746729,0.7359276,0.79362136
4,0.85837567,0.8315762,0.82504827,0.8071475,0.81115294,0.80464315,0.79849374,0.8038703,0.8082764,0.81176484,0.8067974,0.79737145,0.7951025,0.80215645,0.7920209,0.79470074,0.78891945,0.80004615,0.79490846,0.7889972,0.79709804,0.7816366,0.7828266,0.7859352,0.7607426,0.76193297,0.75361466,0.7525251,0.74758095,0.7353449,0.792687
5,0.8568646,0.8301203,0.8244356,0.8071879,0.8110173,0.8045994,0.79832435,0.8036226,0.80790174,0.81163526,0.8068217,0.7974006,0.79519486,0.8024343,0.79244196,0.7950295,0.78950006,0.8005272,0.79590666,0.7900833,0.7979224,0.7827939,0.7842647,0.78653455,0.7625823,0.7626725,0.75439703,0.7532918,0.7486279,0.7360698,0.79300696
6,0.8585001,0.8314328,0.82586473,0.80841374,0.8108461,0.80443907,0.79810333,0.8035896,0.80769277,0.8113821,0.8067714,0.7973556,0.79515046,0.80251133,0.79361534,0.79522336,0.7896557,0.80063725,0.79682446,0.79022217,0.7978611,0.78364784,0.78626215,0.78778464,0.7657609,0.7654387,0.758287,0.7553328,0.7506342,0.74051803,0.7939919
7,0.8583137,0.83150375,0.8255352,0.8077034,0.81067646,0.80412066,0.7979672,0.80346274,0.80767375,0.81126213,0.80660856,0.7972466,0.7950136,0.8023262,0.79319304,0.7948936,0.78934395,0.8003056,0.79619765,0.78966135,0.7974087,0.7828938,0.78476125,0.787084,0.76411307,0.76423985,0.7572892,0.7552258,0.7496053,0.73890597,0.7934846
8,0.85763586,0.8312007,0.8253318,0.8078159,0.81050336,0.8037535,0.7975953,0.8027815,0.8071351,0.8107599,0.8059048,0.79664177,0.7946069,0.8019862,0.7930259,0.79470885,0.7891636,0.80017,0.7962234,0.7897308,0.7973802,0.7829056,0.7847416,0.7869777,0.76423144,0.76430506,0.75764126,0.75567865,0.74957967,0.7388611,0.79329926
9,0.8578321,0.83136857,0.8254542,0.8079243,0.8105483,0.8037822,0.79758215,0.80272627,0.80708027,0.81066954,0.8057374,0.7964694,0.7944987,0.8018599,0.79284406,0.79462516,0.7890364,0.80006635,0.79583955,0.789503,0.7972187,0.7828673,0.7845186,0.7871916,0.76406133,0.7647295,0.75785494,0.75555515,0.749874,0.73943853,0.7932918
