,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4519.2935,4523.2104,4565.1377,4510.843,4671.2344,4513.639,4567.8984,4553.069,4582.0195,4516.5356,4568.426,4538.294,4634.911,4600.6357,4621.774,4671.991,4607.728,4586.7607,4618.054,4648.4463,4584.6514,4618.212,4562.002,4558.218,4574.935,4589.1016,4563.4727,4526.5283,4537.8315,4578.0986,4577.0986
798,4518.704,4522.9517,4566.5073,4510.6797,4671.056,4513.276,4567.352,4554.073,4582.6216,4517.6304,4568.603,4538.9956,4635.302,4600.609,4621.681,4672.5747,4607.279,4586.916,4617.879,4649.4663,4584.452,4617.2993,4562.17,4558.3594,4576.058,4589.2188,4563.8867,4526.839,4537.424,4577.668,4577.251
799,4519.0938,4523.229,4565.3765,4510.7334,4671.255,4513.524,4567.852,4553.13,4582.1914,4516.7173,4568.3574,4538.3135,4634.9263,4600.7275,4621.988,4672.1973,4607.579,4586.8105,4618.111,4648.735,4584.6064,4618.1094,4561.865,4558.2954,4575.1763,4589.1836,4563.5386,4526.66,4537.807,4578.1562,4577.142
800,4519.177,4523.841,4563.959,4510.4604,4671.722,4513.6147,4568.686,4551.468,4581.941,4515.525,4567.6333,4537.022,4634.227,4601.284,4623.341,4672.163,4607.658,4586.773,4618.7695,4648.281,4584.7554,4619.3716,4560.7817,4558.435,4574.26,4589.3965,4563.0786,4526.7646,4538.487,4579.326,4577.073
801,4518.635,4523.467,4565.51,4510.38,4671.455,4513.271,4568.0044,4552.7515,4582.5366,4516.778,4567.96,4537.9487,4634.738,4601.132,4622.941,4672.691,4607.239,4586.92,4618.459,4649.2954,4584.543,4618.2637,4561.185,4558.529,4575.4736,4589.4517,4563.555,4527.0176,4537.9653,4578.6685,4577.2256
802,4518.9116,4523.409,4565.2476,4510.5483,4671.401,4513.4297,4568.026,4552.7524,4582.3047,4516.5864,4568.0947,4537.9907,4634.7554,4600.9707,4622.567,4672.4014,4607.4463,4586.852,4618.3438,4648.9116,4584.5996,4618.3413,4561.436,4558.4126,4575.181,4589.3247,4563.4854,4526.8237,4537.9634,4578.5254,4577.1685
803,4518.6274,4522.8843,4566.755,4510.676,4671.0073,4513.227,4567.237,4554.2915,4582.7085,4517.8315,4568.6685,4539.1553,4635.39,4600.573,4621.589,4672.6465,4607.22,4586.9365,4617.819,4649.6147,4584.4185,4617.115,4562.254,4558.3687,4576.246,4589.2207,4563.9634,4526.8696,4537.335,4577.546,4577.273
804,4518.956,4522.852,4566.37,4510.8564,4670.9707,4513.416,4567.3086,4554.1997,4582.425,4517.5425,4568.783,4539.132,4635.3706,4600.418,4621.23,4672.3076,4607.4653,4586.8555,4617.722,4649.144,4584.492,4617.275,4562.4854,4558.2417,4575.8555,4589.0845,4563.8555,4526.6514,4537.37,4577.445,4577.202
805,4519.041,4523.103,4565.718,4510.771,4671.16,4513.4834,4567.668,4553.4907,4582.2764,4516.9995,4568.498,4538.589,4635.0757,4600.6265,4621.741,4672.24,4607.536,4586.827,4617.982,4648.882,4584.5664,4617.827,4562.068,4558.2803,4575.4116,4589.153,4563.648,4526.662,4537.66,4577.921,4577.1636
806,4518.913,4523.1587,4565.775,4510.678,4671.208,4513.413,4567.6973,4553.411,4582.374,4517.034,4568.4004,4538.508,4635.034,4600.7285,4621.9814,4672.376,4607.442,4586.858,4618.067,4649.041,4584.5474,4617.85,4561.8994,4558.342,4575.5063,4589.223,4563.658,4526.7583,4537.6934,4578.042,4577.1875
