,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4438.3804,4496.6807,4484.0786,4481.5996,4750.007,4439.567,4482.527,4523.2617,4758.7783,4545.058,4457.6763,4844.285,4476.611,4752.163,4444.726,4479.5645,4704.117,4454.068,4435.28,4574.236,4481.192,4488.3555,4483.2163,4465.405,4454.337,4472.1636,4443.87,4443.3457,4441.7183,4443.016,4521.309
798,4437.5303,4496.2407,4484.099,4481.685,4750.5845,4439.1724,4482.681,4525.0864,4761.734,4545.141,4457.372,4841.778,4476.7607,4752.986,4444.4067,4479.782,4704.535,4454.0483,4439.2197,4575.898,4481.1636,4488.301,4483.133,4464.252,4454.8477,4471.9966,4444.142,4443.3125,4441.7354,4442.8887,4521.5503
799,4438.24,4496.554,4484.086,4481.611,4750.4175,4439.576,4482.57,4524.147,4759.226,4545.1016,4457.5957,4843.6943,4476.635,4752.4893,4444.674,4479.5938,4704.07,4454.056,4436.232,4574.171,4481.1836,4488.3403,4483.2065,4465.122,4454.3525,4472.1025,4443.902,4443.3447,4441.5996,4443.0483,4521.3647
800,4439.1675,4496.739,4484.086,4481.501,4751.511,4440.414,4482.4976,4525.355,4755.79,4545.1772,4457.7583,4845.448,4476.468,4752.6304,4445.0264,4479.32,4702.978,4454.0312,4433.587,4570.503,4481.1943,4488.3667,4483.319,4465.873,4453.4194,4472.1006,4443.5337,4443.405,4440.917,4443.4775,4521.187
801,4438.1924,4496.3037,4484.104,4481.6025,4751.771,4439.8657,4482.652,4526.6978,4759.2275,4545.2334,4457.449,4842.807,4476.6406,4753.3315,4444.6597,4479.5786,4703.607,4454.0195,4437.718,4572.8438,4481.1665,4488.3115,4483.218,4464.6704,4454.0933,4471.952,4443.863,4443.361,4441.0933,4443.263,4521.4434
802,4438.342,4496.473,4484.0938,4481.593,4751.131,4439.808,4482.5947,4525.38,4758.777,4545.1665,4457.555,4843.551,4476.615,4752.863,4444.7144,4479.5513,4703.732,4454.0376,4436.5117,4573.1313,4481.1777,4488.332,4483.2256,4465.0303,4454.121,4472.0386,4443.837,4443.3594,4441.297,4443.195,4521.3745
803,4437.374,4496.1777,4484.1016,4481.7017,4750.5874,4439.0757,4482.704,4525.2314,4762.288,4545.147,4457.326,4841.3745,4476.788,4753.075,4444.3477,4479.824,4704.6494,4454.0474,4439.8447,4576.3135,4481.1597,4488.293,4483.1157,4464.0703,4454.964,4471.977,4444.1963,4443.3047,4441.778,4442.8486,4521.589
804,4437.598,4496.384,4484.089,4481.684,4749.9067,4439.055,4482.634,4523.7705,4761.573,4545.0737,4457.458,4842.3364,4476.75,4752.5396,4444.4307,4479.778,4704.734,4454.067,4438.299,4576.441,4481.173,4488.3174,4483.1313,4464.5293,4454.9443,4472.077,4444.146,4443.3066,4441.9766,4442.7935,4521.5
805,4438.02,4496.4927,4484.0874,4481.6357,4750.2603,4439.402,4482.593,4524.0513,4760.0283,4545.0938,4457.5464,4843.2197,4476.6743,4752.517,4444.591,4479.6562,4704.291,4454.0596,4436.9575,4574.93,4481.1797,4488.3325,4483.181,4464.914,4454.5513,4472.092,4443.985,4443.3315,4441.722,4442.964,4521.412
806,4437.9937,4496.422,4484.0923,4481.6353,4750.6133,4439.4688,4482.616,4524.7295,4760.08,4545.1284,4457.5044,4842.9517,4476.678,4752.745,4444.5815,4479.6562,4704.1807,4454.05,4437.402,4574.622,4481.1753,4488.324,4483.182,4464.7793,4454.4946,4472.051,4443.9795,4443.3354,4441.5938,4443.016,4521.436
