,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,94635.805,94438.47,94348.68,94118.95,94230.875,93517.23,94951.984,94893.93,94443.34,93841.26,94642.94,94801.33,94695.05,94136.96,94818.39,94713.69,94336.28,94411.195,94484.414,94888.72,94462.55,93668.49,93713.57,94654.97,94795.42,94157.36,93763.95,93463.62,94436.57,93511.57,94332.58
2021-11-25,94618.984,94419.945,94332.22,94101.13,94211.54,93498.914,94934.164,94875.23,94426.29,93822.914,94626.78,94783.45,94677.81,94120.5,94800.695,94695.67,94320.39,94393.45,94466.695,94871.414,94445.65,93651.39,93695.69,94637.29,94779.17,94140.32,93745.59,93446.01,94417.93,93492.734,94315.0
2021-11-26,94678.234,94483.836,94393.31,94166.41,94279.35,93564.38,95000.67,94938.49,94488.46,93894.48,94690.24,94848.04,94743.88,94183.805,94863.48,94758.3,94382.36,94456.86,94529.84,94931.77,94508.43,93712.11,93762.06,94701.37,94842.95,94202.77,93811.27,93510.516,94484.03,93558.69,94379.016
2021-11-27,94862.68,94681.836,94585.45,94371.24,94490.195,93768.82,95210.1,95133.664,94683.34,94121.94,94892.05,95050.11,94953.08,94384.266,95059.164,94952.64,94579.164,94654.74,94726.8,95119.2,94705.945,93901.41,93970.89,94901.984,95045.68,94398.72,94016.34,93712.92,94690.09,93763.766,94579.62
2021-11-28,95214.586,95060.805,94949.586,94760.19,94892.766,94158.34,95606.9,95508.04,95053.586,94551.336,95272.02,95434.555,95348.32,94762.516,95432.08,95324.12,94950.17,95031.586,95101.805,95477.27,95080.34,94262.125,94366.875,95283.32,95427.3,94770.516,94406.74,94097.3,95083.016,94155.59,94960.78
2021-11-29,95625.34,95503.234,95374.6,95214.39,95362.65,94613.33,96070.234,95944.75,95485.82,95054.086,95715.836,95883.5,95810.31,95204.03,95867.195,95757.63,95383.69,95471.36,95539.19,95895.086,95517.56,94683.016,94829.47,95728.44,95872.77,95204.266,94862.28,94546.19,95541.81,94613.36,95405.84
2021-11-30,95806.82,95699.95,95559.664,95412.94,95570.51,94813.62,96271.76,96139.91,95674.99,95270.66,95906.266,96080.53,96009.92,95394.45,96058.98,95949.86,95570.13,95664.88,95731.69,96080.17,95707.92,94868.51,95030.99,95923.516,96063.875,95393.71,95062.61,94742.43,95744.195,94816.055,95600.72
2021-12-01,95553.52,95427.695,95296.19,95131.64,95280.86,94532.48,95984.27,95871.9,95407.46,94956.84,95629.516,95802.86,95722.31,95119.8,95790.516,95682.93,95299.914,95393.31,95461.77,95822.85,95436.734,94608.836,94744.016,95648.23,95786.21,95125.22,94781.305,94464.4,95460.984,94533.79,95325.28
2021-12-02,94848.29,94669.16,94564.3,94350.29,94474.31,93750.98,95186.375,95123.71,94663.99,94090.375,94863.24,95031.16,94926.016,94358.04,95043.0,94939.15,94551.89,94637.57,94709.99,95105.836,94684.01,93885.76,93947.81,94882.75,95016.82,94378.58,93998.34,93692.234,94673.13,93748.54,94559.85
2021-12-03,94331.9,94111.14,94034.625,93783.62,93883.24,93181.36,94610.055,94570.016,94123.99,93473.016,94315.97,94469.8,94355.125,93811.01,94496.24,94392.73,94017.164,94085.836,94160.31,94579.3,94139.88,93356.87,93372.484,94325.9,94466.77,93836.4,93426.8,93132.27,94097.5,93173.555,94003.836
2021-12-04,94323.93,94102.375,94026.81,93775.17,93874.1,93172.695,94601.6,94561.18,94115.91,93464.31,94308.29,94461.336,94346.94,93803.19,94487.87,94384.21,94009.61,94077.42,94151.92,94571.11,94131.875,93348.77,93364.01,94317.52,94459.04,93828.31,93418.1,93123.914,94088.68,93164.67,93995.5
