,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,10375.899,10321.216,6763.2197,9028.192,11193.404,10475.16,6394.6953,6801.228,9252.544,8636.846,7692.9795,9365.912,6412.3794,5950.3457,11160.207,12238.513,13467.747,6852.237,7972.0674,11785.501,8354.751,10007.235,5891.912,9058.074,7052.5293,6170.2163,5667.673,6857.4717,5306.078,6194.4175,8423.355
2000-01-10,10844.084,8153.412,6441.358,10176.394,11922.339,8948.366,7813.806,6311.198,10221.567,6207.0693,9239.247,9411.51,4940.6396,6491.133,8848.595,8458.344,14414.851,6796.192,9112.702,10564.158,6760.3735,8435.545,4640.4707,9255.416,6827.544,7504.1313,4335.43,8442.178,6410.426,7346.129,8175.82
2000-01-11,10696.754,9628.564,6587.582,10068.624,10934.704,9499.941,8527.565,6405.101,10644.251,7799.977,9195.644,9625.024,7437.5947,4646.785,9395.742,11097.813,13961.43,7424.444,8893.446,10790.91,7394.5503,8400.866,6864.54,10243.475,7037.8716,6978.328,6148.7373,7654.139,7434.925,6450.785,8595.67
2000-01-12,10818.786,9752.218,6717.097,10185.9375,11050.738,9627.608,8656.772,6538.677,10767.443,7934.6064,9324.442,9746.853,7567.357,4785.3823,9516.542,11219.391,14077.899,7556.9624,9012.69,10918.366,7525.2017,8526.41,6992.836,10367.92,7169.1714,7104.3257,6277.8286,7786.2188,7568.1333,6584.031,8722.595
2000-01-13,10938.0625,9873.495,6844.8457,10301.75,11164.459,9752.47,8783.003,6669.5005,10887.91,8068.306,9450.842,9866.269,7693.336,4921.808,9634.654,11338.109,14192.756,7687.347,9129.809,11042.365,7653.588,8649.239,7118.7437,10489.912,7299.2485,7228.966,6404.6396,7916.7236,7698.2593,6714.1533,8847.152
2000-01-14,11110.215,10048.146,7028.321,10467.927,11328.304,9932.506,8965.132,6858.0713,11061.688,8259.355,9632.798,10038.311,7875.7383,5117.856,9805.098,11509.51,14357.662,7874.797,9298.427,11221.761,7838.27,8826.411,7299.9688,10665.636,7485.566,7407.6597,6587.091,8103.851,7885.994,6901.926,9026.467
2000-01-15,11254.318,10194.272,7181.8345,10606.926,11465.39,10083.125,9117.524,7015.875,11207.117,8418.981,9785.011,10182.273,8028.4194,5281.8354,9947.764,11652.956,14495.588,8031.607,9439.547,11371.937,7992.7773,8974.705,7451.5664,10812.667,7641.3745,7557.12,6739.731,8260.319,8043.0513,7059.0317,9176.488
2000-01-16,11351.063,10292.297,7284.7446,10700.06,11557.361,10184.193,9219.801,7121.766,11304.729,8525.77,9887.099,10278.865,8131.0034,5391.758,10043.541,11749.266,14588.013,8136.744,9534.219,11472.829,8096.3887,9074.243,7553.239,10911.306,7745.717,7657.2476,6842.0933,8365.119,8148.455,7164.4766,9277.113
2000-01-17,11362.009,10303.209,7295.919,10710.12,11567.629,10195.578,9231.376,7133.638,11315.742,8536.951,9898.42,10289.6455,8142.935,5403.787,10054.363,11760.2,14598.048,8148.286,9544.699,11484.473,8107.8145,9085.452,7564.5107,10922.312,7756.809,7667.972,6853.403,8376.384,8160.3867,7176.4272,9288.283
2000-01-18,11473.577,10416.889,7416.288,10819.222,11674.161,10312.269,9349.274,7256.137,11428.397,8663.237,10016.937,10401.54,8260.02,5531.986,10164.87,11871.112,14706.154,8270.8,9654.708,11599.985,8228.33,9200.429,7682.5327,11036.595,7879.713,7785.6187,6972.392,8499.341,8281.858,7297.9062,9405.076
