,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,94599.85,92554.11,94878.17,95264.48,94409.4,92263.516,94170.76,95011.49,94455.39,93485.766,93987.11,95553.42,92259.984,94028.68,93927.27,93563.49,94303.16,94680.625,93408.56,95915.82,94958.88,94586.99,94364.09,93831.88,95126.484,94743.82,94711.49,95068.31,94962.37,94072.09,94304.91
2021-11-25,94576.664,92537.15,94888.086,95212.46,94389.65,92249.234,94186.89,95005.46,94449.15,93469.7,93976.54,95553.21,92259.37,94035.47,93911.62,93561.06,94310.51,94681.5,93404.83,95889.375,94977.78,94586.93,94350.87,93827.94,95126.28,94746.49,94726.99,95068.49,94968.44,94082.38,94300.36
2021-11-26,94634.08,92591.1,94939.016,95276.04,94445.79,92303.02,94235.03,95058.27,94502.055,93525.9,94032.266,95605.96,92309.03,94086.22,93964.92,93613.2,94361.85,94733.67,93457.27,95947.336,95024.516,94640.46,94405.86,93881.16,95180.04,94798.36,94777.23,95122.19,95020.07,94132.13,94353.47
2021-11-27,94796.984,92755.3,95153.61,95395.914,94611.8,92472.72,94453.414,95243.3,94686.945,93700.55,94217.82,95804.15,92494.664,94292.92,94129.65,93804.0,94572.125,94932.164,93646.195,96104.8,95243.984,94841.914,94582.56,94072.516,95382.016,94999.8,95002.01,95324.8,95228.46,94343.12,94543.0
2021-11-28,95127.17,93073.336,95495.54,95719.23,94939.34,92793.98,94787.48,95571.64,95015.55,94034.33,94557.48,96141.47,92811.59,94628.61,94445.625,94133.836,94912.59,95267.5,93975.85,96433.22,95573.54,95184.414,94913.3,94406.805,95725.76,95336.07,95348.44,95668.72,95568.68,94678.07,94875.64
2021-11-29,95512.195,93444.734,95897.57,96093.37,95321.61,93169.41,95180.87,95956.164,95400.35,94424.25,94954.84,96537.086,93183.27,95023.02,94814.71,94520.49,95312.664,95660.91,94362.16,96815.85,95961.9,95586.14,95299.94,94798.52,96128.914,95730.734,95756.266,96072.14,95968.336,95071.945,95265.35
2021-11-30,95703.555,93613.99,96000.67,96362.81,95502.29,93332.39,95263.55,96098.75,95543.625,94596.984,95114.45,96666.805,93306.336,95132.48,94979.54,94653.555,95422.41,95786.81,94498.79,97015.625,96035.06,95717.39,95463.59,94937.54,96261.04,95851.984,95845.45,96203.266,96081.55,95171.336,95405.45
2021-12-01,95477.195,93387.5,95712.86,96187.29,95272.61,93099.11,94972.21,95846.86,95291.85,94356.54,94860.67,96398.586,93055.01,94854.54,94752.64,94394.8,95139.8,95518.48,94242.23,96795.8,95742.97,95444.8,95221.12,94677.62,95987.71,95580.1,95545.28,95929.17,95801.14,94888.5,95147.836
2021-12-02,94832.87,92754.09,94965.09,95625.945,94625.7,92452.55,94226.35,95165.74,94610.69,93687.7,94166.336,95684.63,92385.22,94127.39,94120.555,93701.93,94401.21,94806.125,93552.83,96162.945,95000.1,94719.46,94551.99,93978.92,95260.12,94861.555,94774.766,95200.266,95066.125,94154.63,94454.125
2021-12-03,94311.195,92278.86,94596.83,94966.664,94124.74,91986.95,93899.234,94733.27,94176.85,93197.805,93697.055,95270.7,91994.125,93750.94,93654.42,93285.875,94021.7,94400.125,93130.43,95626.98,94692.57,94299.99,94080.15,93549.74,94838.38,94463.47,94429.28,94780.26,94680.46,93796.79,94023.86
