,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,95247.89,93527.336,94012.89,94030.71,94400.805,94440.99,93740.67,94069.8,95056.13,94331.805,94343.3,94983.57,94828.266,94537.89,94631.34,95009.5,93567.89,94443.164,93757.195,94150.6,95078.95,94221.65,93987.375,94145.77,95216.586,94365.93,94326.195,93880.9,94394.336,94331.2,94368.695
2021-11-25,95323.945,93615.195,94202.305,94159.08,94456.66,94455.18,93770.12,94118.6,95113.266,94395.54,94467.64,95072.3,94874.72,94560.77,94637.164,95051.56,93754.02,94565.98,93943.086,94393.39,95109.02,94246.97,94033.06,94181.15,95249.75,94467.05,94367.91,93899.86,94505.6,94386.19,94445.9
2021-11-26,95357.4,93648.32,94216.195,94187.73,94499.11,94507.516,93815.664,94161.82,95153.58,94437.85,94499.16,95108.12,94919.46,94609.48,94688.19,95098.21,93770.516,94594.38,93957.91,94397.85,95153.5,94295.766,94079.01,94228.52,95294.33,94502.664,94411.57,93951.805,94536.805,94428.445,94483.695
2021-11-27,95658.17,93975.08,94703.875,94590.695,94787.42,94737.2,94054.875,94436.77,95436.7,94743.7,94903.67,95446.97,95194.7,94845.47,94893.72,95370.58,94260.5,94983.66,94440.97,94972.76,95390.11,94537.72,94357.08,94488.234,95538.44,94869.24,94671.914,94191.01,94910.05,94713.98,94803.51
2021-11-28,95994.48,94328.39,95097.27,94980.42,95148.984,95094.88,94393.71,94791.85,95786.52,95116.945,95305.23,95818.82,95555.69,95193.92,95229.63,95736.78,94665.36,95362.875,94834.64,95391.66,95723.11,94890.695,94724.61,94848.28,95877.03,95259.78,95018.48,94553.945,95288.59,95072.83,95169.51
2021-11-29,96396.29,94751.32,95577.125,95449.97,95578.45,95515.74,94793.98,95213.03,96202.375,95560.89,95799.45,96263.56,95983.54,95604.8,95624.17,96170.34,95158.31,95819.586,95314.47,95906.61,96116.59,95307.11,95160.08,95274.0,96277.375,95727.64,95428.98,94981.41,95743.36,95499.06,95606.664
2021-11-30,96311.984,94640.48,95197.46,95239.68,95560.4,95612.89,94841.18,95212.266,96176.25,95514.73,95602.44,96157.375,95991.64,95674.08,95736.414,96192.7,94792.08,95620.8,94944.57,95387.04,96159.82,95371.27,95172.81,95312.75,96314.06,95593.97,95444.81,95067.2,95576.69,95482.43,95530.08
2021-12-01,95924.59,94220.98,94586.24,94727.484,95184.68,95305.89,94525.125,94852.836,95807.88,95104.78,95078.46,95721.74,95631.25,95360.76,95459.875,95835.05,94176.91,95125.66,94338.664,94671.47,95847.41,95050.484,94808.41,94970.51,95992.36,95124.01,95103.336,94748.516,95100.305,95110.266,95116.516
2021-12-02,95031.69,93264.03,93303.09,93597.19,94286.27,94514.59,93737.55,93984.91,94931.305,94146.734,93932.6,94723.44,94756.39,94568.38,94734.57,94959.58,92877.41,94030.81,93063.42,93207.59,95070.72,94242.75,93921.5,94123.93,95196.45,94056.734,94270.3,93934.81,94034.3,94219.67,94157.42
2021-12-03,95005.445,93276.74,93781.266,93770.55,94126.75,94148.58,93471.99,93797.516,94792.58,94052.016,94071.13,94717.91,94549.77,94257.71,94352.9,94724.414,93324.97,94188.97,93523.54,93925.25,94815.484,93938.96,93703.01,93862.375,94950.016,94090.99,94057.375,93586.57,94134.7,94058.97,94101.96
2021-12-04,95039.38,93315.984,93866.22,93828.0,94151.55,94154.59,93484.91,93819.13,94817.96,94080.35,94126.766,94757.51,94570.33,94267.66,94355.164,94742.984,93408.44,94243.93,93606.92,94034.25,94828.7,93950.0,93723.21,93877.94,94964.61,94136.16,94075.81,93594.74,94184.45,94083.375,94136.37
2021-12-05,95169.09,93456.086,94066.36,93997.695,94278.516,94260.42,93592.86,93940.914,94942.29,94214.34,94297.805,94903.16,94692.62,94375.12,94450.914,94864.58,93610.14,94408.03,93805.42,94267.15,94935.336,94059.88,93846.94,93994.62,95074.29,94292.96,94191.805,93704.31,94342.81,94209.16,94274.85
2021-12-06,95424.57,93729.0,94422.33,94316.66,94538.42,94494.22,93823.41,94192.73,95195.52,94486.13,94621.95,95188.28,94946.836,94608.03,94666.19,95119.58,93971.47,94717.18,94159.55,94669.57,95162.54,94297.03,94104.87,94241.93,95306.82,94596.91,94434.2,93944.12,94644.98,94466.87,94549.73
2021-12-07,96154.48,94513.98,95505.4,95254.305,95263.95,95118.2,94451.04,94891.4,95904.55,95248.984,95572.63,96005.914,95649.914,95236.56,95235.016,95821.25,95066.04,95624.79,95235.06,95916.75,95781.95,94938.625,94817.016,94918.17,95942.55,95473.69,95102.6,94587.63,95525.086,95185.914,95331.45
2021-12-08,97471.02,95955.98,97302.6,96882.82,96613.016,96347.28,95656.586,96200.64,97217.7,96657.05,97275.07,97473.51,96972.58,96457.125,96370.266,97150.25,96893.2,97204.25,97024.414,97936.07,96969.7,96180.625,96159.63,96209.62,97156.8,97035.2,96365.22,95846.43,97072.48,96523.66,96752.7
2021-12-09,97958.51,96428.05,97354.12,97239.805,97271.18,97210.54,96391.88,96878.32,97838.55,97302.97,97701.164,97988.61,97677.66,97251.31,97220.11,97891.87,96991.31,97562.47,97094.41,97778.055,97686.55,96974.07,96885.87,96969.79,97872.12,97535.22,97057.234,96698.8,97488.54,97179.3,97312.6
2021-12-10,98467.81,96985.734,97913.73,97815.36,97828.13,97776.05,96922.11,97427.4,98376.3,97867.28,98314.53,98550.086,98236.734,97798.98,97754.22,98461.09,97570.34,98123.414,97655.72,98359.16,98207.32,97528.18,97455.75,97531.68,98400.52,98121.97,97595.26,97270.99,98052.39,97732.234,97870.016
