,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,6546.347,5146.385,4535.502,9156.451,6529.9736,8316.515,12219.575,4795.248,6296.589,3512.4055,8486.601,10724.99,7229.517,12135.768,1324.9644,3684.687,2397.6934,6025.743,4681.711,5284.862,18336.053,10170.533,12096.026,7353.342,3290.6675,5031.644,4861.5522,8195.376,6306.001,11884.949,7218.589
2000-01-10,6881.35,3115.0972,7657.1914,14917.345,6019.6123,9419.952,10226.978,6783.7275,6421.0938,4907.4126,7015.7476,7402.5054,6512.807,7196.556,5019.7085,2012.9696,3666.6243,4407.888,5196.5537,3017.7632,11712.472,6395.6665,4392.5664,4758.6387,4682.78,8708.513,5398.4663,6904.1265,6647.0786,8049.8345,6514.9673
2000-01-11,5762.255,5403.4854,7399.727,8804.932,5181.322,9371.021,7303.817,6962.8696,5947.0757,3588.5342,7170.8926,6111.7866,7260.6855,7985.454,6044.734,4265.3574,6143.302,6630.0186,5621.899,5121.587,8803.35,7701.505,5287.4604,5442.365,5186.984,7888.593,6791.6133,6586.682,8564.786,5988.888,6544.0996
2000-01-12,5801.774,5443.629,7378.7485,8811.76,5255.5493,9503.864,7408.3027,7093.714,6008.115,3693.503,7216.1265,6178.537,7381.542,8069.855,6138.2827,4425.9624,6126.0337,6673.1587,5669.428,5063.93,8878.894,7758.83,5387.0815,5546.659,5257.4995,7925.9556,6867.3335,6673.2617,8643.979,6114.9023,6613.2075
2000-01-13,5970.808,5612.157,7591.136,8998.051,5413.938,9655.216,7570.303,7311.82,6158.933,3896.4092,7366.1416,6337.653,7592.8105,8186.9805,6256.822,4701.9487,6337.6455,6828.5454,5843.367,5316.75,9009.617,7927.4277,5621.434,5720.3506,5386.054,8100.538,6990.4155,6792.937,8825.097,6280.712,6786.734
2000-01-14,6111.6704,5753.173,7713.251,9124.761,5574.8237,9769.28,7757.0483,7456.3906,6304.6396,4110.201,7499.0483,6493.2085,7688.8135,8328.885,6406.7544,5006.595,6462.1357,6963.3286,5993.6484,5436.7144,9153.496,8081.8374,5851.572,5914.5723,5524.614,8243.34,7129.453,6938.194,9004.658,6486.671,6942.759
2000-01-15,6221.0674,5862.7744,7800.078,9219.002,5703.99,9863.61,7909.635,7570.5854,6420.7227,4282.7754,7603.419,6617.3667,7766.776,8445.557,6530.6597,5254.102,6551.248,7068.7773,6111.1377,5516.6377,9270.336,8203.787,6035.3916,6072.635,5636.812,8353.848,7242.76,7057.652,9148.303,6656.5225,7066.5986
2000-01-16,6276.2256,5918.2285,7825.603,9257.028,5778.7314,9924.258,8003.782,7632.529,6485.917,4384.658,7658.6704,6687.6045,7813.8213,8519.119,6610.1445,5403.727,6578.931,7123.7046,6172.149,5526.762,9340.87,8269.904,6139.6665,6168.795,5703.84,8408.676,7312.0205,7133.027,9230.249,6764.7124,7135.112
2000-01-17,6229.3545,5871.8433,7733.5884,9188.15,5752.258,9923.139,7990.097,7596.7144,6456.1846,4355.372,7621.842,6657.3438,7803.6665,8513.378,6608.148,5372.255,6488.9546,7083.8105,6127.1343,5401.9087,9325.713,8231.549,6095.6997,6150.4956,5687.1646,8358.6455,7299.9067,7127.3193,9197.305,6759.648,7100.286
2000-01-18,6485.4595,6126.6416,8106.86,9497.169,5965.1123,10022.089,8186.9834,7823.3794,6665.893,4620.8813,7841.7236,6876.8784,7914.069,8649.284,6739.7607,5611.722,6858.212,7314.278,6385.6714,5870.0435,9490.981,8473.954,6418.1353,6367.2505,5852.449,8625.676,7452.17,7265.9355,9444.879,6947.278,7330.028
2000-01-19,6879.7324,6520.316,8546.386,9902.642,6363.962,10304.204,8617.501,8204.657,7038.055,5139.7437,8199.682,7271.391,8141.345,8967.592,7068.318,5944.8633,7299.003,7682.109,6796.807,6367.374,9831.441,8881.403,7000.3506,6822.801,6184.308,9030.157,7776.394,7591.442,9896.543,7403.0586,7722.4526
2000-01-20,7065.0747,6706.6875,8628.615,10028.576,6616.9673,10538.782,8937.161,8413.653,7258.406,5485.0117,8385.853,7508.886,8300.945,9217.633,7338.695,6184.413,7388.6816,7867.016,7002.1694,6395.539,10070.677,9104.486,7353.032,7149.125,6411.551,9214.215,8011.4814,7847.656,10173.788,7770.9683,7945.8584
