,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,11203.874,7257.7925,10090.039,8049.2686,3941.8738,7904.3315,10683.251,7694.875,8951.747,6290.113,8267.279,7547.115,9448.007,7599.1533,12495.547,7931.1567,6875.842,6396.1313,10545.715,12261.977,8355.055,13868.649,7066.2144,5541.141,8894.367,6878.2886,12031.966,8217.812,9762.5625,10050.505,8736.721
2000-01-10,9050.998,8204.335,8278.452,9327.996,8335.741,6897.6836,7908.8105,6004.9844,8869.398,7207.11,6180.4717,9126.727,7649.2603,7575.8203,7071.3086,9357.374,7631.16,7382.3726,9604.867,8452.599,7791.371,8269.403,8359.714,5667.06,6935.0703,8549.431,6793.3384,7981.2017,7486.0215,9479.046,7914.3047
2000-01-11,8521.897,8486.15,8092.8696,8400.555,7808.896,8249.428,8082.561,8099.169,7972.89,8275.066,7681.059,8373.328,8084.9497,8612.702,7993.4263,7946.7446,8007.55,7807.385,8777.264,8382.111,7713.2812,8252.339,8344.256,7591.6143,7643.2026,8640.934,8130.2476,8039.9277,7315.268,8072.7593,8113.3276
2000-01-12,8554.815,8560.018,8181.4927,8490.29,7930.465,8346.866,8162.6724,8174.347,8077.6846,8341.797,7747.4907,8447.844,8192.6875,8678.6455,8052.0586,8015.685,8080.816,7904.726,8845.503,8453.418,7776.0903,8347.568,8396.79,7656.672,7729.8813,8701.379,8215.734,8124.501,7401.842,8126.2505,8190.5337
2000-01-13,8695.389,8708.296,8344.231,8661.31,8128.74,8517.699,8358.405,8331.487,8257.985,8505.203,7898.3423,8637.394,8362.985,8853.647,8216.795,8232.859,8271.404,8079.914,8984.258,8638.916,7959.854,8540.561,8578.964,7848.3193,7902.904,8840.18,8391.788,8299.507,7582.579,8267.728,8363.255
2000-01-14,8813.869,8862.076,8519.134,8842.475,8352.169,8679.596,8544.587,8492.3,8452.55,8656.577,8048.26,8818.812,8563.783,9021.564,8369.701,8427.949,8452.531,8252.473,9127.697,8815.199,8126.5674,8731.364,8732.547,8008.791,8083.0,8977.594,8572.933,8472.941,7764.929,8401.485,8532.849
2000-01-15,8906.077,8985.917,8660.704,8988.817,8534.208,8808.181,8667.375,8621.551,8580.614,8776.356,8168.2275,8963.131,8727.586,9154.683,8490.736,8581.523,8596.461,8391.647,9243.156,8955.275,8247.9375,8880.444,8851.197,8133.5327,8228.112,9087.49,8711.562,8606.107,7911.3765,8511.627,8665.721
2000-01-16,8953.014,9058.408,8745.154,9075.459,8617.195,8879.513,8732.497,8696.652,8654.547,8841.806,8236.767,9043.701,8828.081,9226.323,8556.964,8663.649,8676.448,8473.569,9310.623,9033.119,8312.4795,8967.4375,8911.02,8196.684,8313.224,9150.131,8792.094,8683.88,7996.2197,8576.703,8740.112
2000-01-17,8914.845,9035.532,8723.742,9051.37,8587.772,8843.615,8689.538,8671.108,8627.802,8805.674,8209.551,9005.307,8811.678,9189.485,8520.718,8611.949,8637.06,8449.226,9288.936,8994.787,8270.528,8939.078,8861.254,8143.9478,8286.923,9124.7705,8766.987,8658.751,7966.5176,8548.337,8707.893
2000-01-18,9128.486,9231.105,8933.441,9274.212,8812.167,9084.421,8947.062,8881.164,8840.371,9042.033,8415.384,9270.472,9028.354,9432.199,8755.641,8927.744,8904.903,8665.598,9473.064,9255.459,8523.497,9166.95,9135.139,8433.597,8515.375,9314.661,8983.95,8871.476,8206.868,8758.203,8940.434
