,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,93564.89,94278.61,93808.49,94337.31,93988.97,93597.01,93559.18,94073.4,93956.016,94072.24,94137.56,93398.34,94133.945,93136.59,94479.22,94492.41,93717.15,94072.39,94356.64,94105.13,94532.62,93530.4,93609.875,94765.64,94028.12,93409.16,93993.35,93920.93,94029.17,94186.945,93975.73
2021-11-25,93555.09,94258.914,93783.18,94310.72,93960.67,93587.63,93542.74,94064.47,93946.914,94055.67,94130.586,93399.9,94131.29,93117.266,94450.65,94460.74,93718.68,94067.17,94340.984,94090.57,94513.82,93519.46,93608.98,94779.16,94031.01,93393.16,93980.65,93902.664,94023.586,94175.62,93963.4
2021-11-26,93618.36,94322.28,93848.875,94375.8,94025.945,93643.39,93607.04,94125.03,94006.28,94119.27,94192.25,93457.59,94190.63,93181.45,94516.266,94525.31,93778.56,94126.42,94401.805,94151.89,94576.625,93579.62,93667.82,94829.87,94088.49,93456.75,94043.625,93967.01,94083.39,94236.96,94024.836
2021-11-27,93834.22,94515.66,94038.164,94559.79,94206.875,93831.695,93811.54,94332.68,94208.914,94320.76,94408.54,93678.62,94408.08,93378.89,94697.79,94695.72,94007.72,94337.625,94594.87,94349.37,94769.86,93781.17,93887.516,95051.86,94311.6,93659.57,94251.73,94167.44,94295.85,94442.01,94227.87
2021-11-28,94224.125,94889.555,94418.445,94933.49,94579.64,94172.58,94197.164,94706.34,94573.9,94701.27,94792.32,94051.04,94783.766,93759.34,95072.03,95057.875,94393.91,94708.57,94958.72,94718.445,95141.34,94149.07,94263.2,95397.78,94684.29,94041.45,94634.89,94550.35,94670.02,94816.734,94601.39
2021-11-29,94681.2,95326.0,94862.47,95368.89,95014.28,94570.195,94648.22,95144.02,95000.51,95145.875,95241.92,94488.58,95224.14,94204.33,95508.164,95479.086,94847.336,95143.04,95383.484,95149.734,95574.875,94579.82,94704.06,95804.37,95121.87,94488.35,95083.44,94997.97,95108.64,95255.43,95038.34
2021-11-30,94856.86,95522.33,95077.88,95584.19,95233.49,94724.72,94840.72,95311.2,95163.83,95336.17,95406.984,94625.77,95374.13,94403.125,95729.35,95704.05,94989.83,95297.9,95564.59,95330.14,95767.766,94750.13,94848.79,95897.75,95255.64,94678.41,95264.01,95194.43,95266.28,95429.516,95214.34
2021-12-01,94560.77,95255.33,94814.125,95328.28,94980.26,94469.03,94558.85,95027.2,94887.805,95058.94,95111.91,94325.914,95078.91,94129.62,95475.81,95465.47,94679.34,95010.47,95299.58,95058.97,95501.49,94473.77,94550.33,95601.37,94954.0,94398.67,94978.06,94917.62,94976.52,95148.43,94935.89
2021-12-02,93758.71,94511.13,94069.17,94601.03,94259.305,93770.65,93781.664,94257.41,94137.38,94293.21,94316.35,93533.984,94290.17,93370.12,94752.04,94774.78,93858.46,94238.13,94567.13,94312.68,94760.29,93721.125,93757.65,94837.27,94158.16,93628.234,94197.57,94150.58,94197.94,94382.25,94174.83
2021-12-03,93234.086,93955.2,93477.46,94010.35,93662.56,93305.38,93228.13,93756.164,93645.08,93744.98,93812.77,93087.9,93818.0,92808.71,94151.09,94172.32,93394.91,93759.03,94043.414,93788.414,94211.484,93217.0,93295.22,94482.39,93717.66,93081.664,93666.39,93591.19,93713.3,93867.58,93656.664
2021-12-04,93229.195,93945.84,93465.6,93997.875,93649.29,93300.73,93220.24,93751.7,93640.53,93737.02,93809.14,93088.164,93816.34,92799.52,94137.75,94157.56,93395.13,93756.21,94035.9,93781.39,94202.55,93211.625,93294.336,94488.08,93718.53,93074.0,93660.17,93582.484,93710.33,93862.02,93650.64
2021-12-05,93331.95,94039.76,93558.33,94088.46,93738.51,93390.93,93318.77,93850.586,93737.27,93834.25,93911.8,93191.64,93918.93,92895.12,94227.39,94242.58,93502.5,93856.26,94129.11,93876.445,94296.29,93307.94,93397.59,94590.445,93822.91,93171.64,93759.79,93679.39,93810.94,93960.05,93747.93
2021-12-06,93571.79,94264.47,93783.43,94309.234,93957.31,93601.49,93552.38,94080.984,93962.71,94064.88,94149.766,93427.01,94154.375,93123.61,94447.164,94453.305,93746.71,94087.29,94350.016,94101.04,94520.16,93533.52,93633.79,94816.69,94059.5,93403.01,93993.93,93910.26,94043.54,94189.766,93976.43
2021-12-07,94194.16,94838.21,94354.47,94867.02,94509.58,94144.68,94152.65,94678.59,94546.09,94656.68,94768.73,94046.54,94769.875,93708.555,95001.2,94980.51,94389.02,94689.21,94916.54,94678.484,95092.05,94117.1,94253.234,95420.086,94682.53,93997.97,94598.805,94501.84,94649.72,94783.78,94566.26
2021-12-08,95475.61,96036.66,95562.38,96046.57,95685.77,95252.83,95400.71,95905.17,95739.14,95885.414,96033.99,95298.12,96018.12,94933.63,96179.2,96107.7,95684.95,95915.15,96090.01,95873.586,96283.5,95320.02,95508.6,96607.28,95935.23,95235.586,95849.3,95735.98,95887.305,96008.19,95783.18
2021-12-09,96551.48,97111.58,96691.36,97154.36,96803.625,96176.734,96496.2,96930.73,96731.99,96962.57,97073.09,96268.305,97012.75,96033.89,97301.96,97209.805,96688.67,96908.4,97114.695,96910.125,97345.61,96340.32,96496.195,97436.125,96896.266,96321.43,96917.91,96833.125,96896.01,97048.12,96822.12
2021-12-10,97182.61,97712.48,97310.695,97755.734,97408.56,96711.22,97119.68,97532.22,97311.08,97573.66,97688.19,96866.516,97612.34,96653.08,97907.88,97793.234,97306.414,97500.07,97695.44,97501.766,97940.61,96933.4,97097.74,97978.33,97491.02,96940.75,97536.07,97452.414,97496.984,97651.92,97422.07
2021-12-11,97717.02,98228.125,97848.04,98277.02,97934.266,97161.41,97652.734,98041.016,97799.33,98095.45,98205.87,97363.98,98113.58,97185.555,98435.17,98303.57,97819.79,97996.17,98190.55,98005.73,98450.39,97436.57,97599.05,98417.81,97984.32,97470.49,98061.11,97983.34,98002.14,98164.44,97931.46
