,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,94176.3,93612.22,93809.164,94483.12,94824.625,94642.01,94104.25,94524.91,94440.34,94220.836,94383.445,94402.03,94114.89,94403.74,94651.79,95230.92,94187.98,94766.65,94832.22,94742.94,94758.8,94181.46,93612.57,95206.17,94119.21,94161.35,94273.44,94970.13,94720.23,94430.48,94432.95
2021-11-25,94169.06,93588.33,93797.02,94458.05,94813.016,94632.47,94069.664,94493.65,94419.48,94186.11,94364.15,94369.56,94084.95,94395.77,94630.3,95223.66,94166.07,94737.47,94824.21,94735.71,94727.836,94147.734,93601.51,95201.734,94102.305,94141.945,94260.36,94961.34,94706.34,94399.37,94413.625
2021-11-26,94229.27,93649.97,93857.03,94519.63,94871.914,94691.16,94133.71,94559.234,94480.21,94252.86,94423.75,94434.73,94148.89,94451.51,94690.52,95280.81,94228.484,94800.01,94880.055,94792.22,94792.266,94213.32,93660.26,95256.375,94163.87,94201.88,94320.52,95019.195,94765.195,94462.7,94474.39
2021-11-27,94439.45,93827.25,94055.2,94694.02,95067.05,94890.31,94295.42,94734.484,94660.98,94424.47,94603.84,94605.555,94321.02,94643.17,94867.96,95479.37,94413.25,94968.49,95071.89,94988.414,94963.77,94382.82,93856.234,95451.93,94356.95,94383.08,94517.11,95216.84,94954.94,94629.78,94658.83
2021-11-28,94813.46,94183.586,94419.9,95048.2,95425.3,95250.86,94649.98,95104.62,95016.2,94796.27,94954.055,94970.836,94682.71,94987.484,95218.875,95833.32,94777.82,95321.96,95416.22,95338.4,95326.484,94748.69,94214.86,95794.05,94724.28,94735.86,94881.37,95572.695,95309.16,94985.414,95016.76
2021-11-29,95251.57,94599.28,94846.42,95461.234,95844.17,95672.95,95062.56,95536.19,95430.74,95229.29,95362.5,95396.336,95104.31,95390.83,95628.2,96247.375,95203.484,95733.625,95819.02,95747.98,95748.82,95174.8,94634.61,96194.14,95153.84,95147.99,95307.266,95988.73,95722.945,95399.63,95434.7
2021-11-30,95413.516,94800.76,95018.3,95665.06,96012.36,95836.72,95293.03,95763.79,95623.03,95467.13,95548.84,95625.44,95323.39,95544.21,95821.48,96401.555,95402.79,95948.49,95972.51,95901.055,95971.84,95407.85,94801.914,96335.12,95340.85,95335.91,95482.055,96148.03,95895.63,95621.61,95624.14
2021-12-01,95126.62,94554.04,94746.67,95421.875,95745.28,95564.234,95064.42,95517.21,95372.56,95224.87,95300.445,95384.95,95081.234,95282.1,95575.82,96131.26,95146.34,95712.51,95711.12,95633.76,95731.164,95168.9,94533.32,96070.02,95074.305,95084.86,95212.336,95878.766,95635.41,95386.88,95369.11
2021-12-02,94352.47,93856.87,94003.98,94732.19,95014.84,94823.664,94396.6,94808.125,94670.88,94520.516,94605.42,94689.18,94387.74,94572.15,94884.28,95399.86,94427.06,95034.29,95001.18,94910.32,95037.69,94474.65,93800.47,95357.43,94336.86,94384.43,94472.59,95146.81,94919.164,94708.0,94657.65
2021-12-03,93859.54,93301.63,93497.47,94173.74,94518.41,94335.3,93789.67,94199.41,94132.09,93891.94,94079.74,94079.695,93797.086,94111.58,94346.62,94930.35,93871.65,94455.58,94539.35,94445.89,94439.086,93857.95,93306.734,94916.67,93803.28,93856.21,93961.63,94667.07,94416.12,94116.7,94123.266
2021-12-04,93855.82,93290.41,93491.54,94161.98,94512.73,94330.57,93773.6,94184.83,94122.2,93875.8,94070.6,94064.58,93783.055,94107.58,94336.51,94926.65,93861.32,94441.96,94535.35,94442.22,94424.64,93842.28,93301.33,94914.23,93795.22,93847.01,93955.28,94662.67,94409.414,94102.24,94114.125
2021-12-05,93955.64,93377.33,93586.51,94247.72,94606.25,94425.59,93854.836,94271.836,94210.33,93961.67,94158.29,94149.76,93868.36,94198.81,94423.234,95021.14,93951.42,94525.586,94626.85,94535.586,94509.94,93927.055,93395.07,95006.92,93888.45,93935.055,94049.69,94757.02,94500.76,94185.5,94203.74
2021-12-06,94187.32,93588.4,93809.664,94456.73,94825.76,94647.48,94058.66,94487.1,94422.54,94176.15,94368.516,94361.445,94079.13,94411.24,94632.48,95240.54,94168.73,94731.945,94839.7,94752.37,94721.1,94138.41,93614.83,95220.71,94110.234,94146.33,94271.984,94976.836,94716.5,94392.0,94418.49
2021-12-07,94789.555,94123.41,94385.445,94985.445,95392.06,95222.016,94566.266,95027.836,94962.766,94711.81,94904.086,94891.5,94609.305,94962.45,95164.02,95809.82,94721.85,95250.28,95391.05,95314.97,95250.68,94666.516,94182.79,95777.18,94679.08,94685.56,94844.69,95545.76,95271.09,94909.14,94966.61
2021-12-08,96021.69,95253.98,95573.055,96105.98,96558.164,96402.45,95664.01,96187.78,96096.91,95867.39,96022.516,96030.625,95745.64,96093.48,96280.234,96971.98,95885.65,96357.3,96518.3,96464.34,96384.42,95804.15,95353.47,96906.02,95864.76,95816.36,96027.734,96709.36,96417.71,96018.15,96113.45
2021-12-09,97036.336,96307.42,96586.26,97159.68,97551.16,97395.5,96767.66,97320.04,97129.38,97019.9,97031.36,97153.805,96843.08,97037.81,97306.1,97928.72,96952.06,97428.25,97457.59,97413.83,97487.89,96936.25,96349.75,97812.04,96915.836,96839.91,97046.086,97678.516,97409.766,97109.1,97147.03
2021-12-10,97636.0,96884.32,97170.93,97733.56,98124.31,97975.1,97345.51,97925.4,97701.76,97627.38,97592.26,97749.52,97431.63,97592.55,97871.75,98491.63,97542.83,98000.96,98007.3,97972.59,98075.59,97533.79,96927.414,98351.56,97510.96,97411.45,97630.84,98244.24,97975.97,97688.23,97724.25
2021-12-11,98141.04,97383.89,97667.086,98231.5,98610.586,98465.984,97854.48,98455.52,98194.53,98161.81,98074.23,98272.28,97944.65,98061.78,98360.39,98965.29,98052.74,98501.01,98471.82,98443.6,98589.16,98059.43,97418.01,98802.266,98021.164,97903.445,98128.34,98721.61,98457.85,98196.35,98220.38
2021-12-12,98517.82,97753.89,98036.266,98600.11,98972.33,98831.88,98229.805,98847.59,98559.77,98556.37,98431.34,98658.41,98323.86,98411.914,98722.445,99318.13,98430.98,98870.414,98817.88,98794.67,98968.32,98447.6,97783.516,99138.03,98400.56,98268.73,98498.38,99076.88,98815.836,98571.695,98588.52
2021-12-13,98768.93,98007.26,98284.22,98852.97,99215.32,99077.125,98490.94,99118.8,98808.516,98830.55,98674.336,98926.11,98584.87,98646.266,98969.984,99553.266,98689.16,99125.4,99049.55,99029.04,99230.18,98717.375,98029.18,99360.22,98657.83,98517.38,98747.58,99314.38,99057.086,98831.96,98838.86
2021-12-14,98831.44,98084.74,98350.19,98931.17,99280.12,99140.99,98579.305,99206.93,98881.94,98922.414,98745.805,99014.61,98667.47,98706.39,99044.99,99612.23,98766.21,99207.7,99109.5,99088.375,99315.086,98807.81,98094.52,99413.01,98730.93,98590.1,98815.195,99375.56,99123.2,98918.1,98911.87
2021-12-15,98687.63,97962.08,98214.89,98810.18,99147.69,99004.83,98466.17,99083.664,98757.49,98802.14,98623.836,98895.305,98545.66,98574.84,98923.99,99478.33,98638.21,99091.055,98980.29,98955.7,99195.95,98689.47,97960.25,99282.06,98597.54,98464.51,98681.164,99242.8,98994.586,98802.2,98785.15
