,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,6701.6064,7199.599,6123.1035,7965.1377,8994.309,7447.1772,7319.207,6736.15,9737.718,6983.7876,6126.643,6838.2534,6036.2764,9808.8955,7956.826,8449.794,7893.3623,6199.8677,10612.735,8836.154,7572.5728,6974.681,8172.824,6762.498,8379.162,8270.281,8678.7295,6996.646,7941.536,6379.8086,7669.8447
2000-01-10,8828.091,7741.718,7250.5967,6547.504,8916.838,8579.024,10025.921,7252.2954,9401.545,7489.3306,7949.3413,7983.6055,8188.297,9319.298,8890.407,8050.041,8755.747,7276.866,11195.003,10038.693,8256.8955,8160.2275,9239.477,7855.056,8288.867,8858.321,8916.031,8496.755,9018.094,7888.257,8488.6045
2000-01-11,7558.929,7786.0425,7305.432,8281.296,9242.531,8554.648,7656.434,7887.7676,8404.106,6425.5635,6739.6016,6449.2925,5773.7627,9016.741,8588.856,8440.029,8618.633,7435.043,9879.218,9336.846,7118.1323,7595.3154,8316.138,7156.8286,8198.745,7942.198,8303.122,7720.053,8526.141,8006.378,7942.1274
2000-01-12,7694.4756,7910.726,7439.4526,8425.43,9362.83,8662.677,7810.99,8029.464,8551.907,6575.1626,6879.2637,6599.6885,5927.7417,9119.773,8698.463,8566.034,8743.893,7586.498,9959.753,9448.466,7257.123,7747.5356,8431.615,7292.079,8320.485,8075.521,8430.238,7850.8525,8661.603,8146.6177,8073.546
2000-01-13,7800.018,8024.5234,7551.7466,8541.083,9470.53,8769.837,7919.191,8141.4165,8661.104,6684.384,6989.2964,6707.67,6053.417,9223.548,8793.438,8676.463,8849.975,7697.7866,10051.091,9543.651,7364.9663,7848.959,8531.654,7396.7607,8427.344,8183.913,8530.82,7954.301,8765.5625,8257.123,8180.385
2000-01-14,7973.6724,8195.153,7728.5186,8727.696,9633.805,8923.409,8109.007,8323.812,8846.236,6871.061,7168.941,6894.182,6253.8896,9371.165,8940.332,8845.913,9015.953,7887.2275,10173.253,9692.225,7542.728,8032.7637,8686.338,7569.5825,8591.248,8357.653,8694.809,8122.9185,8938.088,8437.474,8351.636
2000-01-15,8120.7905,8338.529,7877.639,8885.388,9771.144,9051.951,8270.518,8478.112,9003.256,7029.59,7320.975,7052.7188,6422.984,9494.713,9064.234,8988.579,9155.922,8048.044,10274.901,9817.617,7693.328,8189.673,8816.75,7716.0093,8729.302,8504.481,8833.689,8265.657,9084.342,8590.082,8496.364
2000-01-16,8223.311,8435.965,7980.332,8994.702,9864.731,9138.1,8384.821,8585.378,9113.435,7141.1133,7426.701,7164.5347,6539.7944,9577.34,9149.201,9086.123,9252.157,8161.039,10341.514,9903.807,7798.3496,8301.606,8906.152,7818.128,8823.724,8606.132,8930.271,8364.876,9186.487,8696.206,8596.534
2000-01-17,8245.804,8450.379,7999.505,9017.276,9879.357,9147.268,8415.052,8608.315,9140.083,7168.729,7449.3784,7192.9844,6563.0845,9585.51,9163.842,9102.3,9269.685,8188.653,10343.992,9919.211,7821.617,8333.446,8921.503,7840.7974,8839.36,8626.564,8950.833,8385.953,9209.543,8719.001,8616.634
2000-01-18,8324.578,8550.424,8090.52,9106.226,9972.678,9248.757,8484.098,8692.793,9215.625,7242.928,7532.4463,7264.6265,6661.071,9685.147,9243.728,9196.182,9356.598,8265.136,10439.247,9998.197,7901.4487,8393.033,9005.695,7918.2744,8930.316,8711.389,9027.378,8464.692,9285.677,8802.233,8700.371
