,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,87584.266,88565.555,90849.516,90090.48,88217.55,92430.695,89461.11,88132.516,90108.34,88411.055,87771.76,88777.36,89330.16,87733.586,92988.35,89511.19,89711.76,90423.59,91446.17,90810.74,88826.74,88908.68,90013.984,92068.766,91875.43,90363.23,87242.98,90918.62,92271.57,87747.46,89753.12
2021-11-25,87618.28,88608.37,90895.85,90121.06,88232.61,92488.64,89489.75,88143.98,90116.31,88462.8,87797.46,88824.69,89344.56,87751.8,93031.266,89543.02,89756.16,90458.32,91500.5,90828.66,88859.31,88945.01,90066.625,92100.86,91901.914,90422.414,87259.26,90959.74,92296.51,87774.39,89786.664
2021-11-26,87868.08,88856.68,91237.53,90426.01,88470.63,92892.38,89770.04,88328.086,90369.46,88758.11,88011.05,89085.72,89608.82,87923.71,93404.75,89835.74,90046.39,90787.586,91853.43,91111.14,89111.43,89196.19,90393.73,92446.11,92236.29,90765.52,87479.79,91306.55,92667.72,87975.984,90074.14
2021-11-27,88143.375,89106.48,91612.32,90793.9,88775.266,93335.484,90102.33,88560.336,90699.27,89033.52,88250.3,89336.4,89949.234,88119.47,93836.86,90171.7,90350.4,91178.57,92223.74,91467.69,89391.945,89465.75,90719.16,92863.125,92649.69,91115.27,87753.5,91706.25,93134.63,88200.62,90401.55
2021-11-28,88459.4,89384.3,92047.836,91219.74,89149.89,93826.484,90497.2,88856.77,91147.75,89367.836,88539.77,89661.96,90380.0,88362.68,94342.05,90583.95,90702.12,91633.516,92645.52,91919.39,89720.18,89776.08,91102.02,93364.48,93144.95,91494.69,88098.63,92168.875,93714.33,88460.5,90792.414
2021-11-29,88389.17,89309.44,91956.66,91140.445,89099.984,93705.61,90429.42,88825.2,91114.25,89275.04,88489.16,89611.055,90333.3,88323.04,94247.02,90517.22,90622.79,91548.24,92544.48,91868.92,89654.37,89706.766,91008.07,93286.31,93063.18,91386.336,88059.83,92078.1,93637.53,88409.63,90721.34
2021-11-30,88080.89,89013.43,91525.73,90734.94,88766.88,93199.31,90057.875,88571.31,90772.82,88937.39,88217.57,89292.945,89961.945,88098.05,93758.13,90145.984,90268.71,91112.5,92112.34,91477.44,89334.85,89394.26,90610.65,92821.35,92606.6,90977.9,87755.62,91626.49,93124.15,88152.3,90350.35
2021-12-01,87366.414,88360.164,90548.62,89813.11,87983.38,92089.484,89201.96,87945.41,89833.73,88158.08,87575.15,88537.04,89062.36,87572.55,92651.18,89236.54,89460.336,90125.695,91144.945,90526.59,88601.875,88690.766,89734.984,91742.21,91561.61,90083.82,87022.34,90608.664,91908.125,87567.86,89490.49
2021-12-02,87324.15,88311.09,90490.33,89769.82,87955.21,92019.55,89161.055,87923.17,89808.57,88097.4,87540.625,88481.13,89032.375,87541.09,92593.47,89191.99,89406.75,90077.625,91079.86,90492.6,88559.945,88646.24,89671.55,91693.81,91518.72,90016.67,86993.87,90554.49,91863.055,87533.75,89445.01
2021-12-03,87348.58,88344.93,90529.97,89790.82,87973.06,92057.62,89186.26,87940.875,89831.11,88149.945,87566.58,88536.18,89054.27,87567.0,92629.49,89223.69,89445.305,90103.44,91124.31,90518.88,88588.04,88676.766,89722.05,91725.92,91542.234,90057.164,87016.914,90586.44,91893.22,87556.65,89476.26
