,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,9275.202,8306.382,7310.823,7124.38,7922.847,7038.0493,7517.2207,8111.343,7386.947,7152.1284,7905.26,7644.4604,7690.7217,7789.7935,7936.408,7013.952,8329.696,7806.5054,7797.672,7830.6484,7768.3965,7782.24,6949.3164,7705.1064,7124.906,7135.816,8540.024,7291.25,7245.6895,8230.188,7688.779
2000-01-10,9446.644,8490.271,7443.7354,7252.058,8114.9,7143.341,7669.5293,8289.24,7554.017,7298.3477,8118.657,7799.8745,7825.1455,7976.3647,8082.8286,7158.0273,8523.757,7950.2744,7921.1597,7981.232,7936.9756,7952.661,7105.1396,7833.839,7235.2705,7258.14,8704.979,7447.365,7366.9814,8411.736,7843.0835
2000-01-11,9494.341,8546.637,7473.166,7285.932,8160.884,7182.789,7712.4937,8335.0625,7601.616,7346.414,8156.723,7860.2935,7878.174,8025.77,8150.3457,7210.125,8572.931,8011.0107,7958.907,8030.6826,7977.1904,8003.1646,7158.072,7875.6934,7275.803,7297.6694,8714.563,7476.5425,7398.5625,8470.604,7888.0713
2000-01-12,9647.083,8713.753,7602.987,7429.6724,8333.912,7295.4077,7855.4565,8497.811,7763.994,7502.625,8341.232,8026.4873,8007.548,8201.929,8282.897,7371.833,8760.954,8155.436,8081.769,8177.021,8125.2134,8166.064,7320.9985,7993.396,7401.2515,7427.009,8854.79,7616.2573,7520.3784,8642.7705,8037.264
2000-01-13,9782.689,8857.569,7719.779,7563.0723,8486.89,7391.7676,7981.6855,8642.18,7902.791,7642.8306,8511.201,8168.042,8119.49,8358.536,8383.754,7518.5107,8933.141,8278.993,8184.9453,8306.401,8255.54,8307.543,7463.591,8099.9087,7514.2847,7545.9604,8991.889,7743.4585,7633.8096,8792.933,8169.44
2000-01-14,9895.013,8979.094,7804.672,7664.838,8607.757,7469.564,8080.2954,8764.672,8015.958,7743.6377,8640.4,8267.544,8210.193,8492.146,8471.808,7606.9717,9061.321,8369.728,8265.421,8405.533,8364.52,8421.71,7577.561,8192.273,7590.77,7641.68,9110.212,7847.6333,7722.289,8911.906,8273.236
2000-01-15,9964.855,9056.169,7857.0327,7690.4307,8684.616,7504.412,8139.025,8834.842,8079.354,7776.2383,8731.2295,8310.006,8260.838,8569.166,8544.988,7635.819,9128.296,8415.266,8319.288,8457.608,8434.1045,8488.25,7619.57,8242.169,7623.7344,7667.0273,9168.669,7900.3257,7754.1636,8987.931,8328.181
2000-01-16,9924.4795,9019.77,7820.744,7639.2485,8629.932,7489.4067,8101.36,8779.79,8037.059,7741.4854,8647.416,8295.456,8250.28,8499.986,8564.278,7619.066,9064.321,8426.773,8294.863,8432.108,8385.361,8448.056,7586.5303,8213.418,7613.673,7635.401,9059.497,7850.6133,7719.177,8957.026,8291.553
2000-01-17,10143.008,9265.012,8009.8315,7852.1685,8862.818,7668.4165,8301.441,9005.701,8270.858,7972.029,8883.955,8545.315,8453.921,8747.594,8783.164,7861.3203,9325.412,8659.863,8471.185,8648.598,8586.98,8676.982,7834.042,8397.824,7812.6426,7847.076,9242.013,8062.0703,7907.7324,9207.36,8510.212
2000-01-18,10508.956,9665.865,8329.386,8185.084,9277.665,7947.522,8644.09,9401.608,8657.79,8330.715,9339.439,8908.691,8761.238,9186.169,9100.102,8216.092,9770.891,8980.419,8765.3545,8984.947,8935.209,9056.463,8213.27,8695.97,8107.6025,8163.183,9612.547,8420.455,8210.461,9607.387,8866.153
2000-01-19,10701.522,9868.358,8496.59,8357.124,9499.388,8099.5894,8827.723,9601.759,8853.565,8513.317,9576.542,9094.029,8922.948,9410.827,9275.435,8400.784,10001.344,9150.845,8929.161,9153.997,9110.878,9254.295,8407.228,8851.838,8259.437,8328.532,9802.761,8606.248,8372.297,9809.579,9051.265
2000-01-20,10770.576,9939.214,8562.83,8430.01,9582.053,8160.1494,8897.554,9674.129,8924.589,8591.532,9665.705,9169.206,8983.184,9494.33,9334.83,8479.562,10091.585,9214.624,8989.525,9218.644,9172.943,9325.285,8486.91,8908.056,8317.658,8397.562,9880.666,8679.58,8438.94,9881.045,9122.082
2000-01-21,10786.129,9951.002,8582.18,8460.717,9608.19,8169.53,8917.846,9696.379,8941.199,8616.299,9699.109,9184.168,8992.696,9522.632,9329.512,8499.2705,10124.072,9216.214,9003.207,9231.65,9188.355,9342.455,8504.03,8921.808,8325.739,8417.307,9921.155,8702.359,8455.731,9890.546,9140.049
2000-01-22,10718.573,9877.146,8524.593,8407.062,9547.234,8099.201,8861.651,9635.492,8872.858,8545.944,9645.762,9099.986,8923.186,9460.758,9235.314,8417.81,10058.62,9127.379,8944.39,9163.38,9133.773,9278.928,8425.413,8866.475,8256.056,8349.489,9891.256,8641.448,8391.0205,9810.16,9073.679
2000-01-23,10513.182,9660.8125,8346.283,8219.271,9326.837,7922.7495,8669.745,9424.882,8661.551,8338.773,9420.807,8882.349,8737.315,9232.0625,9023.492,8200.626,9821.82,8920.143,8768.11,8972.327,8953.374,9074.254,8203.58,8698.204,8078.5986,8158.6665,9715.569,8444.726,8211.319,9589.399,8873.027
2000-01-24,10267.208,9388.677,8130.0854,7991.7407,9035.514,7730.4204,8425.049,9157.793,8400.334,8093.2876,9110.713,8632.433,8519.93,8933.949,8793.021,7960.9565,9515.694,8692.355,8560.357,8745.673,8720.768,8811.65,7944.717,8490.006,7880.74,7939.548,9468.708,8201.904,8007.548,9320.106,8629.029
2000-01-25,10118.251,9227.351,8002.347,7857.5166,8860.313,7624.831,8287.233,8997.902,8245.693,7951.7637,8922.892,8488.822,8397.022,8755.215,8670.434,7823.0625,9333.041,8564.527,8443.965,8612.737,8581.324,8652.496,7796.986,8369.795,7766.835,7817.224,9318.595,8058.7183,7890.939,9161.535,8486.6455
2000-01-26,10058.06,9161.651,7949.015,7802.799,8788.946,7582.969,8229.984,8932.913,8182.7153,7895.065,8842.438,8432.122,8349.226,8681.383,8622.823,7766.4683,9256.658,8516.184,8396.883,8558.042,8521.929,8589.435,7737.8604,8320.832,7720.564,7768.262,9254.393,7999.381,7843.427,9096.338,8428.626
2000-01-27,10051.182,9154.276,7941.302,7793.812,8780.378,7577.614,8222.622,8925.219,8174.9053,7886.098,8831.433,8424.046,8343.855,8671.938,8619.733,7756.9624,9245.606,8510.916,8391.238,8550.931,8514.838,8582.009,7729.478,8315.282,7713.685,7760.763,9244.543,7990.8716,7836.6177,9088.858,8421.035
2000-01-28,10051.718,9155.5625,7941.6504,7791.998,8780.57,7578.1367,8222.705,8924.76,8175.2925,7885.7153,8829.758,8425.831,8345.692,8670.809,8624.608,7758.263,9244.38,8514.632,8392.502,8551.882,8514.69,8582.596,7729.4224,8315.526,7715.0923,7759.9316,9239.735,7990.296,7836.3076,9090.614,8421.355
2000-01-29,10050.57,9154.969,7945.7324,7799.1904,8780.642,7581.465,8222.979,8923.788,8177.512,7892.3555,8829.068,8432.514,8345.917,8670.92,8621.067,7768.065,9247.553,8516.861,8394.396,8553.66,8513.207,8582.716,7733.891,8315.156,7721.379,7764.948,9240.399,7993.8105,7840.2544,9090.122,8423.503
2000-01-30,10055.003,9157.768,7954.516,7813.7627,8788.83,7585.298,8230.36,8931.153,8183.488,7904.4204,8845.386,8438.518,8346.305,8682.143,8610.458,7779.343,9263.177,8515.559,8396.863,8559.149,8519.59,8587.995,7742.9565,8318.751,7727.4897,7775.059,9261.569,8005.2607,7849.879,9092.854,8430.763
2000-01-31,10018.227,9113.961,7922.667,7787.99,8750.466,7555.719,8196.819,8896.379,8146.091,7868.6914,8811.924,8392.071,8306.507,8646.798,8557.219,7736.5977,9224.986,8468.0205,8365.524,8520.26,8487.022,8549.046,7703.5103,8288.831,7691.4775,7746.423,9251.477,7976.3906,7824.12,9045.805,8395.033
2000-02-01,9909.274,8990.801,7828.9165,7683.123,8634.336,7471.0225,8096.3193,8783.232,8031.075,7754.075,8694.314,8270.125,8205.063,8522.587,8450.043,7621.164,9095.222,8353.829,8279.257,8412.83,8385.331,8434.95,7580.0176,8195.843,7596.2383,7645.202,9165.557,7872.8115,7733.447,8921.337,8287.245
