,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,128461.75,116429.695,125761.195,112974.14,114793.86,125764.73,116398.24,113891.83,117748.09,116602.22,115612.86,118203.04,113748.85,116490.55,121655.89,117574.59,127085.59,115459.65,112299.23,128882.67,116258.484,122436.68,128038.42,127451.92,115105.85,116933.55,127708.484,117419.51,129754.76,116937.234,119796.11
798,128382.69,116240.625,125521.59,112874.195,114565.48,125652.85,116040.4,113630.766,117714.48,116471.19,115367.66,117989.08,113577.43,116556.5,121477.664,117244.58,126974.49,115314.94,112158.64,128646.914,116104.72,122220.78,128054.984,127341.68,115161.664,116561.61,127541.586,117119.875,129549.54,116694.19,119625.09
799,128123.555,116090.875,125397.62,112677.81,114306.06,125427.516,115754.08,113507.46,117450.88,116278.77,115075.336,117680.45,113308.24,116214.94,121304.98,116933.41,126760.99,114942.91,111971.32,128509.414,115955.95,122075.72,127730.91,127110.234,114842.1,116299.5,127358.48,117037.11,129394.734,116337.336,119395.28
800,128236.47,116200.27,125513.77,112775.72,114465.03,125539.0,115962.1,113629.984,117551.33,116384.9,115250.734,117851.81,113453.02,116311.38,121418.87,117141.36,126868.18,115114.62,112078.64,128629.016,116054.16,122191.78,127836.59,127223.305,114934.164,116503.586,127472.45,117157.66,129510.84,116534.125,119526.5
801,128352.2,116298.414,125613.14,112872.14,114613.43,125649.03,116148.95,113733.76,117658.85,116486.6,115415.305,118015.76,113592.72,116426.836,121523.37,117331.586,126973.55,115287.57,112180.49,128732.664,116144.22,122293.99,127956.164,127335.305,115043.445,116684.3,127578.44,117254.445,129614.414,116722.75,119651.13
802,128806.086,116817.75,126192.02,113287.89,115335.54,126121.05,117135.68,114350.35,118036.67,116953.32,116207.28,118771.37,114224.45,116720.125,122050.89,118298.35,127429.96,115995.42,112658.22,129320.94,116599.12,122855.805,128316.88,127811.734,115328.36,117667.125,128098.266,117891.31,130168.84,117588.66,120234.65
803,129018.266,116814.91,126117.03,113413.74,115417.6,126267.87,117133.66,114255.805,118293.56,117047.55,116310.33,118919.484,114366.94,117148.836,122082.54,118347.7,127564.69,116273.016,112738.64,129264.0,116626.17,122824.47,128683.39,127966.76,115724.25,117626.47,128151.125,117718.93,130157.43,117763.72,120334.64
804,128397.625,116239.47,125514.99,112882.805,114570.25,125662.9,116038.45,113622.64,117732.88,116477.32,115373.875,117998.695,113586.87,116587.81,121479.05,117246.49,126983.64,115334.27,112163.734,128641.6,116105.89,122217.44,128081.53,127352.31,115190.55,116556.805,127544.586,117105.91,129547.68,116705.62,119631.45
805,128069.58,116039.17,125342.93,112631.18,114230.695,125374.43,115655.74,113449.805,117402.664,116228.35,114992.13,117599.04,113239.414,116168.14,121251.04,116834.98,126709.97,114860.97,111920.38,128453.06,115909.46,122020.945,127679.92,127056.375,114797.48,116203.14,127304.445,116980.625,129339.88,116243.82,119333.01
806,128194.445,116168.6,125483.29,112741.78,114415.29,125500.234,115901.75,113598.49,117510.984,116349.96,115195.3,117795.586,113404.77,116264.72,121384.414,117078.79,126831.19,115052.664,112043.97,128596.76,116024.445,122159.42,127789.98,127183.72,114890.21,116446.055,127437.04,117130.125,129477.586,116469.34,119484.02
807,128298.13,116238.016,125546.234,112823.02,114528.95,125593.24,116034.19,113662.6,117613.36,116431.73,115322.56,117926.99,113518.375,116390.164,121461.8,117218.84,126919.66,115203.586,112124.44,128664.57,116091.13,122228.805,127911.99,127278.945,115007.94,116570.234,127517.65,117181.38,129549.98,116621.0,119582.664
808,128269.77,116203.234,125506.805,112796.414,114481.44,125563.05,115968.195,113620.46,117590.516,116401.4,115270.59,117877.87,113477.48,116374.6,121426.82,117154.66,126890.39,115158.875,112093.234,128624.67,116060.96,122190.94,127891.336,127248.53,114992.62,116504.12,127483.375,117137.16,129512.79,116564.75,119544.555
809,128220.83,116163.34,125467.055,112756.07,114420.34,125517.0,115892.21,113579.08,117544.516,116359.21,115202.734,117809.875,113419.4,116323.86,121384.02,117076.86,126846.34,115086.086,112051.1,128583.0,116024.086,122149.64,127839.47,127201.61,114944.664,116430.97,127439.805,117099.31,129470.75,116486.484,119493.0
810,128190.19,116135.336,125437.91,112729.98,114378.96,125487.25,115838.945,113548.47,117516.7,116331.26,115156.98,117764.77,113381.16,116295.664,121354.59,117023.19,126817.8,115039.85,112022.97,128552.85,115998.71,122120.164,127809.43,127171.41,114917.875,116379.03,127410.18,117069.82,129441.11,116434.66,119458.58
811,128322.54,116303.17,125629.75,112855.77,114606.516,125629.83,116157.47,113753.77,117621.516,116475.625,115405.68,117998.72,113575.52,116361.73,121522.766,117331.86,126956.12,115249.734,112171.79,128746.54,116143.74,122303.59,127901.44,127314.84,114983.44,116698.88,127574.42,117286.875,129620.83,116702.39,119640.24
812,128614.06,116558.555,125891.56,113100.984,114988.91,125909.484,116643.66,114027.94,117889.71,116735.94,115829.195,118418.65,113932.57,116642.91,121793.15,117824.53,127224.234,115687.31,112433.125,129018.69,116376.81,122570.85,128196.08,127599.26,115250.055,117170.85,127847.766,117546.3,129890.77,117185.31,119959.96
813,128687.55,116573.555,125888.055,113149.016,115033.92,125965.1,116673.086,114020.1,117973.46,116776.625,115882.25,118483.266,113991.83,116772.38,121818.086,117867.8,127275.98,115786.88,112470.25,129020.56,116398.26,122579.125,128310.1,127657.336,115370.05,117189.29,127878.44,117517.195,129904.42,117260.85,120005.83
814,128572.77,116475.62,125788.66,113053.21,114886.086,125855.805,116486.586,113916.234,117867.016,116675.47,115718.336,118320.1,113852.88,116658.59,121713.92,117678.086,127171.28,115615.164,112368.88,128916.93,116308.46,122477.03,128192.0,127546.07,115262.29,117008.77,127772.84,117420.07,129801.016,117073.16,119881.77
815,128527.77,116447.36,125763.97,113018.48,114838.66,125815.99,116432.586,113891.31,117821.97,116640.92,115665.1,118264.6,113804.71,116601.94,121681.95,117620.33,127133.45,115550.04,112335.05,128890.02,116280.92,122449.13,128137.52,127505.26,115209.21,116958.65,127739.29,117401.4,129771.65,117009.05,119840.28
816,128674.36,116621.37,125959.78,113154.5,115078.42,125970.336,116763.11,114100.24,117941.94,116794.82,115927.71,118513.89,114012.664,116689.22,121857.836,117942.86,127282.88,115780.02,112493.0,129088.49,116432.59,122638.1,128248.984,127660.875,115294.51,117288.86,127912.055,117619.086,129957.64,117294.586,120033.15
817,128809.79,116693.32,126015.71,113255.4,115207.54,126086.22,116900.95,114154.84,118081.805,116892.195,116073.73,118670.02,114149.5,116875.29,121942.586,118095.266,127392.49,115973.21,112587.24,129151.836,116505.59,122706.375,128423.5,127780.15,115468.31,117413.08,128002.89,117650.25,130031.62,117475.305,120148.86
818,128758.734,116653.11,125976.19,113213.7,115145.23,126038.586,116824.28,114113.85,118033.336,116848.88,116004.43,118600.21,114089.75,116820.66,121899.18,118016.336,127346.984,115897.52,112544.086,129110.27,116468.17,122664.97,128368.23,127731.555,115416.766,117339.59,127958.49,117613.45,129989.305,117394.91,120096.02
819,128578.71,116444.6,125743.03,113048.11,114856.18,125850.6,116428.18,113865.38,117884.31,116662.5,115687.555,118298.4,113837.61,116707.305,121687.734,117628.766,127165.1,115616.195,112353.13,128873.54,116285.84,122439.11,128227.16,127541.86,115306.445,116944.64,127750.375,117356.04,129766.61,117049.1,119862.8
820,128437.15,116379.85,125699.28,112945.55,114732.13,125732.625,116303.82,113824.57,117734.695,116565.99,115546.34,118143.97,113701.11,116500.43,121608.3,117486.625,127053.93,115416.586,112260.7,128821.445,116217.42,122380.26,128036.37,127420.11,115113.62,116836.086,127663.516,117343.445,129700.805,116870.016,119749.22
821,128542.5,116471.914,125793.586,113034.11,114870.11,125833.63,116479.12,113923.33,117831.72,116659.95,115699.164,118295.55,113830.0,116602.31,121705.82,117664.32,127150.75,115574.69,112355.03,128919.51,116301.49,122476.586,128143.04,127522.836,115210.21,117006.22,127762.12,117436.78,129798.13,117044.336,119864.625
822,128613.08,116530.41,125852.266,113092.54,114959.23,125900.32,116590.55,113984.49,117897.72,116721.27,115798.07,118394.43,113914.37,116674.34,121768.35,117778.13,127214.57,115679.88,112416.35,128980.88,116355.41,122537.29,128217.05,127590.766,115278.33,117113.69,127825.72,117493.21,129859.8,117158.14,119939.695
823,128951.66,116922.88,126291.29,113404.11,115503.27,126253.99,117336.305,114452.37,118177.945,117072.01,116394.516,118962.47,114388.88,116887.16,122166.33,118507.77,127556.7,116209.17,112775.69,129426.58,116698.61,122962.47,128482.086,127947.62,115485.47,117857.305,128217.44,117978.016,130279.0,117808.96,120378.61
824,128961.49,116736.64,126025.88,113358.03,115313.4,126204.82,116985.13,114157.96,118250.66,116982.47,116196.78,118813.82,114279.625,117127.94,122004.91,118204.945,127503.305,116181.56,112671.13,129172.445,116559.2,122738.266,128648.984,127903.48,115702.84,117476.414,128075.8,117613.805,130073.43,117642.94,120252.27
825,128339.055,116217.086,125503.086,112841.6,114523.52,125615.41,115995.34,113612.625,117669.54,116439.625,115320.26,117938.5,113533.16,116496.984,121450.055,117194.93,126939.06,115252.65,112128.06,128626.03,116080.94,122198.375,127999.05,127303.17,115106.05,116520.89,127512.055,117109.164,129525.33,116635.66,119587.58
826,128226.63,116208.16,125528.14,112772.04,114469.29,125534.516,115976.805,113646.43,117536.89,116384.43,115254.39,117851.414,113451.24,116282.32,121424.195,117151.766,126864.4,115103.44,112079.41,128642.125,116058.75,122202.5,127813.375,127218.25,114907.52,116521.24,127475.99,117180.48,129519.9,116533.266,119527.32
827,128418.94,116361.516,125679.58,112929.58,114705.78,125714.45,116268.98,113803.734,117718.74,116548.53,115517.29,118115.75,113677.33,116485.72,121589.32,117451.945,127036.414,115388.75,112243.01,128801.23,116201.07,122360.7,128019.9,127401.7,115099.55,116801.76,127644.586,117322.68,129681.32,116837.63,119727.586
828,128443.266,116360.24,125669.67,112943.74,114714.21,125730.99,116266.96,113791.445,117748.49,116558.86,115528.086,118131.94,113693.07,116535.97,121592.125,117456.055,127051.55,115420.35,112251.67,128793.44,116203.47,122355.99,128062.65,127419.195,115145.914,116795.195,127649.93,117301.14,129678.984,116856.82,119738.39
829,128370.19,116293.086,125599.61,112881.4,114615.09,125659.95,116139.17,113717.81,117682.3,116492.02,115418.5,118024.06,113601.625,116469.23,121521.6,117327.414,126983.34,115309.99,112184.35,128720.96,116142.67,122285.23,127991.336,127347.03,115082.45,116670.484,127578.98,117230.09,129607.84,116732.836,119656.016
830,128323.24,116258.805,125567.1,112843.81,114560.63,125616.97,116073.805,113684.34,117636.86,116453.555,115357.76,117962.16,113548.39,116415.81,121484.04,117259.31,126942.37,115241.02,112146.24,128686.39,116110.305,122250.39,127938.36,127303.11,115032.195,116608.44,127540.266,117201.43,129571.914,116661.48,119609.37
831,128473.38,116442.625,125775.49,112984.68,114811.96,125776.72,116422.79,113907.02,117757.89,116613.984,115632.734,118222.086,113764.805,116498.516,121669.055,117598.734,127097.17,115477.71,112311.25,128897.22,116269.85,122450.62,128047.99,127464.01,115113.57,116957.945,127721.5,117435.086,129768.55,116959.07,119810.8
832,128536.91,116419.516,125721.71,113016.15,114813.33,125813.96,116380.164,113844.03,117842.07,116630.98,115639.35,118247.79,113793.57,116653.29,121659.04,117576.98,127130.35,115555.94,112322.36,128850.08,116261.12,122414.58,128175.62,127504.25,115255.89,116900.414,127720.09,117340.89,129740.6,116990.61,119825.055
833,128175.234,116062.54,125340.45,112700.734,114297.234,125454.945,115701.39,113441.37,117522.44,116287.77,115070.305,117693.375,113325.68,116352.125,121288.47,116900.05,126784.91,115004.44,111974.805,128458.164,115941.625,122034.97,127842.38,127140.31,114968.055,116233.27,127349.94,116942.26,129361.46,116354.04,119400.16
834,127941.83,115920.63,125218.95,112521.89,114056.34,125249.89,115430.35,113319.38,117287.32,116110.95,114799.45,117409.6,113078.914,116052.81,121126.805,116608.37,126590.375,114667.9,111802.04,128324.875,115802.34,121895.93,127556.15,126929.945,114687.73,115982.984,127179.58,116854.3,129214.32,116026.13,119188.266
835,128008.89,115985.87,125288.26,112580.11,114150.984,125316.17,115554.336,113392.53,117346.9,116174.09,114903.86,117511.55,113165.02,116109.78,121194.66,116732.24,126654.11,114769.9,111865.91,128396.23,115860.85,121965.16,127618.71,126997.14,114742.125,116104.67,127247.45,116926.37,129283.54,116143.21,119266.36
836,128043.64,116003.09,125300.875,112605.64,114182.805,125345.55,115587.35,113404.62,117383.164,116198.45,114939.95,117550.55,113199.34,116158.98,121215.31,116769.28,126681.83,114819.16,111889.37,128410.81,115878.64,121981.19,127664.46,127027.38,114788.03,116134.0,127269.8,116932.0,129301.164,116188.39,119295.164
837,128299.29,116316.64,125656.48,112845.67,114611.23,125617.72,116182.53,113784.63,117589.09,116471.945,115408.7,117993.51,113568.13,116299.17,121530.82,117348.05,126945.58,115222.22,112170.63,128770.57,116150.71,122322.78,127850.72,127301.51,114926.03,116730.15,127578.83,117330.914,129636.56,116695.555,119638.54
838,128603.055,116511.33,125828.76,113081.25,114935.34,125887.62,116554.38,113959.0,117891.89,116707.14,115772.32,118371.39,113895.69,116676.93,121750.02,117744.3,127202.06,115662.625,112401.38,128957.59,116339.6,122515.75,128215.25,127578.17,115280.22,117076.46,127808.35,117464.55,129839.16,117131.91,119921.46
839,128457.58,116344.74,125643.055,112947.945,114703.79,125736.28,116237.93,113761.22,117770.805,116557.484,115518.37,118129.125,113693.13,116583.04,121580.84,117434.27,127055.72,115435.73,112248.19,128768.88,116193.71,122335.54,128099.68,127425.4,115188.984,116761.26,127641.63,117260.21,129661.33,116854.28,119734.34
840,128121.3,116023.96,125304.23,112657.79,114235.52,125405.81,115627.81,113404.15,117469.984,116243.984,115001.4,117622.95,113265.05,116289.81,121246.016,116823.15,126738.08,114925.39,111931.516,128419.54,115905.055,121995.91,127780.88,127090.08,114909.46,116163.625,127306.086,116910.836,129321.07,116272.82,119347.1
