,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,128498.69,116034.805,113946.13,115711.27,112712.75,115751.41,116939.82,112708.516,121181.805,125853.05,122895.125,121258.61,119163.46,128468.98,114594.08,125307.07,125976.76,113135.39,119093.07,115008.78,116455.51,124227.25,116911.23,115131.28,122436.2,116186.21,111816.39,119472.88,123950.44,118604.86,118981.08
798,128419.945,115849.875,113803.88,115339.07,112562.3,115510.38,116562.555,112632.46,121229.2,125798.6,122778.0,121269.82,119074.22,128471.664,114566.42,125092.84,125884.96,113017.875,118907.69,114892.02,116132.86,124144.55,116647.7,114940.42,122413.67,115931.1,111676.69,119188.19,123717.11,118568.81,118834.164
799,128178.65,115462.98,113619.055,115113.13,112387.46,115215.195,116317.336,112403.914,120895.75,125528.414,122569.836,120952.16,118848.1,128160.58,114303.87,124935.99,125650.65,112782.484,118745.445,114684.98,115844.87,123891.73,116315.47,114612.26,122134.88,115829.99,111503.13,118826.64,123587.836,118297.17,118586.67
800,128285.37,115652.15,113726.03,115304.945,112493.54,115390.3,116517.29,112505.44,120995.13,125637.516,122677.055,121057.29,118952.87,128266.08,114402.12,125055.57,125759.016,112899.125,118857.97,114791.69,116042.63,124003.61,116510.15,114783.19,122237.11,115943.09,111605.47,119037.86,123703.88,118401.125,118716.484
801,128394.25,115839.516,113827.29,115471.97,112592.805,115555.03,116692.75,112608.9,121111.54,125752.1,122781.7,121175.59,119058.27,128383.75,114507.95,125161.89,125868.07,113014.23,118960.055,114895.84,116222.43,124117.74,116693.89,114949.516,122348.0,116037.15,111701.89,119237.34,123803.88,118512.23,118842.59
802,128826.14,116637.414,114305.01,116411.66,113073.2,116342.98,117664.734,113020.61,121428.29,126175.18,123242.42,121538.164,119490.7,128753.734,114873.89,125734.875,126314.87,113508.5,119487.85,115354.6,117148.07,124570.586,117566.82,115687.24,122724.24,116616.33,112161.445,120183.555,124377.875,118904.125,119404.164
803,129019.36,116895.96,114381.28,116331.48,113131.47,116452.766,117601.1,113202.3,121831.98,126421.06,123365.94,121893.086,119658.18,129093.92,115134.89,125717.82,126489.055,113661.37,119501.9,115477.38,117178.63,124772.92,117697.2,115876.8,123007.37,116502.93,112227.72,120327.25,124314.055,119167.66,119544.5
804,128433.516,115867.62,113808.67,115331.41,112565.76,115517.1,116556.06,112645.21,121258.62,125816.09,122786.35,121295.53,119085.88,128496.27,114585.16,125090.52,125897.08,113028.336,118907.766,114900.33,116133.43,124158.75,116655.805,114953.15,122434.02,115921.63,111680.78,119197.14,123711.33,118587.664,118843.57
805,128127.66,115372.836,113568.27,115022.7,112337.14,115132.125,116223.0,112355.39,120847.64,125476.13,122518.81,120901.46,118798.11,128109.74,114256.67,124879.52,125598.94,112726.93,118692.21,114634.17,115751.305,123838.266,116223.09,114530.945,122085.76,115776.84,111454.58,118726.414,123533.17,118247.305,118524.9
806,128245.97,115585.95,113691.63,115252.695,112460.18,115334.65,116461.95,112468.04,120948.71,125595.14,122640.53,121011.33,118915.16,128220.65,114362.23,125021.56,125719.95,112858.6,118824.67,114755.35,115983.836,123962.32,116447.914,114725.29,122195.1,115915.15,111572.85,118970.25,123672.92,118359.48,118672.664
807,128342.84,115745.18,113771.26,115363.16,112536.57,115462.734,116580.08,112559.914,121072.28,125701.4,122727.375,121131.3,119006.96,128338.65,114463.83,125095.336,125815.055,112955.805,118898.57,114841.734,116114.6,124063.85,116591.58,114862.586,122302.52,115970.445,111648.03,119126.44,123737.47,118465.06,118776.42
808,128315.805,115694.266,113740.05,115299.555,112504.984,115411.086,116514.47,112534.09,121054.914,125675.42,122697.72,121110.39,118979.625,128317.14,114441.81,125056.836,125786.805,112924.18,118863.4,114812.22,116052.984,124035.45,116534.43,114815.05,122280.03,115930.63,111617.93,119064.516,123698.47,118441.36,118740.195
809,128269.805,115615.77,113698.164,115232.31,112464.09,115343.11,116443.66,112490.414,121003.99,125626.65,122654.06,121059.13,118935.27,128266.27,114396.47,125013.734,125740.91,112876.02,118821.74,114768.77,115979.58,123987.26,116458.55,114745.72,122232.44,115893.375,111578.11,118982.11,123658.35,118393.83,118687.65
810,128240.9,115565.22,113670.16,115183.836,112436.45,115297.37,116392.96,112462.92,120975.26,125596.7,122625.58,121029.33,118907.08,128236.484,114369.164,124983.24,125711.73,112844.914,118792.81,114740.43,115928.67,123956.945,116407.625,114700.4,122203.95,115865.33,111551.35,118926.85,123629.16,118365.06,118653.25
811,128367.4,115805.44,113819.26,115492.414,112587.62,115544.305,116710.85,112583.695,121050.58,125716.89,122766.07,121122.7,119035.47,128333.22,114469.875,125169.35,125844.36,112994.234,118962.23,114880.336,116225.33,124089.65,116680.6,114925.805,122306.51,116059.83,111695.266,119222.58,123818.695,118473.97,118825.14
812,128642.02,116281.375,114079.25,115930.52,112843.22,115967.99,117170.164,112844.69,121335.36,126003.91,123032.74,121414.57,119302.17,128624.086,114733.516,125446.66,126120.27,113286.79,119227.13,115145.766,116691.73,124377.484,117152.79,115350.1,122582.31,116309.516,111943.13,119735.15,124081.65,118751.234,119146.914
813,128709.48,116378.33,114115.22,115936.55,112874.2,116022.81,117181.81,112908.29,121458.52,126085.91,123081.49,121525.39,119362.42,128731.0,114818.04,125459.27,126182.82,113344.805,119247.14,115194.25,116728.46,124448.14,117215.984,115425.82,122673.36,116295.25,111975.74,119804.32,124081.15,118837.26,119203.445
814,128601.47,116192.14,114014.43,115769.56,112775.34,115858.734,117006.48,112805.664,121343.68,125972.41,122977.49,121408.52,119257.79,128614.73,114713.3,125353.13,126074.586,113230.46,119145.31,115090.71,116549.1,124334.914,117033.02,115260.414,122563.63,116201.03,111879.734,119605.67,123981.164,118727.24,119078.08
