,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,92637.72,94269.99,95455.27,94899.016,94646.6,93495.46,92929.664,93104.53,92299.586,92072.9,91838.46,91116.766,91156.69,90543.305,91398.28,90656.76,91264.84,90450.9,91127.71,91214.836,90935.414,89404.234,90397.555,90619.12,90525.336,90811.99,90495.87,90349.38,90908.23,90128.74,91705.16
1,92547.36,94180.97,95404.586,94868.38,94652.44,93545.65,93021.13,93240.2,92483.73,92304.64,92112.23,91425.66,91506.53,90921.91,91808.53,91091.17,91721.96,90929.21,91634.48,91745.13,91486.37,89964.37,90889.44,90993.445,91128.26,91200.63,91120.07,90634.234,90899.87,90751.74,92007.14
2,92077.17,93672.0,94911.11,94399.336,94239.56,93208.734,92745.19,93020.86,92325.09,92200.07,92060.766,91408.29,91545.8,90995.79,91914.78,91229.39,91874.17,91099.07,91833.87,91923.22,91766.93,90258.27,91053.69,91082.625,91446.17,91322.6,91148.51,90539.7,90702.336,91024.055,91967.625
3,91008.055,92500.86,93661.82,93154.25,93030.836,92062.72,91636.02,91929.05,91249.39,91126.836,91001.31,90337.3,90507.266,89964.45,90870.98,90198.18,90819.2,90083.83,90772.66,90919.02,90774.91,89260.85,90136.69,90251.23,90526.95,90534.46,90586.414,89997.36,90226.75,90301.64,90981.05
4,90957.49,92451.58,93572.96,93049.555,92889.86,91871.76,91395.055,91633.92,90896.625,90716.93,90542.65,89836.47,89968.71,89390.31,90259.945,89562.5,90156.055,89403.23,90073.55,90193.04,90038.234,88505.37,89529.414,89785.14,89718.09,90106.54,89812.5,89692.66,90247.16,89489.27,90524.89
5,90982.17,92475.516,93775.45,93331.41,93340.96,92544.87,92289.79,92751.61,92290.02,92217.68,92058.945,91661.664,91942.23,91284.766,92397.01,91948.52,92068.914,90587.25,91463.0,91486.16,91326.99,90445.75,90417.75,90929.09,90980.74,90973.26,90600.75,90007.56,90182.766,90552.38,91643.836
6,91128.16,92624.6,93922.77,93472.25,93470.6,92664.52,92399.89,92869.734,92379.32,92332.086,92172.85,91776.66,92041.07,91379.83,92496.45,92038.81,92155.88,90663.586,91525.28,91539.08,91358.336,90483.875,90444.59,90952.414,90995.37,90986.51,90600.19,90010.2,90185.65,90555.36,91720.875
7,91434.46,92943.836,94230.07,93763.9,93733.86,92894.17,92604.1,93049.82,92532.125,92562.06,92412.93,92011.836,92239.81,91571.67,92715.04,92230.21,92361.08,90864.27,91709.12,91708.88,91493.15,90628.65,90571.27,91072.67,91100.555,91088.39,90676.63,90088.83,90263.44,90631.72,91906.29
8,92313.83,93891.805,95186.52,94692.27,94594.375,93662.1,93304.29,93692.58,93113.05,93103.2,93058.35,92489.94,92685.01,92139.88,93194.62,92550.12,92940.22,91463.22,92288.625,92263.34,91981.586,91125.375,91035.414,91520.34,91516.47,91490.53,91021.24,90424.78,90590.63,90949.4,92476.12
9,93900.31,95623.586,96969.58,96437.13,96227.89,95134.12,94654.9,94944.9,94263.85,94173.01,94040.24,93430.9,93517.586,92983.34,93934.49,93233.94,93927.37,92434.92,93307.9,93242.15,92855.984,92000.2,91858.92,92308.234,92252.664,92196.88,91630.53,91010.02,91154.375,91490.57,93504.68
