,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15623.991,15579.002,16151.813,15612.723,15931.261,15914.714,15707.441,15797.314,15881.102,15754.3,15925.508,15978.596,15958.67,15578.677,15737.935,15769.301,15570.605,15993.288,15779.63,15731.501,15656.698,15635.948,15728.557,16012.155,15844.571,15833.931,15849.705,15961.758,15807.2295,15998.007,15810.198
2021-11-25,15592.262,15543.3,16107.164,15575.748,15892.997,15878.874,15671.26,15754.433,15845.049,15718.927,15885.181,15936.243,15914.426,15539.187,15699.582,15729.925,15534.184,15956.124,15739.518,15699.789,15618.698,15598.294,15689.959,15971.956,15806.751,15794.366,15809.872,15918.211,15763.678,15956.278,15771.408
2021-11-26,15567.912,15515.774,16072.83,15547.078,15863.237,15851.319,15643.0625,15721.396,15817.156,15691.551,15853.582,15903.578,15880.136,15508.916,15670.025,15699.745,15506.123,15927.128,15708.876,15675.073,15589.262,15569.127,15660.226,15940.64,15777.079,15763.945,15778.876,15884.517,15729.906,15924.215,15741.41
2021-11-27,15560.107,15506.863,16061.737,15537.719,15853.489,15842.448,15633.8,15710.684,15808.101,15682.66,15843.119,15892.98,15868.933,15499.173,15660.461,15690.048,15497.036,15917.597,15699.085,15666.97,15579.66,15559.612,15650.6045,15930.353,15767.237,15754.128,15768.7,15873.529,15718.859,15913.886,15731.652
2021-11-28,15555.955,15502.294,16056.043,15533.05,15848.664,15837.805,15629.261,15705.254,15803.481,15678.13,15838.129,15887.608,15863.379,15494.12,15655.551,15684.974,15492.397,15912.922,15693.865,15662.948,15574.861,15554.861,15645.672,15925.317,15762.57,15749.057,15763.719,15868.054,15713.405,15908.514,15726.729
2021-11-29,15545.354,15490.502,16041.365,15520.895,15836.063,15825.898,15617.365,15691.203,15791.532,15666.411,15824.937,15873.702,15848.903,15481.145,15642.886,15671.975,15480.416,15900.676,15680.569,15652.447,15562.375,15542.5,15632.945,15912.125,15750.21,15736.009,15750.671,15853.807,15699.169,15894.715,15713.958
2021-11-30,15519.96,15462.427,16006.461,15492.044,15806.165,15797.461,15589.173,15657.8545,15763.063,15638.497,15793.77,15840.678,15814.609,15450.275,15612.732,15640.983,15451.934,15871.622,15648.797,15627.482,15532.745,15513.17,15602.663,15880.875,15721.027,15704.94,15719.774,15820.039,15665.458,15861.825,15683.616
2021-12-01,15464.044,15400.7705,15930.066,15428.619,15740.294,15734.94,15527.039,15584.892,15700.344,15577.0,15725.024,15768.318,15739.385,15382.825,15546.538,15573.15,15389.506,15807.489,15579.245,15572.299,15467.658,15448.756,15536.24,15812.061,15656.631,15636.847,15651.826,15746.037,15591.523,15789.694,15616.968
2021-12-02,15360.717,15287.791,15790.95,15312.482,15619.29,15619.937,15412.92,15452.276,15584.784,15463.714,15598.906,15636.444,15602.313,15260.289,15425.322,15449.391,15275.598,15689.346,15452.115,15470.247,15348.633,15331.022,15414.813,15685.896,15538.471,15512.469,15527.543,15611.338,15456.866,15657.701,15494.985
2021-12-03,15266.475,15184.491,15664.78,15205.4795,15506.978,15514.972,15306.697,15331.78,15478.315,15359.246,15480.73,15516.247,15476.457,15149.802,15314.571,15337.527,15171.82,15579.031,15337.632,15374.855,15239.108,15222.832,15304.023,15568.698,15427.531,15399.443,15412.491,15488.0625,15333.165,15537.732,15383.031
2021-12-04,15197.113,15109.986,15574.27,15129.035,15426.751,15438.51,15231.071,15245.852,15401.259,15283.694,15397.41,15430.308,15387.175,15070.44,15234.739,15256.652,15097.363,15500.252,15254.224,15306.228,15160.939,15145.631,15224.326,15485.418,15349.44,15317.975,15330.884,15400.53,15245.553,15450.953,15302.798
2021-12-05,15103.264,15010.018,15453.514,15026.604,15318.969,15335.531,15129.506,15131.43,15297.411,15181.864,15285.724,15315.594,15268.088,14964.725,15127.702,15148.516,14997.828,15394.187,15142.468,15213.472,15056.307,15042.339,15117.621,15373.746,15244.75,15208.953,15221.69,15283.877,15128.757,15334.647,15195.303
2021-12-06,14986.619,14886.888,15305.825,14900.545,15185.853,15208.193,15004.088,14991.766,15168.801,15055.716,15148.027,15175.159,15122.332,14835.704,14995.979,15015.968,14875.762,15262.811,15005.226,15098.077,14927.691,14915.455,14986.525,15236.112,15115.628,15075.147,15087.479,15141.274,14985.883,15191.667,15063.073
