,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2866.9949,2636.5571,2537.8833,2791.4714,2802.2808,2757.3855,2948.8188,3256.272,3116.3906,3091.2627,3130.1182,3000.8333,2610.8777,2694.7366,2893.182,2880.2693,2857.933,2983.0415,2500.527,3481.0776,2938.8857,2574.3438,2989.207,2661.8005,2947.383,2734.4036,3378.28,3148.995,2851.7766,2736.323,2893.3103
2000-01-10,2886.258,2734.3845,2753.4648,2821.4158,2799.269,2774.0093,2871.3752,2912.635,2769.0283,3338.938,2495.298,2965.1484,2581.2546,2893.829,2985.0144,2995.4595,2955.131,2899.039,2341.883,3082.859,2946.6775,2737.3005,3224.816,2427.716,3111.1926,2983.8633,3007.9646,3187.646,2801.7268,2495.4565,2859.3352
2000-01-11,2729.998,2786.8484,2580.1177,2699.8655,2618.5957,2865.3198,2797.192,2925.2878,2877.5234,3062.8086,2758.5518,2952.923,2719.5928,2789.4326,2848.0298,2890.6047,2803.723,2747.2957,2635.2405,3086.992,2893.1602,2723.6167,2787.3013,2721.1726,2944.7146,2663.0237,2960.2615,3096.3064,2636.8254,2457.6018,2801.9976
2000-01-12,2825.901,2875.4119,2671.603,2790.0237,2714.6533,2959.4126,2887.9187,3010.3562,2969.9536,3152.6338,2849.1023,3038.8079,2807.285,2878.649,2936.655,2978.0303,2894.229,2838.8867,2727.3218,3175.0789,2980.0588,2813.155,2878.1257,2813.2122,3031.7734,2752.1892,3046.3455,3179.3496,2726.1743,2551.227,2891.7842
2000-01-13,2978.545,3017.0127,2816.467,2932.4844,2866.6042,3106.9312,3031.6775,3146.551,3116.7175,3294.6694,2992.25,3175.061,2945.8083,3020.4675,3077.2512,3116.964,3036.7224,2983.5354,2872.1277,3315.728,3118.1965,2955.0266,3022.5159,2959.259,3170.6797,2893.1794,3183.1992,3311.7937,2867.9795,2698.325,3034.1248
2000-01-14,3075.9822,3108.6025,2908.1824,3021.6123,2962.1956,3197.4229,3122.2957,3234.8425,3210.361,3384.0156,3082.139,3261.3755,3032.649,3110.5264,3166.2441,3205.4963,3124.928,3074.193,2961.5393,3406.4744,3206.136,3044.6975,3114.454,3051.9172,3260.1526,2981.5808,3270.2654,3396.941,2958.0613,2789.1746,3124.1484
2000-01-15,3086.8892,3118.9531,2918.3965,3031.4421,2972.786,3207.2573,3132.3447,3244.8345,3220.8506,3393.915,3092.0852,3270.9858,3042.2458,3120.5652,3176.144,3215.397,3134.5764,3084.2102,2971.302,3416.714,3215.961,3054.6672,3124.727,3062.247,3270.2383,2991.346,3279.9875,3406.5237,2968.114,2799.1013,3134.1602
2000-01-16,3062.8792,3096.9548,2895.6243,3008.6584,2948.6726,3183.3752,3109.4841,3223.6768,3197.9343,3371.3984,3069.3086,3249.444,3020.1924,3098.1104,3153.8975,3193.588,3111.576,3061.1985,2947.925,3394.8481,3194.2034,3032.218,3101.9963,3039.2153,3248.5889,2968.8472,3258.378,3385.848,2945.7878,2775.4297,3111.6418
2000-01-17,2995.6926,3034.8975,2832.003,2945.6199,2881.6602,3117.8977,3045.9795,3163.962,3133.6147,3308.7944,3006.0984,3189.3953,2959.0286,3035.5261,3091.9194,3132.5398,3048.3213,2997.3608,2883.674,3333.2134,3133.3923,2969.686,3038.4524,2974.9202,3187.6426,2906.5132,3198.0479,3327.719,2883.403,2710.2788,3048.909
2000-01-18,2939.259,2981.9573,2778.759,2893.8323,2826.1404,3065.1204,2993.3943,3112.9595,3079.3154,3256.8918,2953.8794,3139.3345,2908.5637,2983.3433,3040.3022,3081.2283,2996.9863,2944.668,2831.6028,3280.7266,3082.433,2917.6492,2985.177,2921.1814,3135.881,2855.1655,3147.5999,3278.4507,2831.1665,2657.347,2996.677
