,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15727.88,15843.32,15809.505,16181.548,15726.729,15928.096,15732.198,15949.265,15938.045,16068.058,16037.085,16100.289,16085.809,16117.668,15720.38,15818.992,16080.695,15936.412,15775.976,16131.886,15933.852,15691.203,15742.744,15977.988,15857.389,15996.507,16041.041,15934.987,15820.079,16034.047,15924.656
2021-11-25,15687.936,15799.833,15765.564,16137.012,15688.186,15887.378,15693.395,15906.183,15903.044,16024.767,15991.456,16052.08,16039.981,16072.343,15683.742,15779.341,16040.4,15894.101,15733.412,16084.05,15891.943,15649.352,15702.542,15937.411,15811.774,15952.4795,15996.682,15889.046,15779.208,15989.655,15882.143
2021-11-26,15657.174,15765.698,15731.69,16102.757,15658.077,15855.865,15663.5625,15873.045,15875.453,15991.586,15956.248,16015.165,16004.865,16037.411,15655.595,15748.573,16009.436,15861.395,15700.815,16047.3,15859.961,15617.211,15671.593,15906.168,15776.691,15918.883,15962.298,15854.581,15747.654,15955.734,15849.417
2021-11-27,15647.212,15754.346,15720.691,16091.688,15648.141,15845.594,15653.938,15862.324,15866.254,15980.91,15944.814,16003.288,15993.569,16026.078,15646.525,15738.515,15999.461,15850.749,15690.333,16035.424,15849.747,15606.832,15661.582,15896.07,15765.33,15908.144,15951.058,15843.822,15737.4,15944.865,15838.824
2021-11-28,15642.134,15749.035,15715.142,16086.0,15643.358,15840.459,15648.958,15856.849,15861.94,15975.356,15939.043,15997.137,15987.698,16020.341,15641.807,15733.525,15994.271,15845.408,15684.877,16029.348,15844.305,15601.5,15656.46,15890.869,15759.561,15902.447,15945.498,15837.721,15732.227,15939.15,15833.413
2021-11-29,15629.013,15734.914,15700.768,16071.344,15630.759,15827.106,15636.15,15842.713,15850.461,15961.104,15924.084,15981.34,15972.628,16005.487,15629.689,15720.515,15980.942,15831.539,15670.884,16013.678,15830.442,15587.762,15643.239,15877.473,15744.6455,15887.92,15930.988,15822.49,15718.815,15924.54,15819.448
2021-11-30,15597.837,15701.671,15666.672,16036.485,15600.976,15795.433,15605.649,15809.132,15823.347,15927.174,15888.588,15943.791,15936.76,15970.237,15600.801,15689.664,15949.162,15798.635,15637.575,15976.465,15797.338,15555.112,15611.811,15845.568,15709.269,15853.264,15896.623,15785.954,15686.981,15889.7295,15786.256
2021-12-01,15529.567,15628.487,15592.092,15960.146,15535.402,15725.938,15538.793,15735.676,15763.274,15852.98,15810.853,15861.897,15858.384,15893.099,15537.436,15621.874,15879.446,15726.513,15564.814,15895.174,15724.978,15483.742,15542.978,15775.564,15631.996,15777.587,15821.249,15706.705,15617.204,15813.737,15713.589
2021-12-02,15405.218,15494.969,15456.669,15821.003,15415.406,15599.137,15416.641,15602.119,15652.304,15717.969,15669.374,15713.636,15715.941,15752.863,15421.422,15497.921,15751.8,15595.098,15432.637,15747.737,15593.076,15354.072,15417.523,15647.45,15491.994,15639.972,15683.9375,15563.506,15490.016,15675.734,15581.237
2021-12-03,15292.17,15369.961,15333.593,15694.614,15303.658,15482.902,15305.557,15481.018,15546.928,15596.069,15540.371,15580.465,15587.57,15625.277,15315.886,15383.703,15635.764,15474.892,15313.592,15614.483,15474.683,15236.756,15303.459,15530.646,15365.352,15516.682,15557.897,15438.851,15373.897,15551.978,15460.955
2021-12-04,15211.223,15282.826,15246.036,15603.883,15224.81,15400.079,15225.465,15394.402,15472.5,15508.308,15448.42,15485.178,15495.272,15534.331,15239.4795,15302.372,15551.739,15389.282,15228.01,15519.368,15388.658,15152.767,15221.668,15446.398,15275.24,15427.396,15468.531,15347.104,15290.9795,15462.704,15374.815
2021-12-05,15103.204,15166.655,15129.568,15482.735,15119.323,15289.452,15118.259,15279.007,15372.116,15391.232,15325.848,15358.672,15372.3125,15413.199,15136.981,15193.558,15439.061,15275.065,15114.031,15392.928,15273.6875,15040.915,15112.458,15333.49,15155.579,15308.335,15349.38,15225.228,15180.293,15343.812,15259.879
2021-12-06,14971.034,15024.287,14987.563,15334.419,14989.618,15153.86,14986.623,15138.091,15247.344,15248.1045,15176.012,15204.921,15222.257,15265.278,15010.81,15059.875,15300.4375,15135.268,14974.986,15238.954,15132.9375,14904.416,14978.733,15194.646,15010.018,15162.967,15203.618,15077.399,15044.755,15198.833,15119.2705
2021-12-07,14905.015,14949.2295,14916.347,15260.464,14922.197,15085.23,14921.014,15067.848,15180.98,15177.404,15100.572,15129.214,15148.33,15190.984,14948.1045,14991.723,15231.728,15064.592,14906.496,15162.4,15064.423,14836.552,14911.941,15125.368,14937.448,15092.256,15129.468,15008.862,14976.583,15128.053,15049.028
2021-12-08,14950.988,14996.917,14965.345,15312.169,14966.341,15132.065,14967.123,15116.799,15223.404,15227.53,15152.339,15182.723,15200.829,15242.105,14992.543,15037.813,15280.58,15112.831,14955.133,15215.771,15114.296,14884.02,14958.513,15174.044,14987.722,15143.593,15179.486,15062.258,15023.546,15179.033,15097.929
2021-12-09,15005.183,15056.865,15023.667,15372.943,15020.599,15188.025,15021.07,15174.514,15276.254,15285.904,15214.015,15245.295,15261.937,15302.916,15044.186,15093.195,15337.236,15170.496,15011.751,15278.741,15171.306,14939.857,15013.35,15230.974,15047.318,15202.434,15239.784,15120.7295,15079.31,15237.81,15155.589
2021-12-10,15063.051,15117.842,15085.665,15437.963,15076.57,15247.109,15078.857,15236.2295,15329.794,15348.852,15279.41,15312.856,15327.941,15367.523,15099.673,15151.327,15398.2295,15231.427,15072.92,15346.186,15233.578,14999.7,15071.927,15291.899,15110.974,15266.702,15303.124,15187.148,15138.501,15301.781,15217.158
2021-12-11,15144.325,15206.077,15173.258,15529.126,15156.596,15330.57,15159.6045,15322.978,15406.522,15436.773,15371.743,15407.627,15420.183,15458.703,15176.89,15233.585,15483.056,15317.555,15158.416,15441.116,15319.751,15083.738,15154.127,15376.981,15200.814,15355.851,15393.039,15277.56,15221.896,15390.813,15303.643
2021-12-12,15209.249,15276.8955,15243.43,15601.895,15220.571,15397.256,15223.919,15392.351,15467.553,15506.958,15445.599,15483.568,15493.894,15531.673,15238.2705,15299.25,15550.501,15386.42,15226.748,15517.158,15388.371,15150.952,15219.751,15444.698,15272.86,15426.973,15465.013,15349.664,15288.529,15461.935,15372.73
2021-12-13,15249.956,15321.735,15287.557,15647.476,15260.877,15439.132,15264.126,15435.879,15505.93,15550.881,15491.992,15531.241,15540.058,15577.516,15276.569,15340.483,15592.585,15429.685,15269.548,15564.925,15431.159,15193.112,15260.872,15487.015,15318.177,15471.393,15510.308,15394.465,15330.346,15506.428,15416.049
2021-12-14,15225.118,15297.429,15261.005,15619.483,15238.145,15414.229,15239.27,15409.268,15485.038,15523.445,15464.147,15501.57,15511.1875,15549.892,15252.681,15316.242,15566.265,15403.907,15242.768,15535.683,15403.602,15167.196,15235.719,15460.916,15290.666,15442.882,15483.743,15363.271,15305.176,15478.148,15389.604
2021-12-15,15153.216,15219.383,15183.309,15538.893,15167.565,15340.465,15168.048,15332.422,15417.884,15445.645,15382.416,15417.344,15429.45,15469.124,15184.69,15243.664,15491.53,15327.7295,15166.993,15451.426,15327.437,15092.729,15163.048,15385.928,15210.844,15363.925,15404.164,15282.885,15231.427,15399.21,15313.094
2021-12-16,15097.565,15158.506,15123.234,15476.517,15112.532,15283.233,15112.858,15273.015,15365.113,15385.54,15319.121,15352.467,15366.372,15406.622,15131.965,15187.241,15433.607,15268.668,15108.529,15386.388,15268.669,15035.197,15106.787,15327.771,15149.241,15303.081,15342.427,15221.493,15174.278,15338.386,15253.881
2021-12-17,15056.753,15114.268,15079.296,15430.735,15072.36,15241.323,15072.279,15229.475,15326.529,15341.387,15272.786,15304.937,15320.062,15360.873,15093.129,15145.925,15390.941,15225.4375,15065.61,15338.771,15225.353,14993.021,15065.506,15284.993,15104.192,15258.297,15297.308,15176.081,15132.401,15293.677,15210.458
2021-12-18,15022.3,15076.814,15042.234,15392.086,15038.339,15205.909,15037.994,15192.742,15293.724,15304.143,15233.666,15264.913,15281.0205,15322.264,15060.297,15110.977,15354.883,15188.922,15029.433,15298.635,15188.824,14957.453,15030.651,15248.835,15066.227,15220.56,15259.19,15137.964,15097.033,15256.012,15173.801
2021-12-19,14997.991,15050.257,15016.092,15364.817,15014.232,15180.885,15013.793,15166.84,15270.385,15277.893,15206.052,15236.742,15253.5205,15295.019,15037.118,15086.258,15329.437,15163.129,15003.952,15270.352,15163.106,14932.378,15006.057,15223.303,15039.471,15194.004,15232.256,15111.281,15072.061,15229.504,15147.938
2021-12-20,14984.259,15035.183,15001.322,15349.415,15000.5625,15166.731,15000.12,15152.212,15257.113,15263.078,15190.441,15220.855,15238.008,15279.625,15024.023,15072.264,15315.064,15148.544,14989.578,15254.387,15148.608,14918.221,14992.161,15208.876,15024.367,15179.039,15217.017,15096.312,15057.944,15214.564,15133.33
2021-12-21,14986.72,15037.261,15003.891,15352.203,15002.629,15169.137,15002.627,15154.838,15258.971,15265.8545,15193.136,15223.812,15240.927,15282.301,15026.474,15074.585,15317.774,15151.025,14992.284,15257.259,15151.5,14920.789,14994.66,15211.519,15027.039,15182.007,15219.528,15099.769,15060.404,15217.473,15135.947
2021-12-22,14975.838,15026.743,14992.369,15339.933,14992.671,15158.218,14991.661,15143.235,15249.638,15253.834,15181.002,15210.973,15228.313,15270.289,15015.856,15063.923,15306.072,15139.7705,14980.598,15244.586,15139.338,14909.502,14983.629,15199.951,15015.15,15169.491,15207.955,15086.133,15049.378,15205.104,15124.372
2021-12-23,14952.522,15001.002,14967.296,15313.784,14969.351,15134.149,14968.44,15118.408,15226.909,15228.715,15154.482,15184.065,15202.0205,15244.142,14993.616,15040.103,15281.672,15114.973,14956.237,15217.509,15114.785,14885.485,14960.036,15175.441,14989.53,15144.159,15182.033,15060.939,15025.39,15179.806,15099.565
2021-12-24,14952.698,15000.5625,14967.405,15314.009,14969.136,15134.197,14968.671,15118.603,15226.55,15229.027,15154.576,15184.38,15202.36,15244.255,14993.886,15040.091,15281.991,15115.024,14956.551,15217.726,15115.268,14885.696,14960.221,15175.683,14989.689,15144.642,15182.007,15061.916,15025.5,15180.232,15099.751
2021-12-25,14993.313,15042.995,15010.793,15359.669,15008.268,15175.616,15009.331,15161.879,15264.087,15273.266,15200.384,15231.711,15248.716,15289.498,15033.011,15080.852,15325.0,15157.711,14999.502,15264.953,15159.173,14927.66,15001.352,15218.585,15034.215,15189.883,15226.315,15108.833,15067.016,15225.207,15142.959
2021-12-26,15088.983,15145.001,15113.467,15467.107,15101.519,15273.539,15104.745,15263.909,15353.532,15377.1045,15308.706,15343.232,15357.584,15396.48,15124.517,15177.298,15425.547,15258.704,15100.394,15376.467,15261.554,15026.555,15098.179,15319.173,15139.552,15295.595,15331.461,15217.196,15165.005,15330.54,15244.755
2021-12-27,15236.349,15303.294,15272.375,15632.453,15245.312,15424.409,15251.072,15421.382,15490.296,15536.923,15475.961,15515.945,15525.416,15561.797,15264.382,15325.679,15579.271,15414.525,15255.992,15549.051,15418.508,15179.233,15247.204,15473.21,15302.8545,15458.135,15493.953,15383.837,15315.983,15492.828,15401.585
2021-12-28,15360.73,15440.548,15407.533,15771.641,15368.333,15552.306,15373.612,15554.529,15606.784,15671.117,15617.847,15662.13,15666.598,15702.077,15380.912,15451.472,15707.337,15546.765,15386.912,15695.404,15549.011,15308.239,15372.784,15602.067,15441.821,15593.846,15632.49,15520.981,15443.736,15628.908,15533.949
2021-12-29,15425.873,15512.069,15478.498,15844.494,15432.324,15619.132,15437.607,15624.381,15666.77,15741.499,15692.156,15739.172,15740.756,15775.623,15441.674,15517.041,15774.146,15615.938,15455.703,15772.36,15617.438,15375.96,15438.514,15669.282,15514.948,15665.162,15704.952,15593.682,15510.571,15700.486,15603.274
2021-12-30,15459.213,15549.19,15514.939,15881.722,15465.325,15653.422,15470.23,15660.151,15697.691,15777.41,15730.271,15778.612,15778.623,15813.346,15472.588,15550.697,15808.138,15651.4375,15490.83,15811.806,15652.186,15410.615,15472.122,15703.548,15552.498,15701.44,15742.2295,15630.34,15544.827,15736.978,15638.746
2021-12-31,15477.41,15568.897,15534.78,15902.076,15482.989,15672.013,15488.09,15679.693,15714.069,15797.133,15751.004,15800.278,15799.431,15833.89,15489.534,15568.886,15826.78,15670.703,15510.138,15833.378,15671.407,15429.583,15490.479,15722.278,15572.994,15721.502,15762.383,15651.086,15563.458,15757.109,15658.116
2022-01-01,15494.832,15587.967,15553.808,15921.543,15500.008,15689.85,15505.15,15698.405,15729.874,15815.974,15770.882,15821.005,15819.311,15853.584,15505.707,15586.349,15844.566,15689.188,15528.583,15854.038,15689.709,15447.733,15508.044,15740.177,15592.6455,15740.616,15781.749,15670.711,15581.317,15776.318,15676.656
2022-01-02,15504.761,15599.033,15564.684,15932.619,15509.822,15700.056,15514.843,15709.066,15739.025,15826.666,15782.236,15832.786,15830.596,15864.829,15514.878,15596.356,15854.652,15699.758,15539.054,15865.812,15700.039,15458.065,15518.045,15750.349,15603.863,15751.421,15792.857,15681.651,15591.516,15787.198,15687.217
2022-01-03,15504.014,15598.505,15563.9,15931.763,15509.266,15699.353,15514.071,15708.258,15738.578,15825.795,15781.424,15831.839,15829.676,15864.011,15514.132,15595.692,15853.83,15699.0205,15538.197,15864.913,15699.115,15457.263,15517.282,15749.553,15603.032,15750.467,15792.13,15680.439,15590.783,15786.269,15686.419
2022-01-04,15492.037,15585.766,15550.859,15918.354,15497.793,15687.172,15502.3,15695.383,15728.028,15812.761,15767.806,15817.508,15815.919,15850.506,15502.954,15583.802,15841.531,15686.385,15525.43,15850.688,15686.358,15444.754,15505.198,15737.221,15589.53,15737.151,15778.945,15666.463,15578.549,15772.923,15673.67
