,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2795.547,2657.3074,2885.6794,2524.9226,2768.7349,3228.5508,2572.3345,2632.0833,2748.2349,2745.7642,2814.276,3145.494,2617.3975,2810.636,2608.0686,2792.6821,2569.3965,2922.5588,2992.8328,2693.329,2892.596,2841.2307,2733.3267,2595.5212,2994.436,2641.6758,2715.7422,2438.4136,2996.262,2575.7612,2765.0269
2000-01-10,2510.8123,2681.6665,2616.3706,2729.3953,2993.3247,3136.983,2886.785,2915.5056,2499.6755,2599.425,2728.429,2717.427,3055.0667,2789.965,2787.3726,2828.802,2446.833,2576.3765,3018.112,2562.4429,2657.8508,2806.4224,2826.5352,2484.6394,2522.8047,2667.064,2765.253,2890.9966,3101.0767,2668.7717,2749.073
2000-01-11,2643.2454,2515.1504,2644.3367,2534.735,2694.7974,2921.3796,2775.7278,2713.0715,2580.5115,2602.037,2623.1577,2835.3054,2730.618,2593.1511,2672.5215,2665.2053,2402.3333,2609.173,3102.187,2656.5862,2813.7761,2757.2112,2696.7773,2557.3066,2809.4612,2596.6404,2756.9854,2621.4988,2796.1824,2463.8967,2679.499
2000-01-12,2728.7678,2603.8323,2730.3262,2624.2102,2780.1956,3007.3972,2861.0876,2798.461,2674.2227,2692.178,2708.9878,2917.2402,2815.0896,2683.9846,2763.1035,2753.077,2493.4907,2698.5505,3182.3308,2742.6282,2898.4265,2842.3865,2782.9492,2645.0137,2895.7305,2686.1707,2842.7288,2708.6145,2881.3875,2554.1165,2766.5564
2000-01-13,2864.1045,2745.013,2867.7466,2766.4653,2916.9592,3143.6758,2996.6829,2935.9358,2823.4333,2835.5093,2845.389,3047.5986,2948.8516,2827.3398,2906.4463,2892.7122,2638.6733,2839.072,3308.8706,2878.8792,3033.1433,2976.5225,2920.1758,2784.1655,3032.1494,2827.7231,2978.3682,2845.989,3017.4753,2696.9814,2904.735
2000-01-14,2948.6238,2834.9702,2955.8457,2856.7966,3005.4585,3229.1494,3082.488,3026.0852,2918.4402,2926.4985,2931.8394,3130.551,3032.9883,2916.5374,2995.8162,2981.0889,2731.3418,2925.516,3387.4983,2964.5151,3118.921,3059.016,3007.5251,2871.8875,3117.3772,2915.9453,3063.2954,2930.965,3104.6833,2786.7922,2991.9485
2000-01-15,2957.9224,2845.0227,2965.727,2866.865,3015.4578,3238.5857,3092.0251,3036.3638,2929.0498,2936.6362,2941.4602,3139.8105,3042.3035,2926.3293,3005.6326,2990.9128,2741.7104,2934.9233,3396.1167,2973.9895,3128.5002,3067.982,3017.275,2881.6104,3126.76,2925.6362,3072.6638,2940.2441,3114.4634,2796.7305,3001.6235
2000-01-16,2936.0835,2822.6814,2943.9895,2844.3337,2994.0818,3216.6929,3070.457,3015.122,2905.4004,2913.911,2919.7986,3119.1936,3020.9856,2903.246,2982.446,2968.6653,2718.814,2912.0657,3375.6543,2952.2378,3107.2117,3046.046,2995.5208,2859.3904,3104.817,2902.7896,3050.9053,2917.9517,3092.9612,2773.922,2979.5793
2000-01-17,2875.9055,2760.3384,2883.2495,2781.547,2933.92,3156.198,3010.507,2954.8772,2839.4648,2850.6143,2859.5261,3061.6794,2961.853,2839.6353,2918.6477,2906.859,2654.8184,2849.483,3319.3833,2891.9517,3047.7969,2986.129,2934.8896,2797.7754,3044.2668,2839.8735,2990.7642,2856.803,3032.8547,2710.702,2918.4104
2000-01-18,2826.838,2708.2522,2832.3274,2729.208,2882.81,3106.6003,2960.775,2902.9285,2784.4573,2797.8992,2809.4285,3013.6355,2913.0168,2787.7822,2866.7617,2855.646,2601.1685,2799.1428,3273.6877,2842.2466,2998.1194,2938.1306,2884.3198,2746.9048,2994.77,2788.632,2941.449,2807.387,2982.4329,2658.5747,2867.8445
2000-01-19,2828.8281,2709.7898,2833.7224,2730.8157,2883.9219,3108.4905,2962.4067,2903.705,2786.1123,2799.5361,2811.0288,3015.0627,2914.7378,2789.921,2868.923,2857.347,2602.676,2801.5354,3275.6394,2844.032,2999.5754,2940.4768,2885.8442,2748.6843,2996.7341,2790.7458,2943.3398,2809.6094,2983.808,2660.4456,2869.5828
2000-01-20,2845.599,2727.4683,2850.9785,2748.598,2901.182,3125.4165,2979.3254,2921.1733,2804.7883,2817.45,2828.0623,3031.3752,2931.3801,2807.658,2886.67,2874.7703,2620.8726,2818.8215,3291.2817,2860.9768,3016.4387,2956.9692,2903.0164,2766.0132,3013.6455,2808.2703,2960.175,2826.5522,3000.895,2678.2146,2886.8013
2000-01-21,2880.2305,2763.085,2885.5994,2784.5168,2935.353,3160.1782,3013.6646,2955.2175,2842.468,2853.6636,2862.5667,3064.2517,2965.3262,2844.3171,2923.4072,2910.1685,2657.4126,2855.0312,3323.7244,2895.5935,3050.3945,2991.637,2937.669,2801.354,3048.4878,2844.5056,2994.755,2861.8647,3035.161,2714.5134,2921.8708
2000-01-22,2939.5264,2824.9612,2945.9795,2846.7922,2995.388,3219.8809,3073.0422,3015.6323,2907.8867,2916.4297,2922.2976,3121.335,3023.796,2906.966,2986.231,2971.3643,2720.9966,2916.4158,3379.0947,2955.1758,3109.3813,3050.364,2997.8293,2862.2903,3108.183,2906.474,3054.0957,2921.9524,3094.9153,2776.9944,2982.389
2000-01-23,3000.9844,2889.1316,3008.6895,2911.3367,3057.724,3281.7615,3134.588,3078.4216,2975.7405,2981.4944,2984.2124,3180.5132,3084.3376,2971.8103,3051.3513,3034.8196,2786.9194,2979.92,3436.4421,3016.8804,3170.5286,3111.1902,3060.2327,2925.4456,3170.017,2970.6733,3115.5574,2984.167,3156.9539,2841.7056,3045.118
