,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2673.5168,1617.8923,2772.72,2476.4502,2802.6328,2632.5874,2819.0776,2546.79,2387.0488,2910.38,2022.1188,2811.9167,2931.7234,2492.4153,2793.0906,2680.89,3022.927,2316.2063,2816.041,2874.9397,2717.9978,2504.9634,2767.8567,2750.1106,3083.5906,2406.1304,2463.4849,3250.5996,2523.4705,2673.9817,2651.452
2000-01-10,2594.3943,2500.8586,2719.7954,2725.8513,2576.8022,2717.6538,2609.1335,2847.5076,2505.7847,2392.0303,2697.7595,2469.1396,2701.024,2832.7085,2578.361,2717.6777,2617.6394,2502.1965,2514.514,2620.1604,2538.0642,2552.1038,2313.3542,2763.8223,2443.0376,2829.8433,2533.7173,2751.5417,2463.0925,2837.2375,2615.56
2000-01-11,2586.847,2709.933,2602.691,2694.6985,2588.6536,2630.3174,2630.258,2637.486,2567.6985,2595.922,2597.4983,2545.1804,2657.3733,2643.225,2617.5903,2653.0295,2525.6968,2623.5457,2530.4949,2587.168,2460.779,2501.5994,2531.9587,2583.1697,2527.5547,2663.0845,2512.5923,2573.5369,2552.6626,2597.238,2590.983
2000-01-12,2658.0698,2806.395,2701.254,2801.8135,2708.621,2744.9363,2747.0156,2717.1814,2667.5544,2728.2456,2686.9375,2659.625,2763.735,2727.5613,2714.163,2729.3784,2654.1484,2713.7275,2614.264,2691.2307,2582.2644,2600.5405,2625.0122,2698.8962,2616.5505,2760.8933,2606.7273,2661.651,2637.5298,2695.4954,2690.7136
2000-01-13,2781.1833,2936.7876,2833.7751,2921.6936,2859.4436,2887.6846,2888.1384,2824.3782,2799.8665,2874.751,2774.6802,2806.8083,2896.3015,2849.177,2842.005,2839.726,2809.196,2846.7703,2738.865,2829.0798,2727.8042,2732.6826,2741.981,2838.8997,2742.9177,2877.6301,2738.8945,2783.4907,2761.336,2827.6614,2820.4539
2000-01-14,2830.7114,2974.9158,2870.9622,2922.9944,2831.1333,2898.446,2892.6824,2863.4348,2832.6907,2846.4446,2824.4072,2833.319,2922.0388,2901.4788,2873.4507,2893.597,2802.3777,2899.838,2800.2856,2843.3198,2729.299,2767.8015,2789.4927,2843.718,2793.2085,2902.0442,2788.3582,2825.1235,2817.5137,2864.8706,2849.332
2000-01-15,2833.6392,2975.38,2871.1282,2916.8232,2817.865,2893.3083,2886.0063,2865.694,2832.0151,2833.0583,2828.5132,2830.612,2919.9666,2905.184,2872.745,2898.2131,2794.8752,2901.9846,2805.6138,2837.9883,2721.7903,2767.5837,2792.5107,2837.1558,2796.2659,2901.8044,2790.943,2826.7317,2821.8594,2865.0598,2848.0776
2000-01-16,2800.6648,2944.905,2839.83,2881.7825,2769.4744,2854.266,2845.383,2844.7078,2799.8713,2784.0144,2808.004,2792.774,2886.285,2880.2432,2841.631,2876.918,2754.2722,2875.7356,2781.6914,2796.355,2679.2314,2735.967,2767.9424,2796.919,2769.507,2879.3403,2762.304,2799.5051,2797.08,2833.8716,2816.0164
2000-01-17,2728.4478,2878.5073,2772.0686,2814.6936,2702.3855,2777.1152,2766.9453,2796.3052,2731.4456,2696.6714,2763.468,2714.8667,2816.4702,2821.3123,2775.469,2824.596,2669.2095,2812.0679,2722.717,2719.7954,2597.7676,2668.0476,2710.7634,2719.1594,2707.547,2815.8848,2696.9392,2738.538,2737.6135,2766.3132,2748.771
2000-01-18,2702.5266,2852.6538,2746.5615,2807.5017,2695.4885,2763.259,2756.9998,2769.617,2708.0925,2702.5652,2737.8577,2693.8015,2796.5857,2788.9778,2753.0374,2792.107,2659.9802,2779.9958,2685.7407,2707.5076,2589.078,2643.577,2681.0354,2709.1404,2675.9412,2795.7378,2665.422,2711.431,2703.2554,2740.8145,2727.2095
2000-01-19,2715.683,2866.9429,2761.5225,2830.114,2724.9976,2786.8503,2782.773,2777.6587,2724.238,2738.5925,2738.7866,2714.57,2814.762,2797.6057,2768.7131,2798.1345,2688.6025,2791.0857,2692.3804,2729.1194,2616.554,2659.046,2690.117,2734.6218,2686.044,2810.2896,2676.8687,2723.0964,2711.2148,2755.7014,2743.5562
2000-01-20,2727.2266,2878.715,2773.329,2837.535,2730.9175,2796.7043,2791.8127,2788.667,2735.5923,2744.6482,2747.5063,2726.1924,2825.4153,2810.273,2779.6567,2810.2744,2698.0376,2804.2134,2706.1482,2738.0112,2625.5547,2670.6213,2702.0188,2743.621,2698.7974,2820.2236,2689.8916,2734.7021,2724.406,2767.4888,2754.2737
2000-01-21,2769.5898,2923.285,2819.0176,2886.954,2797.8706,2852.241,2849.2354,2821.1313,2782.2854,2812.5212,2776.4634,2780.6353,2873.9697,2847.6555,2824.8396,2842.5889,2760.6714,2846.322,2742.4885,2793.5383,2685.573,2716.67,2738.6714,2800.5107,2738.6548,2864.8826,2732.3623,2774.8462,2761.7278,2813.024,2801.0076
2000-01-22,2831.3938,2978.4524,2874.9968,2935.7534,2854.9048,2910.6309,2906.8535,2863.3557,2837.9316,2870.4583,2821.8694,2841.9663,2929.2993,2900.062,2878.59,2890.5046,2817.458,2900.6196,2796.6274,2855.885,2744.813,2772.3774,2788.9167,2857.6895,2792.8784,2905.4053,2788.8958,2826.7366,2815.2454,2868.86,2855.314
2000-01-23,2890.5862,3033.9282,2931.215,2983.2273,2908.9194,2968.064,2963.0552,2906.2788,2893.6106,2925.3499,2872.626,2902.8574,2984.3223,2953.5544,2932.3604,2939.7117,2869.5332,2954.0156,2852.252,2917.1582,2802.4392,2828.2295,2840.0732,2908.9543,2848.0369,2951.3804,2846.2583,2879.2021,2870.0076,2924.94,2909.405
2000-01-24,2941.301,3084.353,2982.2463,3024.9084,2954.9453,3018.8933,3012.5396,2947.0618,2943.9648,2972.1445,2924.6218,2941.5845,3033.768,3002.9055,2980.9758,2985.3794,2915.0518,3005.318,2903.9004,2971.5444,2853.0303,2878.843,2887.1516,2949.5117,2898.754,2992.9216,2898.8687,2927.1519,2920.654,2975.8516,2957.6716
2000-01-25,2957.3533,3098.5383,2996.0906,3025.5942,2944.834,3023.0159,3014.4495,2962.1604,2956.2122,2962.0383,2944.4006,2941.682,3043.4211,3022.2637,2992.7104,3005.292,2914.5208,3023.0422,2926.602,2977.0215,2853.832,2891.9294,2904.7483,2948.4841,2917.3843,3002.4163,2917.2063,2942.6052,2941.435,2989.7036,2968.0325
2000-01-26,2943.914,3083.929,2980.9463,3005.7625,2915.2996,3001.7058,2991.6748,2952.6082,2940.2751,2932.1333,2932.9548,2923.8113,3026.105,3011.8118,2977.261,2997.0247,2891.954,3010.2637,2917.3792,2954.364,2829.7393,2876.4563,2894.166,2927.9963,2905.7551,2989.3962,2904.4492,2930.0928,2931.3516,2974.6228,2951.8403
2000-01-27,2901.2798,3039.9897,2936.0325,2959.8145,2855.0835,2949.3245,2938.08,2919.5845,2894.7249,2871.063,2892.1392,2882.7903,2979.3064,2973.5835,2933.2046,2963.3936,2840.6375,2968.4976,2879.5015,2898.4067,2773.9424,2831.3486,2856.9392,2881.808,2865.3662,2952.5596,2861.691,2890.0232,2892.9172,2929.8499,2907.0964
2000-01-28,2862.1465,3001.4001,2897.071,2929.9058,2824.0159,2912.25,2902.3745,2888.4834,2856.535,2839.445,2855.5496,2854.675,2942.2327,2934.8289,2896.3496,2927.1714,2808.1914,2929.3608,2838.5027,2858.556,2737.6458,2792.8223,2820.1265,2853.011,2825.7668,2921.7507,2820.7915,2852.9736,2852.9805,2890.9727,2870.9292
2000-01-29,2844.6113,2984.9443,2880.6995,2922.3923,2821.7139,2900.9207,2892.8499,2873.8513,2841.1604,2837.0083,2838.021,2839.8293,2928.4443,2915.7039,2881.5552,2908.371,2800.6887,2911.6372,2817.1404,2846.2246,2728.5432,2776.94,2802.362,2843.9749,2806.8093,2908.384,2801.671,2836.2424,2832.849,2874.6174,2856.6724
2000-01-30,2841.5889,2982.465,2878.3416,2923.6135,2826.2825,2901.2256,2893.9753,2870.9658,2839.2524,2841.6013,2834.0486,2838.7449,2927.274,2911.655,2879.74,2904.032,2802.402,2908.4404,2812.1797,2846.4604,2730.035,2774.7925,2798.7578,2845.0586,2803.023,2906.9094,2798.0361,2833.3027,2828.4226,2872.2532,2855.1628
2000-01-31,2855.7078,2997.3933,2893.7058,2941.4868,2851.467,2920.9565,2914.6455,2881.0413,2855.1216,2867.1196,2843.6943,2857.627,2944.0466,2923.521,2895.1062,2914.0103,2822.5715,2921.1143,2823.3735,2867.4849,2751.7444,2790.354,2810.5132,2865.527,2815.851,2917.975,2811.8381,2846.5134,2840.1418,2887.561,2870.9736
2000-02-01,2858.5625,2999.4207,2895.524,2938.119,2842.7822,2918.682,2911.1477,2884.086,2856.2698,2858.3696,2848.2827,2857.3535,2944.0896,2928.0066,2896.1736,2919.0745,2818.307,2924.4895,2829.184,2865.1843,2747.6423,2791.8628,2814.3945,2862.1052,2819.8835,2918.975,2815.5696,2849.3394,2845.1636,2889.3936,2871.581
2000-02-02,2830.6187,2970.2227,2865.5042,2903.8179,2794.897,2880.6526,2871.434,2864.19,2825.3462,2809.8445,2829.0457,2820.7446,2911.5386,2904.4727,2866.2356,2899.1384,2779.652,2899.3862,2806.8035,2824.6472,2705.9805,2761.4954,2791.1433,2822.7747,2794.5342,2897.3892,2788.3643,2823.3835,2821.8538,2859.4812,2840.8198
2000-02-03,2759.4932,2907.5076,2801.514,2840.7378,2726.306,2808.0269,2797.6597,2818.3884,2760.7656,2727.9524,2781.7295,2747.2988,2845.7065,2848.6675,2803.7932,2849.534,2702.2505,2841.6433,2750.8872,2747.8738,2629.3845,2697.373,2737.0222,2749.6355,2735.8972,2842.7202,2726.5327,2765.7463,2765.515,2795.6821,2777.1084
2000-02-04,2782.9011,2936.8508,2832.7178,2897.5374,2808.9368,2865.3335,2861.8628,2831.9246,2795.7231,2823.782,2788.4307,2795.0232,2887.0293,2861.245,2837.8079,2855.2783,2774.108,2860.7266,2756.8506,2807.609,2698.4167,2730.221,2751.5857,2813.0554,2752.5488,2875.5742,2746.7185,2787.8586,2775.7266,2826.694,2814.0027
2000-02-05,2857.434,3001.3684,2898.3726,2958.6626,2884.1067,2937.4387,2933.6577,2880.1323,2861.5044,2900.0854,2839.2383,2868.7344,2953.3,2920.523,2901.3816,2908.72,2843.3198,2921.2542,2817.163,2884.1306,2772.63,2795.793,2808.7478,2884.264,2814.3599,2921.9993,2811.5344,2847.8223,2835.9146,2892.1663,2878.525
2000-02-06,2955.6794,3101.2224,3000.06,3055.3442,3003.7666,3050.8582,3046.5037,2955.8813,2963.5913,3021.5288,2934.5505,2971.065,3056.4805,3011.4797,3000.0544,2990.415,2953.5186,3018.0093,2909.3337,3003.9766,2889.4229,2897.4453,2896.5918,2981.1082,2909.3972,3009.15,2911.3413,2940.3462,2928.1277,2993.5652,2978.6604
