,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,16008.397,15794.334,16064.278,15884.33,15244.239,16057.996,15873.108,16290.424,15740.711,15853.605,15869.049,15906.505,15629.798,15904.437,16018.219,15952.955,15371.613,15922.037,15849.179,15504.483,15979.243,15996.603,15825.038,16040.077,16004.275,15105.865,16063.195,15891.804,15937.075,15385.397,15832.277
2021-11-25,15951.47,15739.203,16005.281,15828.05,15194.155,15999.528,15817.31,16231.033,15689.635,15793.5625,15814.025,15849.33,15576.473,15849.507,15959.89,15896.133,15322.121,15865.08,15793.937,15451.821,15922.154,15940.87,15770.978,15983.203,15946.09,15060.198,16006.765,15832.406,15880.841,15334.79,15776.86
2021-11-26,15920.543,15704.111,15983.565,15797.705,15162.593,15972.238,15788.204,16197.844,15659.102,15784.74,15781.803,15819.436,15543.6875,15816.772,15927.547,15870.772,15302.026,15836.76,15760.134,15422.717,15893.082,15906.052,15739.106,15952.307,15924.431,15028.04,15972.987,15817.335,15847.126,15301.718,15747.816
2021-11-27,15916.268,15695.982,15987.15,15793.658,15155.451,15971.314,15784.948,16192.666,15653.101,15798.683,15775.865,15816.042,15536.721,15810.401,15922.659,15870.774,15303.574,15834.515,15753.044,15418.373,15890.298,15898.347,15733.1045,15948.039,15927.775,15018.905,15966.326,15826.208,15840.447,15293.587,15744.474
2021-11-28,15905.072,15686.807,15972.207,15782.517,15147.017,15958.374,15773.59,16181.285,15643.961,15779.1875,15765.795,15804.425,15527.473,15800.539,15911.398,15857.823,15291.647,15822.469,15743.408,15408.179,15878.445,15888.854,15723.286,15936.852,15913.12,15012.307,15956.24,15808.972,15830.414,15285.445,15733.237
2021-11-29,15883.885,15667.4375,15947.94,15761.516,15129.3545,15935.615,15752.557,16159.385,15625.574,15751.534,15745.829,15782.888,15508.481,15780.744,15889.829,15835.449,15271.714,15800.684,15723.691,15388.69,15856.761,15869.121,15703.723,15915.676,15889.248,14996.957,15935.934,15783.033,15810.192,15267.858,15712.376
2021-11-30,15828.269,15618.563,15880.309,15706.309,15084.666,15874.1875,15696.898,16102.248,15578.376,15669.885,15694.305,15725.92,15460.1,15729.901,15833.46,15774.634,15216.808,15742.514,15673.394,15337.731,15799.1045,15819.052,15653.34,15860.091,15822.804,14959.474,15883.829,15708.405,15758.324,15223.839,15657.225
2021-12-01,15716.282,15517.454,15749.551,15595.256,14992.42,15752.867,15585.485,15986.708,15481.88,15518.007,15589.301,15611.834,15360.686,15626.018,15719.591,15655.098,15109.828,15626.772,15570.116,15234.86,15684.022,15715.831,15550.58,15748.139,15694.273,14880.145,15777.271,15567.216,15652.228,15132.282,15546.734
2021-12-02,15524.471,15341.559,15531.107,15405.155,14832.186,15547.529,15395.386,15788.291,15315.124,15270.656,15408.121,15417.098,15188.438,15446.605,15524.131,15453.563,14930.26,15429.971,15391.204,15058.415,15487.921,15536.5625,15373.271,15556.323,15479.531,14740.381,15593.108,15334.696,15468.852,14972.552,15358.082
2021-12-03,15421.962,15223.28,15463.312,15304.652,14726.045,15458.97,15299.54,15677.882,15212.842,15251.166,15300.241,15318.553,15078.388,15337.087,15416.567,15371.817,14866.454,15337.204,15277.678,14961.7705,15392.318,15419.264,15266.705,15453.81,15411.871,14631.004,15479.934,15291.805,15355.911,14860.883,15262.297
2021-12-04,15310.516,15118.192,15342.313,15194.321,14630.569,15342.287,15189.86,15562.055,15114.386,15121.158,15193.563,15206.121,14976.206,15231.269,15302.572,15257.937,14766.047,15224.3955,15171.579,14858.987,15279.478,15312.473,15162.298,15342.299,15292.876,14545.673,15371.169,15166.644,15247.6,14764.979,15153.327
2021-12-05,15165.537,14981.058,15185.705,15051.212,14506.05,15190.924,15047.333,15411.277,14986.071,14954.157,15054.528,15059.986,14842.986,15093.395,15154.175,15110.314,14636.042,15077.887,15033.226,14725.244,15132.842,15173.12,15026.278,15197.192,15138.998,14434.0625,15229.415,15005.395,15106.441,14639.778,15011.6875
2021-12-06,14999.756,14821.201,15012.2295,14887.85,14361.146,15020.586,14885.153,15238.299,14837.691,14777.578,14894.076,14893.627,14688.429,14934.064,14984.043,14944.872,14491.502,14911.968,14872.761,14572.027,14966.322,15011.012,14869.276,15031.213,14969.091,14302.085,15065.465,14831.43,14943.168,14493.344,14850.376
2021-12-07,14984.673,14779.659,15050.562,14874.544,14325.141,15028.614,14876.755,15217.716,14819.02,14886.88,14867.211,14884.633,14654.327,14904.388,14965.164,14958.642,14514.12,14910.666,14838.241,14555.468,14961.437,14972.3545,14841.838,15016.153,15005.974,14251.5205,15034.126,14906.019,14911.6875,14450.76,14841.609
2021-12-08,15070.747,14850.68,15164.59,14960.056,14390.231,15127.474,14963.767,15305.387,14894.482,15034.053,14945.101,14973.724,14725.675,14980.367,15051.999,15057.303,14605.005,15002.925,14912.727,14633.8545,15052.442,15045.939,14917.52,15102.362,15117.364,14302.925,15111.971,15036.39,14989.087,14513.796,14927.998
2021-12-09,15111.855,14900.972,15186.263,14999.949,14435.17,15160.429,15001.473,15350.188,14931.7295,15028.396,14989.726,15012.549,14771.91,15025.867,15095.524,15086.957,14626.735,15038.622,14960.375,14672.88,15089.683,15095.569,14961.641,15143.499,15138.852,14350.867,15159.104,15043.864,15036.132,14561.653,14965.614
2021-12-10,15207.772,14983.966,15305.633,15095.014,14510.987,15267.275,15097.5625,15448.561,15016.116,15174.61,15078.231,15110.972,14854.295,15112.718,15192.742,15192.838,14722.941,15139.484,15046.21,14760.613,15189.625,15180.948,15047.861,15239.531,15255.576,14413.653,15248.189,15176.337,15124.76,14636.086,15061.036
2021-12-11,15301.846,15078.376,15396.646,15187.495,14596.373,15360.762,15188.768,15547.366,15099.847,15257.754,15170.91,15204.56,14944.766,15205.233,15289.71,15282.833,14800.102,15231.772,15139.987,14847.921,15282.702,15276.178,15138.766,15333.672,15344.902,14493.823,15343.474,15262.794,15219.693,14723.206,15151.74
2021-12-12,15373.452,15152.264,15461.546,15257.772,14663.097,15430.179,15257.736,15622.935,15163.736,15311.721,15242.353,15275.348,15015.144,15276.804,15363.762,15349.2,14856.176,15301.001,15212.859,14914.58,15352.785,15350.438,15208.951,15405.314,15409.01,14557.744,15417.23,15321.879,15293.207,14791.727,15220.331
2021-12-13,15411.777,15195.138,15489.591,15295.408,14701.629,15464.445,15293.872,15663.972,15198.177,15325.216,15282.09,15312.482,15055.284,15316.985,15403.811,15381.184,14881.798,15336.36,15254.312,14950.579,15389.034,15393.115,15248.135,15443.647,15436.894,14596.712,15458.728,15342.396,15334.6,14832.01,15256.313
2021-12-14,15335.552,15139.4795,15374.169,15219.212,14650.052,15370.518,15215.041,15587.657,15135.244,15161.118,15216.479,15231.902,14997.434,15253.731,15327.889,15285.99,14791.67,15250.92,15193.701,14881.852,15305.708,15334.411,15184.62,15367.3545,15324.099,14561.525,15394.192,15202.5205,15270.5,14784.004,15178.284
2021-12-15,15249.929,15054.041,15290.699,15134.858,14572.738,15284.983,15131.899,15497.819,15057.051,15083.099,15132.365,15146.599,14915.448,15169.795,15239.7,15203.537,14720.77,15166.657,15108.715,14802.431,15220.798,15248.191,15102.12,15281.676,15241.816,14489.254,15307.771,15122.146,15184.395,14705.233,15095.552
2021-12-16,15193.368,14993.667,15243.333,15079.461,14518.351,15231.922,15077.916,15437.765,15005.075,15049.851,15075.001,15091.151,14858.376,15112.144,15180.938,15153.283,14679.154,15113.014,15049.67,14749.586,15166.2,15187.741,15045.708,15225.075,15195.108,14435.894,15248.289,15082.257,15125.094,14648.941,15041.777
