,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2881.4312,2427.5173,1960.0814,2943.4224,3343.2676,3121.8723,3277.1245,2118.107,2574.1172,2349.0874,2691.6284,2780.7517,3684.482,2517.594,2046.6078,2704.8838,2212.9646,3088.9285,2624.2388,2458.76,2695.0745,3471.9373,2358.0608,2840.5898,2227.2734,2065.3867,2319.4707,2403.7505,2774.612,1444.2941,2613.5771
2000-01-10,2685.7444,2370.0535,2317.563,2265.337,2985.925,2340.8992,2639.38,2240.5234,2360.322,2106.487,2339.0925,2668.8875,3274.885,2469.915,2667.014,2679.2883,3013.6401,2348.9158,2386.8792,2367.097,2927.38,2898.0046,2873.7563,2789.0881,2465.5896,2593.6052,2487.7244,2108.918,2763.7214,2635.2336,2569.0286
2000-01-11,2432.12,2402.423,2364.7307,2502.1978,2515.8533,2574.7969,2482.3516,2015.9554,2483.2566,2677.9106,2471.9924,2475.9314,2537.5488,2598.461,2421.4846,2718.2832,2732.9023,2539.5786,2593.6555,2286.2524,2661.9268,2616.293,2644.9346,2578.5078,2477.8796,2448.9373,2579.1406,2180.7354,2563.826,2837.6667,2513.918
2000-01-12,2538.544,2455.334,2479.703,2598.9507,2601.711,2691.1365,2586.173,2127.786,2580.2373,2816.8638,2580.2717,2576.9478,2628.579,2692.373,2495.5654,2824.6028,2801.7117,2646.8723,2697.5144,2373.4155,2718.6638,2714.68,2740.847,2683.4429,2590.4766,2537.5916,2679.312,2306.1006,2657.886,2925.1262,2611.6138
2000-01-13,2678.53,2553.4548,2625.9285,2729.5317,2724.9697,2835.0283,2722.614,2274.8308,2719.6338,2966.348,2684.097,2708.6348,2758.3472,2817.9841,2589.5586,2959.7983,2895.1714,2783.317,2818.9238,2503.2363,2819.812,2848.4895,2873.049,2823.394,2734.664,2667.266,2817.7334,2465.2708,2786.114,3052.214,2741.265
2000-01-14,2710.8499,2608.2793,2648.3538,2767.178,2776.846,2860.96,2753.882,2308.6387,2778.5798,2925.5981,2722.858,2736.3806,2811.0535,2852.965,2603.459,2980.5295,2931.2537,2804.2405,2846.1162,2545.2498,2850.7463,2889.3142,2917.2517,2862.5356,2759.1128,2726.8044,2864.76,2489.067,2825.9348,3108.8635,2775.5889
2000-01-15,2709.6626,2612.0083,2644.8975,2767.5366,2780.3801,2857.557,2752.6807,2307.3635,2782.63,2909.6208,2724.7063,2734.7446,2814.4006,2853.4302,2601.137,2977.3345,2932.8787,2801.0159,2844.7986,2546.194,2850.0767,2890.1208,2918.8054,2862.7473,2756.1624,2731.4927,2866.532,2481.8088,2826.845,3113.1252,2775.0898
2000-01-16,2675.1448,2585.0078,2606.482,2736.8962,2754.8672,2822.0393,2718.992,2271.0728,2753.8235,2857.114,2701.286,2701.7217,2787.1418,2823.5486,2576.3374,2941.82,2909.3037,2765.172,2814.005,2514.992,2819.5994,2859.1902,2889.054,2829.1404,2718.7708,2705.6836,2835.5347,2436.5051,2797.354,3087.477,2743.169
2000-01-17,2602.3127,2521.6055,2528.3757,2670.297,2694.937,2747.301,2647.9656,2194.5405,2686.0837,2765.8916,2648.2087,2632.733,2723.7039,2758.4358,2526.0396,2869.6077,2856.387,2692.2915,2749.3882,2446.371,2760.4343,2791.346,2822.7202,2756.3467,2642.1724,2643.522,2766.2126,2349.5662,2732.4695,3026.251,2675.1172
2000-01-18,2578.792,2490.4192,2509.3743,2644.6746,2662.722,2728.3418,2625.1528,2169.905,2649.5193,2777.7253,2623.3362,2611.9116,2690.7256,2733.6729,2514.0774,2852.0383,2836.7087,2674.5605,2729.2734,2418.332,2741.8,2763.9868,2793.7883,2728.8562,2622.287,2607.193,2735.555,2337.7317,2705.906,2991.4827,2651.6619
