,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15955.8545,16032.179,14162.908,15519.136,14971.913,15859.838,16059.519,15771.891,15497.9,15874.645,15965.434,15073.6875,15884.856,14804.931,15964.547,15431.633,15268.0205,15702.433,15260.355,15236.126,15694.172,15838.757,15787.572,15581.206,15638.766,15618.54,15156.851,15267.979,14742.739,15911.072,15517.847
2021-11-25,15909.889,15987.087,14131.274,15483.655,14940.829,15816.269,16010.047,15730.732,15465.541,15832.761,15918.063,15042.58,15843.952,14773.739,15921.858,15400.724,15239.116,15658.319,15230.505,15211.67,15649.359,15797.153,15747.882,15544.032,15603.068,15577.676,15124.5625,15229.129,14719.477,15866.143,15480.237
2021-11-26,15878.711,15957.256,14117.059,15460.174,14920.458,15785.94,15974.509,15706.174,15444.141,15803.825,15885.0625,15021.907,15816.018,14754.589,15896.142,15379.541,15220.742,15628.724,15209.557,15195.557,15619.21,15770.84,15719.503,15513.501,15577.901,15550.137,15103.703,15202.878,14705.394,15836.665,15455.193
2021-11-27,15870.458,15949.77,14116.977,15454.301,14915.457,15777.526,15964.078,15701.431,15438.8125,15795.923,15875.896,15016.695,15808.554,14750.604,15891.052,15373.863,15216.58,15621.061,15203.703,15191.594,15611.354,15764.878,15711.27,15502.711,15570.799,15542.967,15098.749,15195.954,14702.606,15829.389,15448.834
2021-11-28,15863.333,15942.512,14109.77,15448.559,14910.372,15771.004,15957.066,15693.913,15433.526,15789.55,15868.832,15011.668,15802.226,14745.05,15883.311,15369.057,15211.599,15614.121,15199.217,15187.559,15604.338,15757.763,15705.544,15498.624,15565.498,15536.535,15093.353,15189.917,14698.351,15822.09,15442.808
2021-11-29,15847.4375,15926.702,14097.275,15436.062,14899.397,15756.069,15940.421,15678.833,15422.054,15775.088,15852.638,15000.694,15788.031,14733.697,15867.694,15358.261,15201.15,15598.795,15188.901,15178.839,15588.797,15742.852,15692.06,15486.866,15553.2295,15522.293,15081.854,15176.478,14689.752,15806.303,15429.616
2021-11-30,15808.011,15887.107,14063.365,15404.679,14871.806,15719.308,15899.98,15639.89,15393.17,15739.337,15812.795,14973.157,15752.81,14704.514,15827.406,15331.419,15174.481,15560.641,15163.435,15156.8125,15550.167,15704.96,15659.13,15459.824,15523.042,15486.809,15052.785,15143.171,14667.462,15766.684,15396.605
2021-12-01,15725.026,15804.037,13996.633,15338.581,14813.935,15641.339,15813.686,15559.56,15332.178,15663.491,15728.312,14915.073,15678.285,14643.787,15744.03,15274.343,15118.436,15480.507,15108.945,15110.186,15469.041,15626.012,15588.689,15399.403,15458.503,15412.003,14991.908,15073.28,14620.872,15683.759,15327.127
2021-12-02,15578.368,15657.028,13883.791,15220.734,14711.262,15502.646,15660.151,15418.246,15222.794,15528.12,15578.177,14811.257,15545.463,14535.872,15596.786,15171.685,15017.759,15338.992,15010.5205,15026.044,15325.938,15486.436,15462.432,15288.508,15342.332,15279.077,14883.759,14950.277,14537.062,15537.337,15203.628
2021-12-03,15467.177,15549.911,13835.603,15134.978,14637.093,15393.331,15533.737,15329.285,15142.436,15422.301,15460.556,14734.426,15443.494,14465.503,15502.999,15091.759,14948.192,15233.639,14931.74,14964.662,15218.822,15390.602,15358.785,15176.268,15248.975,15179.189,14807.065,14856.532,14483.057,15432.043,15112.472
