,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,15435.232,15049.911,15178.292,15779.6875,15490.776,15405.517,15613.929,15393.911,15480.081,15225.761,15301.485,15474.669,15228.699,15601.445,15410.631,15472.607,15162.054,15038.952,15476.868,15402.876,15365.963,15805.263,15289.005,15210.546,15342.17,15249.34,15390.77,15494.111,15411.336,15491.629,15389.118
2021-11-25,15387.363,15005.725,15132.713,15718.32,15443.697,15358.978,15560.654,15345.222,15432.275,15180.827,15255.898,15424.284,15184.102,15552.473,15362.386,15421.689,15118.789,14996.181,15430.303,15354.2705,15317.321,15748.67,15242.84,15162.424,15295.186,15203.075,15341.713,15447.128,15361.579,15443.701,15340.991
2021-11-26,15362.359,14977.214,15101.649,15704.607,15414.595,15325.344,15538.461,15318.986,15405.689,15145.651,15223.617,15404.261,15148.012,15522.565,15331.715,15396.012,15074.723,14955.513,15396.464,15322.383,15287.773,15728.869,15214.552,15141.484,15264.356,15171.535,15317.488,15413.052,15338.836,15412.909,15312.022
2021-11-27,15359.539,14970.397,15093.333,15715.214,15408.324,15315.371,15539.681,15315.495,15401.625,15133.925,15214.362,15406.173,15135.447,15516.326,15324.626,15393.731,15055.518,14938.763,15386.334,15314.4795,15281.699,15733.103,15208.593,15141.906,15256.703,15163.079,15315.683,15402.885,15338.421,15405.62,15306.21
2021-11-28,15349.788,14963.151,15086.398,15696.829,15400.189,15308.906,15527.031,15305.837,15392.404,15128.555,15207.811,15393.886,15130.51,15507.75,15316.571,15383.065,15053.648,14935.973,15379.922,15306.686,15273.134,15718.45,15200.538,15130.75,15249.169,15156.046,15305.242,15396.4,15327.244,15397.721,15297.653
2021-11-29,15331.717,14947.678,15070.814,15669.664,15383.418,15293.424,15505.707,15287.636,15374.709,15114.196,15192.479,15373.483,15116.536,15490.23,15299.587,15363.65,15042.103,14923.899,15364.45,15289.8,15255.704,15694.965,15184.04,15111.657,15232.836,15140.231,15286.419,15380.793,15307.75,15380.914,15280.348
2021-11-30,15283.887,14908.765,15032.312,15590.888,15340.724,15255.952,15447.161,15239.766,15328.488,15080.598,15155.093,15317.116,15084.38,15445.489,15256.697,15311.912,15019.622,14898.852,15327.087,15247.558,15211.132,15629.1455,15141.941,15059.541,15191.976,15101.156,15236.084,15343.07,15254.945,15338.609,15235.998
2021-12-01,15188.017,14827.949,14951.415,15442.654,15252.812,15176.039,15332.817,15143.418,15235.02,15007.179,15075.76,15207.425,15013.332,15353.598,15167.939,15208.7,14963.439,14839.152,15247.241,15159.571,15119.674,15502.355,15055.398,14957.267,15106.815,15019.038,15135.962,15262.513,15150.84,15250.864,15145.14
2021-12-02,15024.07,14686.831,14809.315,15199.577,15100.06,15034.472,15140.61,14978.266,15074.337,14875.3545,14935.548,15023.317,14885.134,15194.213,15013.354,15032.741,14855.916,14727.287,15105.561,15005.788,14961.14,15291.071,14905.179,14784.661,14957.8545,14874.767,14965.624,15119.669,14974.709,15097.843,14987.81
2021-12-03,14940.727,14589.506,14703.071,15163.774,15001.141,14918.886,15070.02,14890.486,14984.871,14753.391,14824.342,14959.694,14760.066,15092.926,14909.13,14947.944,14700.644,14583.975,14988.623,14897.343,14861.355,15230.648,14809.198,14716.826,14852.671,14766.786,14885.621,15002.495,14900.531,14993.033,14889.99
2021-12-04,14845.661,14504.504,14616.611,15034.485,14909.93,14831.536,14962.327,14794.275,14890.707,14670.184,14738.078,14856.813,14678.542,14998.079,14816.456,14846.592,14625.999,14508.446,14900.861,14804.628,14767.189,15114.441,14719.685,14619.27,14762.729,14678.967,14787.7705,14914.261,14800.445,14901.067,14796.685
2021-12-05,14721.868,14393.299,14503.436,14868.329,14790.729,14716.994,14822.863,14668.931,14767.924,14560.751,14624.94,14723.531,14571.314,14874.216,14695.353,14714.756,14526.863,14408.3955,14785.651,14683.412,14644.257,14964.318,14602.739,14492.663,14645.053,14563.995,14660.555,14798.52,14670.516,14780.845,14674.901
2021-12-06,14580.532,14262.99,14369.924,14690.824,14651.861,14580.674,14667.525,14525.348,14626.696,14428.7,14490.555,14575.413,14441.282,14730.249,14553.876,14564.965,14400.731,14282.893,14648.204,14541.28,14501.548,14799.519,14466.683,14350.772,14506.918,14428.307,14516.26,14660.666,14524.309,14640.173,14533.656
2021-12-07,14571.777,14225.916,14323.234,14780.586,14619.161,14523.216,14688.904,14512.025,14608.869,14358.669,14437.034,14600.419,14365.512,14698.571,14516.221,14561.573,14279.636,14176.534,14588.566,14498.692,14471.478,14843.667,14436.039,14364.647,14464.943,14380.475,14514.668,14601.932,14532.674,14600.976,14504.887
2021-12-08,14647.08,14282.519,14377.329,14919.303,14682.506,14574.111,14785.158,14586.579,14680.153,14401.66,14488.678,14694.335,14404.71,14765.198,14578.797,14643.934,14296.641,14199.765,14639.192,14559.421,14538.073,14955.22,14498.687,14450.22,14523.685,14435.262,14594.783,14653.066,14618.261,14662.431,14571.224
2021-12-09,14680.61,14324.909,14424.189,14921.466,14724.978,14625.792,14809.769,14622.399,14717.263,14457.3955,14538.419,14715.96,14462.37,14808.32,14623.758,14677.058,14371.305,14268.663,14692.07,14606.425,14580.255,14972.728,14539.76,14474.917,14569.719,14483.103,14626.118,14705.634,14646.037,14707.833,14612.641
