,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,14798.078,13189.829,15882.211,14604.187,14593.667,13912.868,14447.381,15475.384,14052.96,16205.252,14919.628,13816.8125,14011.456,14109.0205,14584.318,14741.267,13079.734,13486.133,14830.386,13668.665,15030.486,14487.105,16072.194,14689.4375,15099.931,15188.294,13629.384,16313.492,16570.799,16427.873,14730.608
2021-11-25,14773.601,13176.665,15851.205,14580.513,14572.923,13894.673,14424.4795,15447.692,14032.771,16166.944,14897.563,13797.335,13993.001,14089.032,14560.786,14724.3,13065.757,13469.321,14805.231,13650.235,15005.841,14464.218,16040.236,14667.565,15075.058,15163.773,13613.845,16282.794,16535.15,16394.598,14707.238
2021-11-26,14772.177,13176.8,15847.758,14579.577,14574.267,13895.059,14424.319,15446.19,14032.721,16157.153,14899.486,13797.42,13993.593,14088.617,14559.543,14732.555,13066.18,13467.493,14803.412,13647.652,15005.067,14462.7,16037.923,14667.167,15074.43,15165.239,13615.913,16282.932,16531.248,16393.129,14706.59
2021-11-27,14762.411,13169.077,15836.96,14570.504,14560.479,13885.0,14413.26,15434.031,14022.496,16151.285,14884.217,13787.437,13983.421,14078.17,14548.808,14709.316,13057.938,13459.874,14793.57,13640.414,14995.143,14453.105,16025.449,14655.322,15065.843,15149.993,13604.092,16266.573,16516.586,16379.943,14695.356
2021-11-28,14743.56,13156.386,15817.8125,14551.515,14537.608,13867.034,14394.178,15412.718,14004.233,16142.439,14858.755,13769.259,13964.48,14060.724,14530.53,14671.263,13043.919,13449.002,14775.122,13630.095,14974.712,14436.277,16002.768,14636.187,15046.118,15123.397,13584.057,16238.034,16494.498,16353.443,14675.671
2021-11-29,14690.127,13125.1875,15755.736,14497.94,14484.598,13822.869,14338.902,15352.092,13956.467,16084.364,14800.471,13722.869,13919.009,14015.121,14479.201,14604.722,13009.305,13415.936,14721.692,13595.728,14918.396,14386.919,15934.149,14585.858,14987.65,15060.798,13540.802,16165.021,16423.377,16279.06,14622.478
2021-11-30,14583.655,13064.467,15624.09,14393.076,14385.764,13738.784,14235.214,15229.967,13864.408,15937.467,14694.037,13633.801,13833.058,13924.79,14373.867,14503.842,12945.164,13344.331,14612.184,13519.001,14808.509,14286.795,15795.216,14487.218,14872.195,14944.73,13463.854,16024.471,16271.523,16131.903,14517.579
2021-12-01,14401.641,12960.067,15401.054,14219.343,14217.117,13596.109,14062.882,15023.681,13709.483,15684.922,14513.535,13483.797,13687.93,13770.641,14197.869,14331.459,12833.683,13218.245,14427.217,13383.966,14625.985,14117.187,15562.027,14316.838,14695.345,14748.608,13332.871,15787.568,16010.695,15887.564,14340.312
2021-12-02,14326.617,12914.217,15314.018,14145.014,14139.674,13532.372,13988.588,14937.837,13641.821,15604.855,14429.18,13417.766,13622.055,13704.656,14124.442,14231.956,12783.988,13169.542,14351.492,13333.692,14547.677,14047.653,15467.097,14244.014,14617.36,14658.475,13269.659,15683.679,15909.793,15784.543,14264.792
2021-12-03,14224.529,12855.527,15190.791,14043.642,14043.156,13450.224,13888.105,14821.785,13552.693,15475.329,14324.903,13331.344,13537.524,13618.074,14025.89,14126.028,12719.93,13103.054,14247.193,13263.101,14440.984,13952.336,15335.528,14148.604,14509.366,14545.057,13193.155,15548.382,15769.675,15643.565,14164.316
2021-12-04,14089.876,12779.744,15026.798,13913.903,13920.653,13345.743,13759.307,14670.26,13438.283,15291.2705,14193.68,13220.868,13430.723,13505.735,13895.547,14003.565,12638.927,13013.171,14110.887,13166.743,14304.501,13827.419,15163.407,14024.779,14368.362,14402.015,13097.952,15374.9,15581.214,15462.649,14034.097
2021-12-05,13937.311,12694.151,14836.383,13769.5625,13786.114,13229.458,13620.183,14498.488,13311.251,15062.815,14051.479,13098.112,13312.27,13378.594,13748.529,13884.086,12548.131,12905.842,13954.667,13050.338,14152.226,13684.999,14968.565,13884.093,14221.387,14245.681,12995.602,15182.357,15361.53,15259.936,13887.805
2021-12-06,13945.143,12699.049,14843.553,13777.537,13795.272,13236.549,13628.372,14506.894,13318.72,15064.621,14061.828,13105.428,13319.856,13385.394,13756.667,13899.761,12553.533,12909.13,13961.726,13053.257,14160.63,13691.497,14977.514,13891.084,14234.13,14256.4375,13003.702,15193.918,15369.415,15270.569,13895.705
2021-12-07,14032.619,12749.57,14951.468,13861.563,13876.16,13305.572,13710.785,14606.293,13393.501,15187.146,14148.008,13177.794,13390.37,13459.757,13841.088,13980.619,12607.769,12970.229,14051.442,13118.738,14249.3,13773.657,15089.639,13973.891,14317.981,14350.298,13066.522,15307.383,15494.207,15388.035,13981.046
2021-12-08,14059.398,12767.024,14980.429,13888.54,13907.061,13330.054,13739.59,14637.082,13419.15,15206.153,14182.18,13202.819,13415.794,13484.252,13867.802,14027.695,12627.08,12986.321,14077.831,13134.553,14277.991,13798.267,15123.059,14000.925,14348.709,14386.026,13092.767,15346.831,15528.033,15425.198,14008.954
2021-12-09,14153.3,12821.591,15093.742,13980.212,13996.187,13405.532,13829.712,14743.577,13500.738,15326.788,14277.93,13281.907,13493.382,13564.222,13958.829,14124.633,12685.803,13048.943,14173.544,13201.039,14374.773,13885.719,15242.963,14089.231,14445.133,14489.976,13163.252,15470.749,15657.842,15552.757,14101.133
2021-12-10,14236.059,12868.08,15195.534,14060.932,14071.015,13469.898,13909.238,14837.179,13571.162,15441.98,14358.09,13350.064,13559.229,13633.302,14038.525,14198.005,12735.968,13104.473,14258.143,13260.761,14459.564,13963.059,15349.574,14165.603,14530.446,14577.728,13221.203,15577.496,15774.152,15664.991,14181.382
2021-12-11,14298.951,12902.19,15273.943,14120.39,14124.571,13516.474,13966.78,14907.429,13622.724,15537.869,14414.846,13399.748,13606.596,13684.589,14099.095,14242.621,12771.641,13147.68,14321.971,13307.861,14521.859,14021.286,15429.984,14221.94,14594.273,14640.38,13261.456,15655.6,15864.428,15748.395,14240.921
2021-12-12,14330.566,12918.872,15316.088,14148.767,14148.953,13538.463,13993.072,14942.933,13647.182,15597.775,14439.725,13423.258,13628.543,13710.116,14129.025,14254.049,12789.02,13172.308,14354.875,13335.423,14551.726,14051.137,15470.9,14250.366,14619.532,14668.529,13278.435,15692.697,15913.89,15789.375,14270.1875
2021-12-13,14246.776,12871.082,15214.13,14067.944,14071.531,13472.658,13913.315,14848.233,13575.606,15484.528,14356.697,13353.958,13561.241,13639.539,14047.929,14174.249,12737.998,13115.806,14269.794,13275.01,14466.701,13973.286,15363.815,14172.574,14534.173,14578.161,13217.998,15583.759,15796.22,15676.328,14188.702
2021-12-14,14171.309,12827.8955,15121.696,13995.3,14001.91,13413.378,13841.82,14762.758,13511.201,15380.574,14282.262,13291.608,13500.681,13575.793,13975.001,14103.698,12691.728,13064.152,14192.853,13219.68,14390.216,13902.874,15267.195,14102.0625,14459.1875,14497.076,13163.844,15485.812,15689.394,15574.665,14115.254
2021-12-15,14125.182,12800.917,15066.322,13950.457,13957.64,13376.174,13797.167,14710.41,13471.037,15322.242,14234.603,13252.673,13462.516,13536.324,13930.191,14054.405,12662.702,13033.287,14146.081,13187.032,14342.98,13859.947,15208.408,14058.408,14412.024,14445.574,13128.766,15424.632,15625.397,15512.302,14069.859
2021-12-16,14083.206,12777.113,15014.886,13909.63,13919.303,13343.257,13757.457,14662.982,13435.218,15264.594,14193.633,13217.978,13428.737,13501.112,13889.697,14016.168,12637.152,13005.08,14103.131,13156.755,14299.932,13820.808,15154.621,14019.559,14369.084,14400.739,13098.926,15370.343,15566.756,15455.378,14029.109
2021-12-17,14050.513,12758.783,14974.472,13878.225,13889.997,13318.095,13726.266,14626.071,13407.581,15217.782,14162.393,13191.329,13403.101,13473.861,13858.181,13988.466,12617.48,12982.737,14069.801,13132.667,14266.871,13790.236,15112.561,13989.331,14336.002,14366.576,13076.463,15328.543,15520.249,15411.528,13997.54
2021-12-18,14030.166,12747.524,14949.173,13859.27,13872.427,13302.878,13708.235,14603.365,13390.908,15186.907,14143.8545,13175.224,13387.587,13457.089,13838.511,13973.5205,12605.638,12968.472,14049.135,13117.16,14246.874,13771.429,15086.836,13970.895,14316.088,14346.16,13063.169,15303.212,15491.019,15384.8125,13978.251
2021-12-19,14020.755,12741.796,14937.284,13850.351,13863.32,13295.209,13699.315,14592.411,13382.732,15173.12,14134.203,13167.305,13379.844,13448.748,13829.478,13964.115,12599.48,12961.248,14039.317,13109.439,14237.46,13762.357,15074.61,13961.401,14308.864,14335.745,13056.096,15290.742,15476.812,15372.2,13968.856
2021-12-20,14036.058,12749.709,14957.77,13864.348,13874.813,13305.745,13712.414,14609.576,13394.605,15202.202,14145.953,13178.677,13390.386,13460.928,13843.931,13968.805,12607.824,12972.891,14055.318,13122.522,14252.217,13776.876,15094.581,13975.012,14321.986,14349.13,13064.031,15308.551,15500.44,15392.186,13982.981
2021-12-21,13999.815,12728.26,14914.422,13828.853,13839.467,13276.096,13677.031,14568.335,13362.725,15157.663,14107.864,13147.754,13359.902,13429.6875,13808.711,13928.347,12584.582,12948.7295,14018.471,13097.072,14214.774,13743.05,15048.375,13940.363,14284.937,14308.044,13035.841,15260.067,15450.503,15342.979,13947.092
2021-12-22,13985.757,12721.666,14895.654,13815.0205,13829.928,13266.712,13664.858,14552.852,13351.897,15131.471,14098.095,13137.339,13350.233,13419.205,13795.587,13926.349,12577.455,12939.473,14003.568,13086.446,14200.15,13729.886,15029.83,13929.0,14269.434,14296.395,13029.33,15244.145,15430.54,15323.714,13934.398
2021-12-23,13996.628,12730.453,14905.374,13826.922,13846.686,13279.264,13677.481,14565.856,13364.136,15128.751,14117.007,13149.52,13363.593,13430.715,13806.827,13959.692,12587.15,12945.267,14014.201,13091.225,14212.931,13739.7705,15042.767,13941.645,14281.988,14315.624,13044.819,15263.3125,15442.057,15339.775,13947.047
2021-12-24,14066.451,12772.948,14986.883,13896.795,13918.609,13338.713,13749.041,14645.902,13427.664,15203.401,14195.259,13211.247,13424.946,13491.984,13874.98,14051.229,12633.757,12989.972,14085.031,13137.491,14286.999,13805.012,15132.077,14009.593,14356.863,14399.334,13103.455,15359.961,15535.481,15436.386,14017.581
2021-12-25,14198.252,12848.95,15145.066,14025.369,14043.122,13443.999,13876.517,14794.87,13541.9,15370.843,14329.39,13321.941,13533.14,13603.57,14003.049,14187.042,12715.541,13076.558,14218.584,13229.345,14422.601,13927.259,15300.095,14132.478,14496.581,14544.813,13201.8955,15533.584,15716.602,15615.118,14146.603
