,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2516.7637,2581.1309,2349.9158,2477.1272,2547.8398,2485.2463,2495.0488,2559.2112,2664.299,2623.5037,2405.4604,2715.2761,2473.1333,2518.9143,2494.1597,2533.6577,2407.274,2664.7292,2645.3958,2607.8552,2565.2578,2663.8577,2445.1194,2420.8025,2674.661,2609.7478,2456.2603,2432.6543,2475.0825,2498.96,2533.6116
2000-01-10,2552.5159,2605.2349,2400.757,2522.9026,2593.3098,2523.2485,2537.381,2603.1716,2702.218,2665.3904,2455.644,2754.7576,2527.3428,2565.2878,2540.6897,2582.9958,2443.2812,2701.312,2683.7576,2628.8909,2602.786,2703.2927,2484.0286,2467.8643,2717.3677,2653.4597,2494.6316,2477.2778,2520.5222,2538.9229,2575.0078
2000-01-11,2645.2554,2695.7366,2530.83,2628.8203,2702.1118,2636.1912,2638.1118,2703.4355,2788.4573,2762.5269,2574.6384,2839.0227,2645.3975,2671.882,2657.6545,2674.0886,2540.1912,2791.8418,2770.0427,2721.3474,2691.2205,2791.586,2591.4126,2571.1855,2826.2832,2740.2231,2590.4338,2581.872,2632.8647,2641.887,2675.8848
2000-01-12,2772.9119,2850.3804,2696.728,2757.0796,2831.6335,2794.356,2759.951,2824.4387,2894.0662,2886.9595,2722.024,2937.249,2778.9739,2802.1477,2801.2502,2770.039,2669.26,2926.6272,2874.0994,2870.307,2799.8877,2897.5679,2730.5662,2694.4941,2975.277,2836.0522,2710.1196,2710.349,2777.9077,2771.2212,2804.1309
2000-01-13,2794.2056,2880.6772,2724.004,2776.753,2852.284,2825.0132,2779.1765,2842.4216,2910.186,2906.1377,2744.292,2950.9363,2797.2512,2822.3257,2823.1045,2778.8494,2691.9175,2942.0652,2889.7476,2899.8552,2817.1572,2913.1858,2752.7507,2713.036,2985.29,2846.6868,2729.5425,2730.351,2802.0693,2792.5542,2823.794
2000-01-14,2790.7642,2889.3955,2720.7722,2771.7456,2849.1628,2823.9385,2775.8184,2838.0403,2906.2512,2902.0059,2740.2515,2945.459,2790.6025,2817.612,2820.8655,2769.056,2691.2043,2946.0896,2885.2292,2909.9087,2813.0837,2908.3613,2752.7405,2708.2524,2972.316,2838.8936,2726.1282,2726.69,2801.7922,2790.467,2820.7634
2000-01-15,2754.6775,2867.938,2676.1963,2734.626,2814.2402,2784.4116,2741.4766,2803.2434,2875.6597,2866.9263,2699.2107,2915.5442,2751.0693,2780.3416,2783.9402,2735.8623,2658.1404,2923.9758,2854.6729,2883.9062,2781.449,2877.3208,2720.4258,2672.6484,2941.3462,2807.4888,2692.6719,2691.151,2766.1826,2755.6233,2787.0789
2000-01-16,2687.3599,2780.862,2587.1877,2665.9272,2745.012,2700.1355,2675.9756,2737.7834,2818.7722,2799.1533,2620.3484,2862.4246,2679.3335,2710.2412,2707.3271,2683.9666,2589.0916,2853.9158,2798.9702,2800.268,2723.3137,2820.6553,2646.5984,2606.6594,2874.9321,2755.8965,2628.3623,2622.2747,2688.4585,2686.1833,2718.5796
2000-01-17,2671.8218,2753.3545,2565.7573,2650.0825,2728.2527,2678.9314,2660.7922,2722.6965,2805.427,2783.6604,2601.8792,2850.6907,2663.3916,2693.9917,2688.6794,2674.0906,2571.667,2830.0425,2786.2344,2777.8015,2709.9014,2807.745,2627.1255,2591.4717,2859.0474,2745.4827,2613.0857,2605.9717,2668.752,2669.5557,2701.9126
2000-01-18,2688.2817,2776.965,2589.7244,2669.2117,2747.185,2698.6968,2678.5952,2741.289,2821.5518,2802.5974,2623.4158,2866.1777,2684.5793,2713.4004,2709.8608,2691.407,2589.7874,2854.7524,2801.9565,2797.5774,2725.6982,2823.9163,2647.2266,2610.0034,2881.0764,2761.7932,2630.7112,2625.0337,2688.6548,2688.105,2720.9736
