,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,15294.987,15506.573,15360.943,15333.821,15563.224,15398.478,15293.519,15503.025,15229.401,15423.598,15274.107,15274.966,15294.742,15458.012,15461.482,15460.139,15380.232,15299.086,15520.844,15413.566,15306.297,15233.384,15247.164,15411.938,15210.984,15548.443,15307.006,15479.401,15507.858,15320.545,15377.257
2024-02-04,15302.618,15510.414,15360.788,15335.351,15570.285,15401.212,15293.213,15502.699,15234.848,15431.091,15277.908,15278.513,15292.3125,15454.554,15463.963,15466.25,15385.071,15299.019,15526.486,15426.328,15307.1,15233.873,15244.806,15412.259,15214.656,15546.459,15315.432,15478.048,15513.138,15327.771,15380.217
2024-02-05,15281.363,15484.219,15333.825,15306.458,15545.186,15375.575,15268.726,15477.594,15213.085,15407.32,15250.215,15255.631,15265.173,15420.765,15438.022,15441.888,15360.567,15273.0625,15498.242,15407.247,15278.465,15210.15,15217.905,15385.472,15192.758,15513.021,15295.1875,15448.725,15485.415,15304.372,15354.5205
2024-02-06,15241.693,15438.015,15288.257,15256.812,15499.29,15330.856,15227.417,15435.25,15173.6045,15363.456,15201.496,15215.18,15220.407,15365.249,15392.907,15397.6875,15316.747,15229.155,15447.709,15368.767,15229.596,15169.756,15173.514,15339.971,15153.903,15457.384,15256.846,15399.745,15435.9375,15261.261,15309.596
2024-02-07,15207.144,15405.378,15262.007,15225.656,15461.982,15300.747,15203.868,15411.127,15142.444,15326.673,15167.455,15186.329,15198.055,15338.201,15362.947,15362.794,15283.991,15203.737,15409.843,15327.174,15199.973,15145.537,15151.27,15313.041,15125.775,15428.044,15221.867,15373.317,15399.231,15225.316,15279.03
2024-02-08,15195.269,15390.765,15246.981,15209.555,15447.972,15286.45,15190.221,15397.136,15130.29,15313.395,15152.007,15173.56,15182.94,15319.392,15348.48,15349.188,15270.316,15189.271,15394.087,15316.484,15184.009,15132.315,15136.291,15298.11,15113.553,15409.427,15210.552,15356.984,15383.769,15212.245,15264.701
2024-02-09,15171.877,15363.101,15219.369,15179.622,15420.767,15259.594,15165.174,15371.458,15106.822,15287.451,15122.8125,15149.351,15155.629,15285.493,15321.359,15322.924,15244.179,15162.671,15363.956,15294.235,15154.475,15107.884,15109.21,15270.575,15090.314,15375.579,15188.027,15327.208,15354.248,15186.732,15237.736
2024-02-10,15142.158,15330.795,15189.31,15146.111,15387.2,15228.775,15137.996,15343.602,15078.213,15255.02,15088.858,15120.977,15127.145,15250.387,15290.393,15290.898,15212.993,15133.668,15327.974,15262.947,15121.783,15080.945,15080.938,15240.337,15062.926,15339.719,15158.819,15295.445,15319.134,15154.915,15206.679
2024-02-11,15129.673,15322.133,15185.3545,15139.823,15374.816,15221.534,15134.601,15340.134,15068.281,15242.311,15080.012,15113.177,15125.912,15249.379,15283.408,15279.77,15203.382,15129.76,15316.822,15244.592,15116.402,15076.703,15079.658,15235.834,15055.11,15336.981,15145.524,15292.574,15308.501,15142.587,15199.158
2024-02-12,15146.176,15342.134,15205.696,15161.71,15394.178,15241.046,15153.065,15359.067,15085.047,15260.705,15101.146,15130.666,15146.243,15274.653,15303.14,15298.53,15222.169,15149.349,15338.468,15259.775,15138.071,15094.642,15099.813,15256.073,15071.873,15362.08,15161.315,15314.617,15329.731,15160.691,15218.7295
