,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,15260.713,15250.485,15281.987,15231.636,15333.534,15255.942,15292.104,15171.17,15294.515,15319.622,15322.29,15435.197,15249.572,15194.185,15310.641,15345.444,15197.877,15325.607,15226.815,15470.207,15315.358,15365.004,15344.979,15501.896,15239.589,15286.107,15164.322,15194.946,15395.254,15284.622,15295.386
2024-02-04,15259.831,15237.541,15274.105,15230.151,15322.551,15252.664,15280.179,15172.092,15297.883,15314.488,15317.623,15437.306,15234.058,15197.382,15307.2295,15341.497,15194.835,15321.6455,15222.01,15469.072,15314.7295,15368.423,15337.171,15499.174,15232.378,15285.381,15161.123,15187.326,15376.937,15287.92,15291.156
2024-02-05,15233.627,15207.066,15247.016,15205.509,15289.1875,15226.338,15248.789,15152.514,15271.697,15290.907,15290.135,15408.705,15202.758,15173.863,15274.232,15312.407,15169.123,15295.522,15195.774,15441.195,15291.781,15344.39,15309.371,15472.266,15207.409,15266.328,15137.382,15157.214,15343.982,15262.767,15264.31
2024-02-06,15189.707,15161.755,15204.982,15164.522,15238.04,15183.371,15201.437,15118.938,15225.754,15253.485,15245.875,15359.284,15157.294,15132.519,15220.037,15265.09,15127.083,15253.229,15152.664,15394.571,15253.251,15302.062,15266.106,15428.045,15168.643,15234.4375,15098.753,15109.94,15297.074,15218.601,15220.886
2024-02-07,15165.517,15154.927,15192.435,15142.947,15224.866,15163.347,15191.885,15098.041,15193.99,15239.477,15227.19,15327.3955,15154.25,15103.683,15193.686,15243.545,15107.239,15234.622,15134.856,15369.192,15231.812,15272.315,15252.73,15406.453,15156.9795,15217.004,15081.127,15093.948,15297.409,15187.974,15202.027
2024-02-08,15150.929,15138.008,15177.38,15129.231,15206.331,15148.699,15174.454,15087.136,15179.395,15226.366,15211.903,15311.462,15136.881,15090.574,15175.324,15227.361,15092.935,15220.092,15119.926,15353.673,15219.036,15258.919,15237.282,15391.481,15143.105,15206.397,15067.919,15077.212,15279.134,15173.955,15187.083
2024-02-09,15124.272,15109.507,15151.285,15104.299,15174.459,15122.42,15144.803,15066.889,15151.866,15203.288,15184.725,15281.721,15108.074,15065.813,15142.235,15198.395,15067.236,15194.163,15093.432,15325.357,15195.664,15233.582,15210.446,15364.488,15119.042,15187.035,15044.273,15047.965,15249.218,15147.495,15160.449
2024-02-10,15095.66,15085.494,15127.122,15077.903,15145.693,15095.536,15118.974,15044.286,15119.975,15180.916,15157.621,15248.11,15085.135,15037.041,15107.995,15168.94,15040.855,15168.034,15067.152,15295.074,15170.497,15204.055,15185.435,15336.5205,15096.7295,15166.301,15020.218,15020.219,15226.607,15116.811,15133.696
2024-02-11,15092.706,15096.453,15132.487,15075.919,15153.84,15095.457,15128.561,15040.172,15111.893,15183.5,15159.042,15241.179,15099.072,15029.574,15107.052,15169.248,15040.586,15168.8125,15068.839,15292.172,15167.737,15196.238,15190.603,15335.682,15101.608,15164.257,15020.439,15024.804,15243.674,15108.971,15134.686
2024-02-12,15112.406,15118.64,15152.43,15094.403,15178.324,15115.103,15151.499,15054.983,15131.835,15200.965,15179.4795,15262.866,15121.726,15047.495,15131.72,15190.937,15059.783,15188.265,15088.787,15313.114,15184.997,15214.5625,15211.082,15355.8,15119.993,15178.573,15038.142,15047.042,15267.405,15128.134,15154.683
