,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,13793.529,13245.883,12853.752,13061.781,12922.246,13141.88,13197.272,13355.877,13405.436,13554.07,13990.372,13926.458,14343.132,14457.529,14813.761,14850.776,15203.884,14881.744,15321.654,15397.551,15501.739,15493.429,15667.92,15817.756,15661.027,15752.468,15768.442,15919.872,15972.444,15903.469,14572.572
1,13746.243,13208.671,12823.039,13029.763,12890.519,13109.249,13168.104,13326.406,13368.878,13515.189,13947.571,13882.833,14296.122,14408.85,14763.522,14798.215,15149.005,14829.305,15268.777,15386.977,15445.219,15489.177,15666.159,15821.396,15667.916,15761.46,15780.768,15937.89,15987.233,15922.336,14546.56
2,13657.515,13138.972,12765.16,12968.757,12829.964,13045.216,13106.641,13262.601,13296.5625,13437.157,13860.469,13793.359,14198.084,14306.353,14654.71,14683.024,15027.325,14703.569,15134.259,15281.431,15303.828,15364.566,15566.034,15724.14,15572.946,15666.6045,15686.37,15841.748,15891.339,15832.137,14453.359
3,13508.263,13020.661,12666.822,12865.531,12727.7295,12928.309,12975.931,13121.128,13164.924,13305.541,13710.631,13642.425,14032.531,14133.133,14463.933,14480.66,14809.932,14493.408,14834.137,14895.332,15006.839,14972.343,15130.191,15265.891,15105.633,15183.973,15193.433,15321.582,15375.444,15315.54,14188.393
4,13440.152,12966.694,12622.31,12819.543,12682.319,12878.5,12924.987,13066.756,13108.565,13250.597,13645.965,13581.061,13966.553,14064.827,14392.025,14405.506,14725.19,14416.522,14750.542,14811.687,14920.95,14889.189,15044.568,15179.983,15021.525,15094.328,15104.011,15227.24,15283.229,15224.193,14116.982
5,13353.371,12898.403,12565.661,12760.191,12623.5205,12828.051,12884.055,13030.49,13054.016,13176.789,13571.618,13497.395,13875.612,13970.23,14291.744,14299.907,14622.989,14308.421,14714.374,14847.618,14864.423,14919.706,15158.82,15310.665,15162.606,15251.975,15270.254,15415.487,15462.819,15416.852,14113.603
6,13243.862,12811.946,12493.824,12684.659,12548.655,12748.946,12799.482,12941.256,12964.826,13080.609,13464.404,13387.319,13755.066,13844.285,14157.319,14157.742,14472.785,14155.127,14550.429,14678.088,14692.249,14744.7705,14940.343,15086.669,14937.287,15022.276,15037.023,15175.824,15221.187,15179.002,13965.907
7,13123.162,12716.528,12414.156,12600.611,12465.388,12660.641,12714.13,12850.969,12864.334,12971.596,13342.315,13261.588,13616.509,13699.03,14000.971,13990.491,14290.527,13974.499,14358.053,14478.81,14486.725,14534.597,14769.16,14921.945,14799.519,14882.124,14895.218,15032.405,15075.804,15040.268,13827.736
8,13131.205,12722.786,12419.204,12605.7,12470.411,12665.769,12719.268,12856.2,12869.653,12977.034,13348.071,13267.333,13622.4,13704.974,14006.959,13996.555,14293.951,13981.578,14362.961,14483.252,14494.221,14541.844,14776.509,14929.37,14820.773,14915.617,14927.8125,15067.522,15110.797,15076.171,13838.863
9,13203.144,12779.893,12466.741,12655.517,12519.6875,12717.764,12772.911,12912.398,12928.156,13040.122,13418.31,13339.456,13701.382,13787.5,14095.195,14089.778,14396.527,14080.215,14468.416,14592.614,14604.941,14654.538,14893.573,15049.744,14941.976,15037.013,15052.334,15192.744,15238.707,15200.628,13927.73
10,13229.613,12801.05,12484.026,12673.078,12536.984,12735.577,12790.906,12930.897,12947.123,13059.913,13439.631,13360.986,13724.061,13810.733,14119.279,14114.591,14420.294,14104.614,14493.165,14617.568,14630.213,14679.34,14918.879,15075.519,14967.572,15094.413,15158.102,15352.219,15365.994,15374.205,13967.019
11,13309.181,12863.871,12536.158,12727.566,12590.906,12792.28,12849.23,12991.803,13010.344,13127.703,13514.747,13437.892,13807.743,13897.865,14211.9,14212.124,14524.0205,14206.972,14601.865,14729.791,14743.856,14794.34,15038.063,15197.864,15090.535,15180.019,15195.115,15339.275,15385.651,15343.449,14041.737
12,13376.562,12916.971,12580.347,12774.127,12637.068,12841.09,12895.38,13040.593,13065.384,13187.076,13580.961,13505.862,13882.19,13975.621,14294.911,14299.923,14617.869,14299.429,14700.721,14832.045,14847.47,14899.498,15088.026,15235.649,15081.771,15165.702,15177.563,15319.305,15364.661,15316.349,14093.338
13,13424.991,12955.063,12612.155,12807.895,12670.597,12876.775,12930.232,13077.168,13106.289,13231.59,13631.019,13557.485,13939.271,14035.562,14359.397,14368.52,14691.796,14375.756,14783.185,14910.158,14934.621,14988.666,15166.974,15314.791,15160.511,15246.09,15259.317,15402.59,15448.861,15397.999,14155.51
14,13447.101,12972.564,12626.971,12823.853,12686.443,12893.87,12946.621,13094.553,13126.5205,13254.023,13656.649,13584.162,13969.33,14067.444,14394.732,14407.9,14736.223,14418.128,14829.733,14949.864,14984.318,15040.189,15210.215,15358.207,15205.712,15293.223,15308.2705,15453.279,15499.848,15448.203,14189.606
15,13378.0,12917.993,12581.634,12776.27,12639.306,12844.128,12896.461,13042.183,13070.58,13193.758,13589.552,13515.298,13894.0,13988.7705,14310.258,14318.101,14641.277,14323.232,14728.389,14856.316,14877.941,14932.14,15113.548,15261.017,15108.74,15195.226,15209.58,15352.162,15398.286,15349.86,14110.135
16,13315.958,12868.908,12540.817,12733.435,12596.89,12799.355,12850.916,12994.551,13020.176,13139.411,13529.015,13453.139,13825.942,13917.658,14234.27,14236.864,14554.271,14237.681,14636.942,14766.82,14781.913,14834.5,15022.388,15168.937,15016.4795,15101.31,15114.682,15254.769,15300.349,15254.521,14036.762
17,13276.764,12837.848,12515.076,12706.586,12570.334,12771.455,12819.55,12961.433,12989.091,13106.092,13492.115,13415.359,13784.845,13874.861,14188.762,14188.952,14503.359,14187.228,14583.402,14693.966,14725.911,14777.826,14941.732,15085.19,14932.253,15014.995,15027.063,15164.683,15209.319,15164.327,13983.678
18,13242.228,12810.661,12492.454,12682.804,12546.771,12746.576,12802.403,12943.935,12961.125,13075.968,13458.578,13380.954,13747.219,13835.59,14146.875,14144.7,14455.965,14140.357,14533.333,14659.754,14673.424,14724.537,14966.478,15122.363,14975.235,15060.628,15075.596,15215.429,15261.696,15220.627,13970.144
19,13216.035,12789.931,12475.194,12664.616,12528.746,12727.495,12781.699,12922.8,12939.514,13052.599,13432.467,13354.111,13717.738,13804.748,14113.858,14109.736,14418.307,14102.974,14493.245,14618.238,14631.292,14681.65,14916.135,15062.768,14914.974,14998.622,15012.411,15150.893,15196.057,15155.702,13932.818
20,13200.211,12777.453,12464.77,12653.6,12517.827,12715.895,12769.994,12910.495,12926.255,13038.185,13416.291,13337.436,13699.317,13785.405,14093.045,14087.626,14394.183,14077.995,14466.267,14590.211,14602.743,14652.384,14888.872,15034.925,14887.416,14970.258,14983.43,15121.614,15166.096,15126.373,13911.887
21,13192.341,12771.09,12459.467,12648.08,12512.386,12710.164,12760.919,12900.525,12919.809,13031.22,13408.54,13329.46,13690.563,13776.243,14083.201,14077.226,14381.804,14067.44,14454.985,14578.528,14590.887,14640.272,14846.09,14990.437,14840.389,14920.751,14932.395,15069.869,15112.427,15072.401,13892.33
22,13202.923,12779.4375,12466.542,12655.737,12520.002,12718.3955,12766.65,12906.339,12929.556,13042.0205,13420.881,13342.293,13705.009,13791.542,14099.887,14095.136,14402.679,14087.417,14476.915,14601.234,14614.235,14664.424,14846.936,14990.3545,14838.724,14919.641,14931.248,15067.376,15110.861,15069.302,13902.125
23,13171.664,12754.642,12446.008,12634.378,12498.891,12696.259,12742.781,12881.329,12905.014,13015.784,13391.905,13312.668,13672.877,13758.136,14064.445,14057.901,14363.151,14048.748,14436.023,14552.832,14571.564,14621.336,14796.053,14938.011,14786.5205,14866.3125,14877.472,15012.505,15055.187,15014.569,13864.833
24,13161.992,12747.371,12439.815,12627.531,12492.03,12688.81,12743.25,12881.54,12896.2295,13006.09,13380.825,13301.198,13660.03,13744.603,14049.838,14042.223,14346.337,14031.728,14417.341,14539.814,14551.838,14601.106,14838.356,14993.145,14885.221,15008.565,15071.469,15241.951,15279.408,15255.096,13897.491
25,13176.033,12758.631,12448.902,12636.443,12500.735,12697.518,12751.806,12890.125,12904.844,13014.686,13389.624,13309.862,13668.575,13753.046,14058.1045,14050.277,14353.251,14037.8125,14422.689,14545.324,14556.513,14605.011,14841.963,14996.635,14888.382,15013.269,15075.567,15264.082,15280.227,15277.487,13905.58
26,13239.231,12808.791,12490.276,12679.224,12542.996,12741.587,12796.804,12936.803,12953.026,13065.7705,13445.598,13366.832,13729.763,13816.314,14124.66,14119.773,14424.893,14106.861,14495.711,14620.286,14630.94,14679.333,14918.498,15074.944,14966.68,15093.722,15156.45,15344.551,15363.241,15356.526,13969.67
27,13350.396,12896.505,12563.002,12755.29,12618.317,12820.823,12878.339,13021.953,13041.4375,13160.572,13550.675,13474.405,13846.813,13938.192,14254.17,14256.182,14567.518,14251.326,14647.918,14776.977,14791.364,14841.587,15086.638,15247.5,15140.107,15263.679,15278.12,15426.154,15472.283,15430.149,14088.28
