,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.82762,0.79476094,0.77123284,0.7837147,0.7753425,0.7885207,0.79184425,0.8013606,0.80433416,0.81325233,0.8394307,0.83559585,0.86059654,0.8674604,0.88883454,0.89105546,0.9122422,0.8929136,0.9193084,0.9238623,0.9301137,0.929615,0.9400846,0.94907486,0.93967104,0.9451575,0.94611603,0.95520186,0.95835626,0.9542177,0.87436306
1,0.82478285,0.79252815,0.76939005,0.7817936,0.7734389,0.7865628,0.79009414,0.7995924,0.8021407,0.81091946,0.8368626,0.8329783,0.8577759,0.8645396,0.8858202,0.8879018,0.9089494,0.88976717,0.9161358,0.92322785,0.9267224,0.9293599,0.93997896,0.94929326,0.94008434,0.94569707,0.94685555,0.9562829,0.9592436,0.9553497,0.8728024
2,0.8194591,0.7883462,0.76591724,0.7781332,0.76980555,0.7827208,0.7864063,0.79576397,0.79780173,0.8062375,0.8316364,0.82760984,0.85189354,0.85838974,0.8792914,0.88099027,0.9016485,0.882223,0.9080646,0.91689503,0.9182389,0.9218832,0.9339714,0.94345784,0.93438613,0.94000566,0.9411916,0.9505144,0.95348984,0.9499377,0.8672103
3,0.81050384,0.7812475,0.7600169,0.7719396,0.7636714,0.7757063,0.7785636,0.78727555,0.78990334,0.79834044,0.8226461,0.8185537,0.8419603,0.8479965,0.86784464,0.8688483,0.88860476,0.8696132,0.8900571,0.89372885,0.90041935,0.8983495,0.9078206,0.9159626,0.90634704,0.91104746,0.9116151,0.91930413,0.9225359,0.9189416,0.8513121
4,0.8064172,0.7780094,0.75734615,0.7691803,0.76094675,0.7727177,0.775507,0.7840132,0.7865218,0.79504377,0.81876606,0.8148718,0.83800155,0.84389806,0.86353016,0.864339,0.88352025,0.865,0.88504136,0.8887101,0.89526594,0.8933603,0.90268314,0.9108081,0.90130055,0.90566874,0.9062497,0.91364354,0.91700286,0.91346073,0.8470275
5,0.8012103,0.77391195,0.7539472,0.76561916,0.7574188,0.76969075,0.773051,0.7818372,0.7832488,0.79061526,0.81430525,0.80985177,0.83254504,0.8382222,0.85751325,0.858003,0.8773881,0.85851383,0.88287127,0.890866,0.8918743,0.8951913,0.9095383,0.9186491,0.9097655,0.91512764,0.9162244,0.9249385,0.9277784,0.92502034,0.8468245
6,0.7946397,0.76872444,0.74963695,0.7610872,0.7529268,0.76494443,0.76797664,0.7764831,0.77789736,0.7848444,0.80787235,0.8032472,0.82531226,0.8306654,0.84944767,0.849473,0.8683758,0.8493161,0.8730345,0.8806941,0.88154376,0.88469505,0.89642954,0.9052092,0.8962462,0.9013456,0.90223044,0.9105586,0.9132803,0.9107492,0.837963
7,0.7873976,0.76299936,0.74485683,0.75604427,0.74793077,0.75964606,0.7628554,0.77106583,0.77186775,0.7783035,0.80054694,0.79570323,0.8169987,0.82195,0.8400667,0.83943784,0.85744023,0.8384783,0.8614918,0.8687373,0.86921215,0.8720845,0.88615847,0.89532566,0.88798,0.89293635,0.893722,0.90195334,0.9045573,0.90242505,0.8296725
8,0.7878802,0.7633748,0.7451597,0.75634956,0.7482321,0.75995374,0.7631637,0.7713797,0.77218693,0.77862984,0.8008923,0.7960479,0.8173522,0.82230663,0.84042597,0.83980167,0.85764563,0.83890307,0.86178625,0.86900383,0.8696619,0.8725194,0.8865994,0.89577115,0.8892553,0.894946,0.8956777,0.90406036,0.90665686,0.9045793,0.8303401
9,0.7921965,0.76680124,0.74801195,0.7593386,0.75118876,0.76307344,0.76638234,0.77475166,0.7756971,0.78241515,0.80510664,0.80037534,0.8220911,0.8272583,0.8457202,0.84539515,0.8638003,0.84482133,0.86811364,0.8755656,0.8763052,0.8792811,0.89362335,0.9029937,0.8965275,0.9022298,0.90314907,0.91157377,0.91433156,0.9120468,0.8356722
10,0.79378474,0.7680707,0.74904907,0.7603923,0.7522266,0.7641423,0.7674621,0.7758616,0.77683514,0.7836026,0.80638593,0.8016672,0.8234519,0.82865226,0.8471652,0.8468839,0.86522627,0.84628534,0.8695986,0.87706286,0.87782156,0.8807692,0.89514166,0.9045402,0.8980633,0.90567386,0.9094952,0.92114234,0.9219689,0.9224615,0.8380295
11,0.79855883,0.77184,0.752177,0.7636616,0.75546193,0.7675445,0.7709615,0.779516,0.78062844,0.7876701,0.81089294,0.80628157,0.82847285,0.83388025,0.8527225,0.852736,0.87144995,0.8524268,0.8761207,0.8837963,0.8846402,0.88766927,0.90229285,0.91188097,0.90544116,0.91081023,0.91171604,0.92036575,0.92314833,0.92061615,0.8425128
12,0.8026017,0.77502596,0.75482833,0.7664553,0.7582317,0.7704731,0.7737305,0.7824434,0.78393084,0.79123247,0.8148658,0.81035984,0.83293974,0.8385457,0.85770327,0.858004,0.8770809,0.8579743,0.88205206,0.8899316,0.8908571,0.89397883,0.90529066,0.9141481,0.90491533,0.9099512,0.9106629,0.91916746,0.9218889,0.91899014,0.84560865
13,0.80550754,0.77731156,0.7567369,0.7684814,0.7602434,0.77261424,0.7758217,0.7846379,0.7863852,0.79390335,0.8178693,0.81345725,0.8363646,0.8421421,0.86157244,0.8621198,0.8815166,0.86255395,0.88699996,0.89461845,0.8960862,0.89932895,0.9100275,0.9188967,0.9096397,0.91477454,0.9155682,0.92416465,0.926941,0.92388916,0.84933907
14,0.8068341,0.7783617,0.7576258,0.76943886,0.7611942,0.7736399,0.77680504,0.785681,0.7875991,0.79524934,0.81940717,0.8150579,0.8381682,0.8440551,0.8636926,0.86448264,0.8841822,0.86509633,0.8897929,0.89700085,0.8990681,0.9024204,0.91262203,0.92150164,0.91235185,0.91760254,0.91850543,0.92720604,0.9300002,0.92690146,0.8513848
