,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,15519.903,15441.224,15448.593,15447.181,15464.147,15416.43,15541.99,15510.368,15516.287,15473.321,15607.27,15491.245,15486.789,15471.765,15409.323,15436.923,15500.91,15433.378,15437.483,15564.678,15506.1875,15507.118,15560.537,15477.907,15573.648,15442.595,15516.922,15546.504,15563.581,15403.561,15490.593
2024-02-04,15535.005,15457.618,15462.673,15460.28,15483.751,15433.144,15544.111,15521.213,15528.65,15487.513,15610.528,15505.806,15517.923,15478.144,15416.33,15447.882,15520.385,15458.395,15454.928,15591.878,15527.6,15521.021,15569.239,15494.112,15593.956,15458.758,15538.941,15561.01,15571.053,15419.53,15505.713
2024-02-05,15508.776,15435.525,15437.676,15436.822,15463.074,15411.339,15512.507,15495.179,15503.617,15462.729,15576.896,15481.955,15504.421,15447.272,15389.37,15421.197,15499.784,15440.5205,15433.122,15574.472,15505.91,15495.488,15541.855,15472.39,15573.482,15436.066,15520.333,15538.011,15540.936,15397.056,15481.926
2024-02-06,15457.055,15390.188,15388.542,15390.752,15418.586,15366.317,15457.9795,15445.843,15455.254,15413.907,15518.377,15434.515,15466.494,15391.915,15340.325,15370.717,15455.466,15398.149,15387.758,15531.817,15458.81,15445.527,15491.275,15427.771,15528.991,15389.814,15478.173,15492.042,15486.33,15351.261,15434.332
2024-02-07,15404.211,15339.115,15338.752,15344.192,15363.172,15314.934,15423.084,15400.798,15408.503,15364.144,15479.444,15384.983,15397.516,15350.107,15301.2295,15324.856,15400.316,15335.808,15335.081,15466.012,15399.147,15395.519,15448.739,15377.414,15472.513,15338.547,15420.479,15443.433,15443.323,15300.536,15383.862
2024-02-08,15389.517,15326.73,15324.755,15331.041,15351.563,15302.692,15405.46,15386.23,15394.498,15350.273,15460.678,15371.616,15389.856,15332.866,15286.158,15309.935,15388.735,15325.734,15322.845,15456.179,15386.952,15381.222,15433.432,15365.239,15461.014,15325.819,15410.015,15430.54,15426.505,15287.923,15370.532
2024-02-09,15359.413,15300.62,15296.1455,15304.183,15326.228,15276.777,15372.602,15357.224,15366.226,15321.878,15425.486,15344.07,15369.452,15299.846,15257.005,15280.258,15363.47,15302.132,15296.789,15432.57,15360.167,15352.095,15403.496,15339.552,15435.737,15299.117,15386.298,15403.878,15394.045,15261.473,15342.941
2024-02-10,15318.248,15263.109,15257.179,15267.642,15287.803,15239.29,15335.557,15319.587,15328.572,15283.096,15385.269,15305.998,15330.088,15260.286,15221.31,15241.841,15325.174,15262.627,15258.76,15391.8545,15319.164,15312.653,15366.021,15302.62,15396.992,15261.082,15348.321,15366.788,15354.504,15223.803,15304.509
2024-02-11,15295.927,15239.859,15236.293,15248.131,15260.892,15215.687,15328.115,15302.434,15309.759,15262.124,15376.136,15284.701,15290.334,15247.806,15208.649,15224.477,15298.397,15229.599,15234.281,15356.258,15289.91,15291.884,15351.253,15279.681,15369.263,15238.013,15318.819,15345.668,15340.825,15200.977,15282.536
2024-02-12,15316.677,15257.545,15256.036,15266.689,15277.706,15233.209,15352.104,15322.776,15329.414,15281.697,15401.741,15303.62,15302.437,15271.5205,15229.465,15245.298,15315.184,15244.632,15251.833,15371.099,15307.629,15312.025,15372.482,15297.07,15385.968,15256.159,15334.216,15363.945,15364.0205,15218.963,15301.438
2024-02-13,15344.252,15283.705,15282.053,15291.057,15305.603,15259.4795,15372.434,15346.833,15354.066,15307.654,15424.184,15329.354,15335.34,15294.836,15250.998,15269.801,15342.97,15275.216,15278.677,15403.167,15337.586,15338.228,15395.614,15322.843,15414.308,15282.506,15362.815,15389.146,15387.753,15245.05,15327.584
2024-02-14,15356.981,15294.94,15294.133,15302.396,15316.721,15270.659,15385.481,15358.882,15365.914,15319.655,15438.217,15341.045,15345.197,15308.198,15262.879,15282.117,15354.055,15285.969,15289.951,15414.053,15349.38,15350.502,15407.901,15333.896,15425.443,15293.959,15373.4375,15400.489,15400.959,15256.396,15339.328
2024-02-15,15345.898,15290.91,15283.134,15291.904,15319.055,15267.405,15349.094,15341.945,15352.424,15309.095,15400.912,15332.154,15373.028,15278.8125,15239.277,15264.536,15356.281,15299.564,15287.758,15431.325,15352.997,15338.585,15386.209,15330.041,15429.039,15288.819,15381.817,15392.603,15374.102,15251.252,15331.331
2024-02-16,15300.31,15241.114,15240.672,15252.317,15259.265,15216.601,15343.954,15309.506,15315.28,15266.312,15392.348,15288.144,15277.207,15260.462,15218.757,15231.829,15296.83,15222.886,15234.703,15347.877,15287.674,15296.664,15360.472,15280.872,15367.067,15239.765,15314.482,15348.677,15352.34,15202.735,15285.571
2024-02-17,15348.299,15287.39,15285.885,15294.652,15309.371,15263.161,15376.099,15350.539,15357.771,15311.468,15428.157,15333.096,15339.181,15298.741,15254.52,15273.584,15346.725,15279.081,15282.409,15407.146,15341.6045,15342.108,15399.308,15326.471,15418.107,15286.241,15366.535,15392.792,15391.653,15248.748,15331.36
2024-02-18,15349.513,15290.673,15286.849,15295.494,15315.054,15266.719,15367.712,15349.207,15357.679,15312.567,15419.843,15334.705,15354.132,15293.182,15250.549,15272.119,15352.351,15288.939,15286.417,15418.479,15348.072,15342.805,15396.248,15329.741,15424.281,15289.192,15374.329,15394.637,15387.001,15251.651,15333.338
