,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2561.384,2514.5212,2544.2498,2525.5603,2544.8335,2538.1086,2543.9922,2543.1516,2558.2761,2553.6245,2517.818,2545.5513,2551.514,2545.6035,2544.927,2538.0754,2556.8862,2537.5957,2527.477,2511.5935,2543.3606,2555.0962,2537.9333,2524.8232,2524.5007,2529.0945,2542.559,2533.5786,2543.2224,2555.1392,2539.8015
2021-11-25,2577.8557,2530.4124,2557.9824,2540.612,2560.6755,2551.0417,2561.2039,2556.1562,2572.9775,2567.048,2533.9814,2561.4126,2565.7627,2558.3801,2558.4966,2554.1443,2571.2646,2552.3682,2542.869,2525.503,2556.5703,2572.0479,2553.7886,2539.0725,2539.4055,2544.145,2557.0386,2547.8396,2557.1897,2571.9543,2554.64
2021-11-26,2584.7979,2536.5027,2567.6338,2548.3335,2568.299,2561.2764,2567.326,2567.123,2581.4585,2576.6174,2540.9731,2569.1304,2575.0046,2569.537,2568.3516,2561.6372,2580.1912,2560.0718,2549.6582,2534.641,2566.822,2578.265,2560.5107,2547.8442,2547.8594,2552.3972,2565.7844,2555.5813,2567.4067,2578.6343,2562.9885
2021-11-27,2590.0557,2541.3877,2573.2075,2553.5623,2573.6472,2566.879,2572.4705,2572.964,2586.855,2582.1077,2546.1873,2574.511,2580.5505,2575.394,2573.9575,2566.9883,2585.6638,2565.2422,2554.664,2540.0903,2572.482,2583.3892,2565.5837,2553.245,2553.2866,2557.7893,2571.2205,2560.667,2573.1995,2583.8757,2568.3708
2021-11-28,2592.0386,2543.107,2576.093,2555.8135,2575.8562,2569.961,2574.181,2576.2788,2589.3533,2584.971,2548.19,2576.7498,2583.2979,2578.773,2576.91,2569.1526,2588.3088,2567.4915,2556.6135,2542.809,2575.566,2585.134,2567.5051,2555.8428,2555.7734,2560.2097,2573.8066,2562.9358,2576.2617,2585.7703,2570.8252
2021-11-29,2590.511,2541.5134,2575.5815,2554.6897,2574.5737,2569.7058,2572.3616,2576.155,2588.441,2584.4978,2546.7266,2575.4827,2582.615,2578.7266,2576.4673,2567.8047,2587.5405,2566.413,2555.2458,2542.1658,2575.265,2583.3792,2566.0425,2555.067,2554.8196,2559.1907,2572.985,2561.9546,2575.8203,2584.1309,2569.8625
2021-11-30,2585.4502,2536.5933,2571.6025,2550.151,2569.7651,2566.03,2567.0027,2572.5015,2584.0664,2580.6177,2541.7717,2570.6736,2578.4387,2575.161,2572.5554,2562.912,2583.3013,2561.9666,2550.5352,2538.096,2571.4983,2578.113,2561.1733,2550.8613,2550.3755,2554.6855,2568.701,2557.6812,2571.7986,2578.9392,2565.4338
2021-12-01,2577.8547,2529.3323,2564.8435,2543.0583,2562.3555,2559.5383,2559.1912,2565.8992,2577.0347,2573.996,2534.2988,2563.2458,2571.511,2568.6323,2565.8418,2555.4233,2576.355,2554.9915,2543.4043,2531.3206,2564.8896,2570.3987,2553.858,2543.9854,2543.2632,2547.5347,2561.7324,2550.914,2564.8801,2571.2302,2558.3604
2021-12-02,2571.6626,2523.5706,2558.3323,2536.9187,2556.0696,2553.006,2553.1165,2559.095,2570.7104,2567.5837,2528.1597,2556.9224,2565.0242,2561.8135,2559.2964,2549.1306,2569.9487,2548.9224,2537.5127,2524.9478,2558.288,2564.35,2547.8835,2537.6626,2536.9014,2541.2102,2555.3662,2544.9482,2558.1172,2565.0513,2552.0508
2021-12-03,2572.2556,2524.4358,2556.9626,2536.796,2556.1833,2551.1636,2554.2822,2556.9165,2570.1372,2566.1797,2528.6553,2556.9954,2563.9756,2559.4885,2557.7896,2549.3616,2569.0835,2548.7412,2537.921,2523.8682,2556.504,2565.408,2548.4353,2536.8408,2536.39,2540.831,2554.6123,2544.6265,2556.531,2565.853,2551.574
2021-12-04,2573.8384,2525.9622,2558.2874,2538.2441,2557.707,2552.4124,2555.935,2558.1733,2571.553,2567.4746,2530.209,2558.521,2565.349,2560.7236,2559.099,2550.907,2570.469,2550.1626,2539.4006,2525.209,2557.779,2567.0361,2549.9592,2538.2139,2537.825,2542.2798,2556.007,2545.999,2557.8787,2567.4685,2553.0027
2021-12-05,2578.5613,2530.5498,2562.0261,2542.489,2562.2004,2555.8748,2560.9285,2561.6196,2575.651,2571.122,2534.8342,2563.0159,2569.2678,2564.09,2562.777,2555.4773,2574.4443,2554.3223,2543.7986,2529.0286,2561.3257,2571.9443,2554.5034,2542.1572,2541.987,2546.497,2560.023,2549.999,2561.661,2572.3105,2557.1497
2021-12-06,2585.766,2537.441,2568.4136,2549.2083,2569.2234,2562.0032,2568.3452,2567.8486,2582.3064,2577.3787,2541.9216,2570.0552,2575.819,2570.2476,2569.12,2562.5767,2581.0159,2560.9292,2550.5605,2535.4353,2567.5654,2579.267,2561.4424,2548.6624,2548.72,2553.268,2566.617,2556.4075,2568.197,2579.625,2563.8462
2021-12-07,2594.229,2545.4617,2576.386,2557.2688,2577.5876,2569.783,2576.9197,2575.8315,2590.402,2585.2036,2550.269,2578.4495,2583.9084,2578.1812,2577.0735,2571.0037,2589.0835,2568.8699,2558.541,2543.3594,2575.4644,2587.7568,2569.598,2556.6401,2556.8936,2561.454,2574.6836,2564.1453,2576.401,2588.1685,2571.9678
2021-12-08,2599.2053,2549.9858,2582.2957,2562.444,2582.8054,2575.8704,2581.603,2582.2605,2595.8848,2591.042,2555.2334,2583.712,2589.6885,2584.6724,2583.0579,2576.1865,2594.734,2574.0066,2563.3289,2549.0547,2581.5898,2592.455,2574.4062,2562.206,2562.3865,2566.871,2580.2625,2569.2427,2582.5942,2593.0627,2577.405
2021-12-09,2605.9863,2556.4553,2588.4082,2568.8037,2589.4397,2581.763,2588.5542,2588.2656,2602.2083,2597.032,2561.9087,2590.3645,2595.939,2590.6177,2589.1355,2582.8872,2600.9937,2580.2632,2569.701,2555.17,2587.5845,2599.323,2580.9377,2568.4006,2568.7803,2573.2937,2586.5374,2575.3188,2588.8584,2599.9365,2583.7625
