,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,443.4789,673.5615,489.13596,396.4574,463.75766,487.61072,412.07755,437.7893,460.01505,482.52795,350.36005,340.95453,444.30615,503.63977,516.17883,242.1527,312.29678,518.617,572.70215,274.74088,525.8118,443.36377,416.1039,464.1602,270.12128,345.09232,558.71094,453.60062,320.28824,577.58044,439.90646
2000-01-10,462.68747,444.08963,378.58325,404.55646,277.2737,524.7239,284.51303,316.2502,496.5691,602.55835,520.3759,242.36815,513.61127,64.46271,386.35577,286.57483,476.80206,533.76337,379.31372,416.39252,447.1045,340.89508,536.7736,510.45038,232.18498,304.2262,628.03296,563.4941,536.0181,460.31036,419.04388
2000-01-11,432.3134,510.962,445.8483,465.0452,418.79514,466.1476,413.34647,399.14847,467.62094,490.25497,413.37167,409.53384,440.1352,411.27,446.0751,400.63138,459.4966,504.03473,513.0504,440.61942,445.40063,440.36465,484.6954,452.84915,416.36404,424.0116,450.2562,544.91394,375.54684,415.06946,446.57242
2000-01-12,467.28406,544.32574,477.44376,497.8533,452.99692,496.61398,449.18896,430.33606,500.25,521.221,447.80447,443.83676,472.3946,442.0431,477.45926,435.20142,491.79605,536.3398,545.91815,472.18512,476.3569,475.7897,518.3896,484.80124,449.3344,457.15366,482.64886,576.2728,407.9457,450.5239,479.39023
2000-01-13,487.98517,563.1499,502.04395,519.3703,474.6831,521.95074,468.67877,457.2094,523.0469,545.52216,468.46075,465.71063,496.4245,469.07886,502.3395,456.7627,515.27985,557.7127,565.83575,495.85974,501.82138,495.34045,538.3917,507.92725,472.1658,479.67783,505.85358,597.4698,433.73825,470.88782,502.01263
2000-01-14,487.02777,561.2818,507.2626,520.6339,475.2322,528.6492,465.9156,465.0336,525.74536,550.8331,467.80035,466.38867,500.6309,477.33456,507.98135,456.94833,518.89716,559.14905,565.4122,500.14206,508.33893,492.90622,537.5276,511.39685,474.68085,481.7674,509.12354,599.3276,439.67453,469.27405,504.41058
2000-01-15,476.13727,550.6057,499.24564,511.06406,465.02597,521.4177,454.21988,457.9217,516.6597,543.034,457.1619,456.19022,492.109,470.47714,500.1551,446.52145,510.1866,549.78375,555.31934,491.85342,500.90442,481.43527,527.0518,502.74734,465.43622,472.34372,500.28082,590.3749,431.6292,458.0401,495.1778
2000-01-16,453.33517,528.61145,480.17462,490.21545,443.09872,503.44733,430.40143,439.77097,496.28763,524.39154,434.78156,434.2298,472.35492,452.70175,481.32678,424.2653,490.25815,529.3034,534.0084,472.56577,482.57245,457.96838,505.0966,483.0058,444.79703,451.48743,480.20514,570.61017,412.22113,434.7609,474.6085
2000-01-17,418.10907,494.90204,449.0003,457.39917,408.8066,473.56622,394.10687,409.28668,463.8049,493.85898,400.12747,399.8495,440.4051,422.68005,450.4102,389.5639,458.20505,497.01086,500.95135,441.32114,452.17975,422.12833,471.1627,451.2858,411.95264,418.42447,448.02106,539.3131,380.31696,398.97903,441.90436
2000-01-18,399.36337,478.02222,425.66312,437.53876,388.9104,449.30997,376.76865,383.4366,442.53568,470.78122,381.37338,379.76083,417.7581,396.611,426.74722,369.8423,436.1557,477.2526,482.8316,418.9863,427.8373,404.6803,453.04022,429.5881,390.68503,397.50668,426.28415,519.64685,355.77008,380.65115,420.84464
2000-01-19,393.2756,472.8459,416.13754,430.39755,381.97382,439.0223,371.70798,372.26382,434.47934,461.31644,375.1926,372.7198,408.77512,385.23303,416.98242,363.07544,427.55493,470.0935,476.7947,410.08633,417.5755,399.48254,447.13626,421.1517,382.685,389.75482,417.895,512.3913,345.61475,374.90482,412.95068
2000-01-20,391.92743,471.7766,413.53665,428.6414,380.31775,436.13562,370.73123,369.08832,432.40512,458.72287,373.80103,371.02988,406.3746,381.97824,414.29483,361.4855,425.28677,468.32062,475.41943,407.69962,414.70804,398.44983,445.82413,418.93268,380.63736,387.79608,415.70132,510.56528,342.81454,373.6842,410.93625
2000-01-21,397.5562,477.3869,417.09137,433.37802,385.44873,439.14383,376.94843,371.92435,436.75317,462.15723,379.2721,376.14407,410.2863,384.6417,417.71042,366.76483,429.35266,472.93634,480.58987,411.48523,417.83713,404.5199,451.23257,422.98227,385.0836,392.37622,419.86917,514.929,346.31253,379.5525,415.3889
2000-01-22,403.47015,482.95773,422.8884,439.08743,391.34338,444.85797,382.87677,377.84668,442.5391,467.8532,385.11615,382.06564,416.1214,390.5249,423.5027,372.69534,435.15054,478.5726,486.18387,417.20718,423.62155,410.40118,456.93484,428.70963,390.91367,398.20425,425.6572,520.43445,352.3009,385.50006,421.18463
2000-01-23,409.19617,488.33914,428.58145,444.64374,397.07025,450.48975,388.59326,383.69495,448.1883,473.44925,390.77808,387.82022,421.83823,396.34088,429.19672,378.45248,440.82352,484.0604,491.60632,422.81512,429.31918,416.0763,462.4568,434.31226,396.60358,403.8866,431.316,525.8007,358.1889,391.25034,426.83963
2000-01-24,414.86475,493.67273,434.1778,450.13052,402.72995,456.01587,394.2642,389.42798,453.7577,478.94916,396.38153,393.50674,427.4644,402.0392,434.79108,384.14447,446.4102,489.47794,496.9714,428.33334,434.91162,421.70422,467.923,439.8304,402.21426,409.4925,436.89117,531.0956,363.97327,396.94708,432.41647
2000-01-25,426.19376,504.59473,443.68945,460.50146,413.63293,464.98917,406.08737,398.4989,463.90057,488.2477,407.50256,404.42676,437.3093,410.92563,444.18448,395.20886,456.33798,499.66708,507.56247,437.9466,444.0636,433.35434,478.83136,449.66434,412.48782,419.87213,446.89032,540.931,373.65735,408.509,442.65564
2000-01-26,435.77783,513.52954,453.67865,469.96548,423.331,474.98572,415.5207,408.94412,473.62823,498.08057,417.00104,414.18137,447.2631,421.34882,454.207,404.9306,466.1741,509.02808,516.6745,447.72278,454.15765,442.74268,488.07828,459.37085,422.27063,429.6102,456.6767,550.1189,384.02863,418.08493,452.37042
2000-01-27,437.5366,514.8315,457.66428,472.46704,425.63623,479.48538,416.62146,413.93176,476.68402,502.06403,418.84387,416.5436,450.89047,426.48102,458.34647,407.11517,469.5718,511.56696,518.51514,451.33768,458.616,443.9474,489.7959,462.68915,425.27505,432.45752,459.94327,552.766,388.34622,419.61472,455.31952
2000-01-28,440.72867,517.9117,460.32657,475.38287,428.704,481.99173,419.95804,416.46216,479.5316,504.6661,421.97653,419.61578,453.6496,428.9582,460.97415,410.22943,472.356,514.43115,521.49786,454.03137,461.17313,447.2343,492.86926,465.44727,428.15997,435.37335,462.74857,555.52936,391.05478,422.87433,458.19492
2000-01-29,444.61368,521.5981,463.96426,479.07303,432.53473,485.5343,423.9024,420.10892,483.23178,508.23535,425.80765,423.46045,457.34018,432.56772,464.59717,414.0937,476.03864,518.06866,525.15924,457.64603,464.76666,451.13895,496.6137,469.08813,431.8944,439.11816,466.4344,559.07,394.79724,426.79953,461.90994
2000-01-30,450.49634,527.22565,469.1816,484.55734,438.2642,490.53857,429.9602,425.2161,488.66312,513.34576,431.5953,429.20502,462.6852,437.59848,469.77237,419.8908,481.39978,523.4659,530.6805,462.87347,469.85608,457.12155,502.2806,474.39346,437.38583,444.64517,471.8169,564.3017,400.138,432.77383,467.3776
2000-01-31,459.2984,535.6416,477.0169,492.7735,446.84412,498.0618,439.01596,432.8985,496.80658,521.0213,440.25662,437.80783,470.70688,445.16852,477.54648,428.57016,489.44287,531.55225,538.9441,470.71936,477.50583,466.06607,510.7603,482.35214,445.61874,452.92938,479.8899,572.14246,408.16113,441.70996,475.57434
2000-02-01,473.90775,549.6546,489.73895,506.31015,461.01596,510.19864,454.12927,445.24588,510.15616,533.47504,454.61908,452.0117,483.78436,457.3102,490.1476,442.92352,502.58344,544.866,552.6375,483.50275,489.86038,480.98035,524.832,495.35992,459.12497,466.54,493.09637,585.0304,421.1605,456.57193,489.02588
2000-02-02,493.12372,567.94543,507.36768,524.4333,479.87512,527.271,473.74588,462.76334,528.2436,550.7621,473.55185,470.93234,501.73453,474.61914,507.67908,461.96918,520.5301,562.7195,570.71857,501.0743,507.19485,500.38196,543.34937,513.1089,477.39355,484.88348,511.0788,602.382,439.26266,476.02554,507.20404
2000-02-03,508.25595,581.99835,523.48584,539.49976,495.2724,543.4836,488.53888,479.74673,543.80743,566.63916,488.56506,486.4266,517.7406,491.59317,523.87415,477.38354,536.31744,577.6318,585.1321,516.80334,523.55225,515.1225,557.95306,528.6828,493.03644,500.43042,526.76746,617.04486,456.02524,491.10864,522.73065
2000-02-04,516.5563,589.5063,533.6032,548.21747,504.02994,553.95685,496.27908,490.88266,553.098,576.6404,496.85913,495.26483,527.58813,502.8123,534.12146,486.07608,545.92175,586.2984,593.1379,526.51086,534.06995,522.9007,565.97565,538.13696,502.33405,509.5871,536.2451,625.65784,466.6511,499.24707,531.9389
2000-02-05,524.7196,597.19324,541.623,556.10547,512.17145,561.86676,504.45715,499.08078,561.0954,584.5219,504.92685,503.44397,535.65784,510.95895,542.1365,494.26596,553.9387,594.08545,600.86053,534.4248,542.07666,531.01526,573.84735,546.05634,510.39374,517.64154,544.2472,633.2666,474.93625,507.4553,539.949
2000-02-06,532.9252,604.9194,549.68854,564.0358,520.3561,569.82306,512.6763,507.32733,569.13684,592.44885,513.0365,511.66666,543.7729,519.1542,550.19763,502.49908,562.0007,601.91437,608.6235,542.3834,550.13007,539.1709,581.76,554.0199,518.49774,525.7399,552.29364,640.9168,483.2691,515.70575,548.00305
2000-02-07,541.12366,612.63666,557.76117,571.9643,528.53735,577.7899,520.8842,515.58673,577.17957,600.38306,521.1398,519.8861,551.8929,527.36334,558.26697,510.7276,570.066,609.742,616.3807,550.34717,558.1936,547.3161,589.6659,561.98676,526.60266,533.8384,560.34283,648.56665,491.61035,523.9473,556.0576
2000-02-08,549.3575,620.3892,565.85583,579.92255,536.7506,585.77527,529.13135,523.86334,585.24945,608.3388,529.27747,528.13763,560.0372,535.5886,566.3573,518.98926,578.1567,617.59845,624.1705,558.33435,566.2766,555.4996,597.6058,569.97876,534.7355,541.96533,568.41785,656.24396,499.97324,532.22595,564.1401
2000-02-09,557.6265,628.17487,573.9855,587.9149,544.9993,593.7952,537.4136,532.17566,593.35425,616.32886,537.4501,536.42456,568.2166,543.8497,574.48267,527.2864,586.2824,625.4888,631.9935,566.3561,574.3944,563.71814,605.5798,578.0054,542.9036,550.1274,576.5279,663.9544,508.37222,540.5401,572.25745
2000-02-10,565.91534,635.9784,582.13885,595.92804,553.2686,601.8398,545.7143,540.5139,601.4809,624.34265,545.6423,544.73254,576.4192,552.13684,582.6322,535.6042,594.4307,633.39954,639.83545,574.40076,582.53705,571.9551,613.5727,586.0543,551.09375,558.31116,584.66016,671.6851,516.7961,548.87354,580.3965
2000-02-11,574.21106,643.7878,590.30255,603.94904,561.5458,609.8954,554.02094,548.86395,609.61633,632.3666,553.84155,553.0483,584.63153,560.4361,590.79224,543.92944,602.58844,641.31824,647.68427,582.455,590.6908,580.1982,621.5723,594.1125,559.29266,566.5035,592.80164,679.4241,525.2308,557.2135,588.5441
