,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2542.28,2550.715,2522.6274,2531.79,2561.764,2545.5479,2527.2507,2546.0415,2547.6638,2546.0046,2544.535,2565.6836,2528.3215,2535.7312,2541.0322,2533.286,2571.189,2540.906,2545.8286,2534.1895,2541.332,2550.0159,2542.847,2551.5586,2555.5596,2555.1768,2545.0437,2520.9617,2546.3787,2545.4453,2543.8901
2021-11-25,2563.272,2570.7578,2542.3928,2552.9756,2582.3838,2562.19,2547.907,2567.5068,2567.7761,2567.461,2564.7878,2586.6797,2547.272,2556.3389,2560.381,2552.775,2592.356,2561.9426,2564.6204,2554.321,2560.5774,2567.8247,2558.9146,2571.2888,2574.161,2576.0762,2564.6091,2536.2642,2566.0735,2564.4978,2563.5461
2021-11-26,2564.2046,2572.5806,2543.681,2553.5886,2583.9392,2567.6565,2548.3936,2568.4094,2570.1091,2568.5347,2566.6533,2588.5803,2549.4358,2557.9683,2563.0408,2555.139,2593.7288,2562.6055,2568.7185,2556.5122,2562.9453,2572.0786,2565.8792,2573.8262,2578.5427,2577.3762,2567.3867,2543.2664,2568.1323,2567.2632,2566.006
2021-11-27,2568.463,2576.9336,2547.8164,2557.7854,2588.3184,2572.4888,2552.4504,2572.748,2574.6328,2572.9248,2571.0596,2593.1375,2553.6873,2562.3684,2567.52,2559.553,2598.1558,2566.789,2573.536,2560.9954,2567.3152,2576.758,2571.0652,2578.34,2583.4116,2581.7302,2571.943,2548.319,2572.4924,2571.7188,2570.482
2021-11-28,2568.466,2577.2336,2547.95,2557.6836,2588.5251,2573.998,2552.3157,2572.7349,2575.0947,2572.966,2571.3713,2593.4487,2554.1116,2562.5989,2568.0964,2560.0334,2598.2966,2566.7053,2574.5789,2561.4116,2567.8003,2577.8643,2573.06,2578.8723,2584.5479,2581.8516,2572.5542,2550.3372,2572.8728,2572.333,2570.9907
2021-11-29,2564.9592,2574.07,2544.7292,2554.0796,2585.207,2572.151,2548.7805,2569.1394,2572.019,2569.406,2568.18,2590.1328,2551.2073,2559.2976,2565.2202,2557.0747,2594.847,2563.1377,2572.0837,2558.3047,2564.8843,2575.5728,2571.6096,2575.9045,2582.142,2578.4338,2569.6628,2549.028,2569.8167,2569.5298,2568.0205
2021-11-30,2558.0188,2567.5017,2538.2202,2547.0544,2578.43,2566.9443,2541.924,2562.0396,2565.4592,2562.3188,2561.5435,2583.2517,2545.0247,2552.5293,2558.9368,2550.7263,2587.8755,2556.1663,2566.075,2551.7297,2558.6157,2569.9014,2566.688,2569.4854,2576.2146,2571.5466,2563.3137,2544.3635,2563.3784,2563.3513,2561.6208
2021-12-01,2549.213,2558.9912,2529.8838,2538.2031,2569.7095,2559.4436,2533.3062,2553.04,2556.8643,2553.3047,2552.9395,2574.3376,2536.9292,2543.8062,2550.6226,2542.3867,2578.9485,2547.371,2557.8333,2543.1418,2550.3762,2562.0503,2559.2607,2561.0261,2568.0208,2562.7383,2554.8967,2537.2488,2554.9866,2555.1484,2553.201
2021-12-02,2544.0842,2553.7688,2524.9119,2533.142,2564.4487,2553.728,2528.4102,2547.8132,2551.4478,2548.0205,2547.6528,2568.8706,2531.838,2538.5222,2545.267,2537.102,2573.6262,2542.3267,2552.1033,2537.7712,2545.1462,2556.491,2553.1533,2555.6262,2562.235,2557.5032,2549.4504,2531.3032,2549.7617,2549.8237,2547.845
2021-12-03,2548.6606,2557.6877,2529.0227,2537.9187,2568.6355,2555.0732,2533.1213,2552.518,2555.137,2552.6396,2551.602,2572.9802,2535.3308,2542.6694,2548.6152,2540.6267,2578.0317,2547.0435,2554.6238,2541.5337,2548.611,2558.7012,2553.6372,2559.1252,2564.5732,2561.88,2552.794,2531.5867,2553.4832,2553.0503,2551.3638
2021-12-04,2550.6685,2559.606,2530.9133,2539.9448,2570.6082,2556.6704,2535.0964,2554.5706,2557.0623,2554.692,2553.5408,2574.9895,2537.1445,2544.6416,2550.468,2542.4922,2580.0564,2549.0552,2556.425,2543.4604,2550.4534,2560.4084,2555.1816,2561.0142,2566.356,2563.8792,2554.6675,2533.0579,2555.3682,2554.8745,2553.2454
2021-12-05,2557.0938,2565.6934,2536.9426,2546.4463,2576.887,2561.5208,2541.442,2561.1443,2563.1445,2561.254,2559.6907,2581.3662,2542.8772,2550.9124,2556.2974,2548.3801,2586.5134,2555.5083,2562.0085,2549.5562,2556.2664,2565.681,2559.7773,2566.968,2571.8667,2570.2576,2560.558,2537.416,2561.336,2560.6077,2559.1802
2021-12-06,2565.493,2573.8042,2544.891,2554.8909,2585.2002,2568.6448,2549.6643,2569.7273,2571.3337,2569.8508,2567.8894,2589.862,2550.5896,2559.228,2564.2156,2556.324,2595.025,2563.8987,2569.8486,2557.7388,2564.1157,2573.147,2566.8215,2575.0254,2579.6594,2578.656,2568.5742,2544.1614,2569.3328,2568.4187,2567.2017
2021-12-07,2574.3953,2582.5244,2553.37,2563.7983,2594.0952,2576.8228,2558.3213,2578.8174,2580.2043,2578.9788,2576.7078,2598.9946,2558.9392,2568.136,2572.8467,2564.9417,2604.1035,2572.7551,2578.5918,2566.5833,2572.6365,2581.5203,2575.1184,2583.786,2588.3914,2587.6072,2577.323,2552.1506,2577.9663,2576.9524,2575.9126
2021-12-08,2577.1262,2585.5574,2556.1284,2566.4055,2597.069,2581.1416,2560.8125,2581.5874,2583.477,2581.826,2579.7842,2602.1675,2562.0073,2571.1423,2576.1838,2568.159,2607.055,2575.3682,2582.5237,2569.7935,2575.83,2585.4146,2580.0571,2587.1094,2592.4316,2590.4958,2580.7375,2557.0222,2581.0684,2580.305,2579.1926
2021-12-09,2584.819,2593.0125,2563.4197,2574.1313,2604.7004,2587.801,2568.3308,2589.4465,2591.0188,2589.7036,2587.321,2609.9758,2569.1086,2578.7783,2583.4863,2575.475,2614.8628,2583.0452,2589.7979,2577.325,2583.0635,2592.3516,2586.688,2594.5361,2599.6714,2598.1992,2588.1333,2563.3816,2588.427,2587.5132,2586.5842
2021-12-10,2580.3015,2589.1877,2559.3806,2569.4,2600.5974,2586.6907,2563.6602,2584.8015,2587.443,2585.1492,2583.471,2605.9636,2565.7224,2574.7173,2580.2646,2572.0667,2610.534,2578.3757,2587.4595,2573.6704,2579.7124,2590.329,2586.4973,2591.1584,2597.5269,2593.8955,2584.921,2563.393,2584.8071,2584.417,2583.1836
