,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,467.97208,424.50018,686.52594,519.581,506.7432,588.0066,499.76172,466.11945,423.03998,464.18396,456.59683,345.56964,467.011,400.1863,587.9507,439.8839,258.8587,531.0118,300.97375,483.06204,486.48914,487.25104,429.20828,518.1757,403.55713,597.61005,554.799,428.98654,432.24554,378.6139,467.8158
2000-01-10,385.40262,506.63705,461.84863,427.76297,426.41663,505.2463,373.32687,386.97488,313.09238,449.8174,539.96643,342.1074,451.20435,351.2271,358.3882,375.64728,251.09943,337.43637,388.38763,322.52255,443.77084,369.0121,293.57355,446.7822,451.56744,373.61615,321.90396,386.09775,398.98355,508.7138,398.2845
2000-01-11,453.95023,481.6521,519.1728,456.44473,449.32925,494.72513,501.8921,407.38467,426.05807,404.25052,461.1196,389.81525,525.6764,425.41397,457.02335,453.10458,424.44516,465.76282,405.52542,421.3723,504.24692,486.6291,416.8946,442.9229,413.26782,447.98773,429.79144,466.83194,489.86993,481.27682,453.46124
2000-01-12,493.9829,520.25433,557.2088,496.5946,489.29822,529.2428,541.329,448.60605,465.35733,445.18933,500.0529,430.613,562.9313,465.0816,495.15015,491.34735,465.2492,505.947,443.2467,460.63644,541.80865,522.66785,451.55017,481.7793,450.7283,487.9738,468.53555,500.01456,528.13745,518.91656,491.98105
2000-01-13,505.54718,532.9371,568.88666,507.62033,501.90314,547.27313,551.9899,460.41895,479.16302,457.19983,512.6283,444.0991,575.94025,477.74603,509.2813,505.0039,477.7904,517.18286,459.74545,474.2163,555.253,539.03613,472.42087,495.8627,467.6324,500.14426,483.0373,520.5212,541.2209,533.08325,505.8262
2000-01-14,491.9165,521.36755,556.64844,493.36182,489.38715,543.8323,537.81226,446.2889,468.3147,443.45142,500.73672,431.9627,565.5769,465.48026,499.51172,494.66516,464.6758,503.12186,452.68018,463.15753,545.141,532.9091,471.82846,485.58224,461.1507,487.16837,473.26028,520.4928,530.2852,523.66125,495.51428
2000-01-15,475.6929,506.1931,541.4464,476.91556,473.51526,532.3251,521.60706,429.5564,453.1454,426.91803,485.36664,415.95395,551.1735,449.77396,485.01877,479.9665,448.37234,486.7257,439.11935,447.9365,530.719,520.13837,461.13565,470.71582,447.843,471.15475,458.57935,510.41556,515.40247,509.4197,480.74155
2000-01-16,446.4497,478.38968,513.8376,447.43924,444.58884,509.18018,492.6111,399.42175,425.06876,397.06168,457.27228,386.59128,524.5377,421.1059,457.96796,452.70303,418.75894,457.2784,413.00525,419.83215,503.9475,495.3429,438.61942,443.06442,422.04202,442.1059,431.12872,488.9922,487.96933,482.7696,453.3028
2000-01-17,404.83966,438.44226,474.37256,405.6404,403.1518,474.15802,451.5339,356.5625,384.47742,354.53085,416.96402,344.36987,486.0471,380.0063,418.6734,413.25168,376.42328,415.46558,374.39374,379.2589,465.1767,458.51712,403.7526,402.97342,383.751,400.61322,391.20724,455.66745,448.40472,443.9996,413.5542
2000-01-18,396.57703,428.82407,465.77432,397.9697,393.75485,458.3033,444.17957,348.1513,373.7039,345.87988,407.49567,334.10446,475.91638,370.51834,407.43246,402.54584,367.18286,407.56485,360.53714,368.72507,454.61008,444.626,384.8165,391.85583,369.42923,391.6889,379.62192,436.96985,438.30627,432.66858,402.6578
2000-01-19,397.8928,429.0524,466.55582,399.67795,394.34927,453.9562,445.97137,349.56815,373.32507,347.09885,407.86996,334.28625,475.60947,371.00452,406.5669,402.03058,368.0108,409.13516,357.96457,368.49033,454.07877,441.75818,378.55637,391.18884,366.52158,392.58118,378.64236,430.61945,438.18335,431.6673,402.0738
