,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2549.3674,2539.245,2544.4531,2558.0103,2552.4624,2557.3315,2550.0586,2547.5688,2552.2144,2526.591,2529.7644,2538.414,2549.76,2557.4717,2537.6396,2560.4084,2562.433,2551.2317,2539.741,2548.0564,2551.75,2564.8745,2529.9539,2550.4177,2553.8567,2530.2302,2543.9084,2546.7456,2552.5337,2561.6143,2547.9368
2021-11-25,2571.8955,2560.4417,2563.0337,2577.5237,2573.3206,2579.3901,2569.1743,2568.0796,2573.7363,2544.75,2548.5515,2554.6487,2570.6934,2578.7083,2558.0808,2580.6296,2584.5435,2570.9402,2562.3994,2567.2368,2572.5654,2581.2087,2551.941,2571.7927,2574.3752,2551.0762,2562.5813,2567.0525,2572.4622,2583.5354,2568.2122
2021-11-26,2572.2388,2561.8232,2567.016,2580.7246,2574.999,2580.0286,2572.8054,2570.564,2574.7004,2548.6116,2552.148,2561.6606,2572.3582,2580.1277,2559.9888,2583.0762,2585.377,2573.8965,2561.3938,2570.9487,2574.3108,2587.8186,2551.842,2572.5974,2576.2598,2552.4326,2566.3423,2569.3367,2574.7764,2584.5938,2570.493
2021-11-27,2576.6082,2566.2605,2571.76,2585.4038,2579.4636,2584.3994,2577.5422,2575.2124,2579.0706,2553.2388,2556.812,2566.8938,2576.8328,2584.5845,2564.4453,2587.6565,2589.8184,2578.5374,2565.372,2575.7227,2578.7883,2592.9468,2555.9727,2576.8906,2580.7234,2556.7964,2571.0354,2573.8835,2579.2605,2589.0684,2575.0334
2021-11-28,2576.4011,2566.4036,2572.769,2586.1506,2579.7063,2584.294,2578.432,2575.7175,2579.0764,2554.215,2557.6958,2568.9019,2577.0696,2584.7393,2564.7666,2588.1528,2589.7737,2579.2036,2564.7334,2576.6375,2579.053,2594.8252,2555.6328,2576.8472,2581.0361,2556.9363,2571.9727,2574.3274,2579.7188,2589.0984,2575.4763
2021-11-29,2572.507,2562.9482,2570.287,2583.35,2576.3691,2580.5408,2575.7864,2572.6,2575.4812,2551.7834,2555.1008,2567.4297,2573.7163,2581.2847,2561.5476,2585.0793,2586.0498,2576.3206,2560.5498,2573.996,2575.7366,2593.2563,2551.7463,2573.2466,2577.7996,2553.5374,2569.4304,2571.2065,2576.6704,2585.4517,2572.36
2021-11-30,2565.0156,2555.9653,2564.339,2577.0422,2569.5173,2573.2239,2569.638,2565.9143,2568.3633,2545.968,2549.0598,2562.4534,2566.8396,2574.2905,2554.8494,2578.4883,2578.728,2569.9324,2552.9304,2567.831,2568.9036,2588.2217,2544.4077,2566.1687,2571.0745,2546.6697,2563.4382,2564.5771,2570.1692,2578.2073,2565.7412
2021-12-01,2555.6377,2547.0251,2556.1956,2568.5989,2560.6846,2564.0083,2561.312,2557.1357,2559.3337,2538.0134,2540.8738,2554.9497,2557.9773,2565.3293,2546.164,2569.835,2569.4692,2561.435,2543.6467,2559.4695,2560.081,2580.721,2535.3027,2557.2178,2562.3604,2537.8767,2555.2815,2555.906,2561.652,2569.0022,2557.083
2021-12-02,2550.365,2541.6943,2550.5552,2563.0178,2555.3276,2558.7397,2555.6714,2551.576,2554.074,2532.5112,2535.3206,2548.7878,2552.608,2559.976,2540.8223,2564.3555,2564.1204,2555.8948,2538.8152,2553.786,2554.7102,2574.677,2530.3079,2552.0474,2557.009,2532.6348,2549.6973,2550.4634,2556.286,2563.6184,2551.649
2021-12-03,2555.5918,2546.1016,2553.0813,2566.1445,2559.5107,2563.7117,2558.495,2555.2869,2558.7607,2534.9944,2538.0823,2549.2903,2556.8154,2564.3743,2544.7952,2568.0154,2569.011,2559.186,2544.7246,2556.5862,2558.85,2575.397,2535.619,2556.7761,2561.011,2536.9707,2552.3518,2554.2217,2559.9395,2568.3552,2555.4014
