,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,353.29645,483.68555,539.7032,422.03198,363.23624,326.71494,506.99,350.2561,303.26663,418.3595,480.857,463.01956,382.7513,356.1176,580.97705,405.1933,272.33902,384.49664,511.97202,443.9289,223.9403,451.58984,584.8608,521.25494,442.11545,435.02155,450.21555,281.19754,493.84735,410.11752,421.44513
2000-01-10,300.452,385.1497,424.246,330.80026,452.54135,355.6783,322.1424,401.9349,393.9516,377.58752,430.52924,359.24643,409.41803,444.52472,425.03568,371.28644,286.95972,381.3023,349.05002,373.3615,379.10962,388.39218,296.19568,267.94034,392.42502,369.41425,504.20328,314.22412,429.48984,290.55524,373.5716
2000-01-11,387.8161,418.63547,456.67413,441.6734,436.75363,416.8654,435.70465,412.2663,439.9845,486.51205,450.75772,405.71225,424.55908,430.11176,446.2537,439.98843,400.86914,440.2283,486.5987,422.03146,438.70337,454.7194,458.00867,458.6474,448.2255,448.02582,461.13028,429.7105,466.5631,398.67432,438.08014
2000-01-12,430.38058,459.3072,494.01266,480.3952,477.01846,458.71558,473.94208,452.0725,480.9351,523.02325,488.3317,440.83563,465.06488,470.8874,485.79733,479.57312,442.92874,479.0646,528.354,460.4162,478.8547,489.8167,499.26425,499.3471,488.11197,487.96808,498.58316,469.3961,505.61475,440.50824,477.61737
2000-01-13,441.59897,471.85382,510.2289,495.66843,489.99902,470.25812,489.8251,466.1329,492.75116,538.8354,503.97513,461.97617,478.15262,483.5189,498.96777,493.73364,454.8663,493.90955,536.9684,476.45566,491.88858,510.2739,509.37436,510.92776,501.43317,500.24994,514.5108,483.3236,519.4691,452.80606,491.46442
2000-01-14,426.0188,458.8511,503.13824,486.72253,477.70303,455.4684,481.81693,455.24332,478.81766,531.8549,496.14337,461.37778,465.8151,470.5379,487.32858,483.08926,440.35028,484.44815,519.21814,468.5149,479.72092,508.98734,493.48676,496.91077,489.731,487.44,507.0488,472.3743,508.8491,438.8051,480.52707
2000-01-15,408.4471,442.62524,489.69403,472.30325,461.812,438.35004,467.82523,439.91296,462.2286,518.6944,482.4058,450.55038,449.83917,454.2871,471.8533,467.8994,423.25052,469.83963,501.2417,454.49872,463.90308,497.96173,476.22,480.37262,474.133,471.49313,493.4585,457.06256,493.8283,421.92786,465.26395
2000-01-16,377.06805,413.11548,463.82214,445.0725,432.7425,407.63055,441.14255,411.49393,432.3049,493.38394,456.1956,427.74225,420.60413,424.7158,443.4144,439.68436,392.46497,442.40524,469.83887,427.738,434.93933,474.9972,445.60815,450.5899,445.45734,442.50244,467.41934,428.7059,465.9633,391.41727,437.00595
2000-01-17,332.64093,370.86578,425.55463,405.217,390.97778,364.00458,401.874,370.34262,389.67447,455.96045,417.6122,392.39902,378.5912,382.36343,402.44388,398.77942,348.65884,402.38028,425.99222,388.32895,393.30142,439.6059,402.46185,408.20358,404.13553,401.00507,428.998,387.6676,425.59616,347.8933,396.11768
2000-01-18,324.9871,361.56967,411.92093,392.75378,381.1683,355.92242,388.69803,359.3121,381.19955,442.67862,404.62527,373.18546,368.6879,372.98557,392.35004,387.61597,340.17035,390.39505,421.0789,374.9989,383.4202,421.13095,395.8703,399.9588,393.91415,391.91776,415.69086,376.76804,414.708,338.991,385.28912
