,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2518.1377,2525.7737,2525.4775,2550.3208,2519.1597,2504.1147,2519.8486,2553.8992,2531.4763,2524.4158,2536.157,2525.7764,2526.2847,2523.202,2527.876,2544.2163,2552.3242,2525.7559,2525.2737,2556.8018,2530.1392,2534.087,2526.4465,2529.664,2569.234,2533.724,2520.4148,2544.5105,2524.1787,2527.4834,2531.8723
2021-11-25,2535.478,2535.3079,2541.8198,2565.8862,2534.3013,2516.742,2533.9214,2567.3594,2544.9358,2535.7444,2550.5356,2537.5972,2533.3289,2538.473,2542.9106,2559.554,2566.7302,2538.5793,2542.8616,2569.4768,2542.3318,2546.0684,2541.6145,2548.1084,2584.6575,2549.594,2532.266,2562.8604,2535.6821,2535.792,2545.6836
2021-11-26,2539.793,2549.1692,2547.634,2573.8271,2541.3577,2526.262,2542.0046,2577.322,2553.938,2547.3684,2558.9766,2549.27,2549.9617,2545.6953,2550.6245,2567.7126,2575.3245,2548.3784,2547.2383,2580.8115,2553.0613,2557.1948,2548.3618,2552.2454,2593.3577,2556.8096,2542.5576,2567.6057,2546.9653,2550.8628,2554.7231
2021-11-27,2544.405,2555.243,2552.5178,2579.22,2546.3977,2531.584,2547.1575,2582.938,2559.2583,2553.0938,2564.298,2555.103,2556.4177,2550.8098,2555.848,2573.1277,2580.6978,2553.825,2551.916,2586.7014,2558.6738,2562.8901,2553.3105,2557.0112,2598.9558,2562.037,2547.97,2572.5427,2552.6182,2557.0774,2560.1213
2021-11-28,2545.5376,2559.5269,2554.1414,2581.5334,2548.4348,2534.441,2549.536,2585.924,2561.939,2556.6401,2566.787,2558.6572,2561.6191,2552.8972,2558.097,2575.5125,2583.2344,2556.769,2553.065,2590.1362,2561.9226,2566.268,2555.2478,2558.0718,2601.5117,2564.114,2551.0833,2573.7993,2556.053,2561.7627,2562.8088
2021-11-29,2543.3389,2560.5837,2552.4138,2580.362,2547.1638,2534.098,2548.6548,2585.5215,2561.3472,2556.9404,2565.924,2558.8801,2563.6597,2551.6362,2556.9744,2574.4238,2582.396,2556.4463,2550.835,2590.1426,2561.894,2566.355,2553.9106,2555.6436,2600.5151,2562.745,2551.0288,2571.508,2556.2551,2563.2725,2562.1626
2021-11-30,2537.824,2558.2698,2547.3264,2575.6665,2542.5544,2530.4814,2544.4666,2581.6545,2557.4202,2553.8877,2561.6567,2555.6663,2562.3477,2546.9949,2552.4404,2569.8184,2578.1284,2552.7808,2545.2417,2586.623,2558.4976,2563.0532,2549.2734,2549.7495,2595.915,2557.9011,2547.7188,2565.6833,2553.1233,2561.442,2558.1204
2021-12-01,2530.1577,2552.7908,2539.9104,2568.3376,2535.4988,2524.1982,2537.7422,2574.9775,2550.8486,2547.9102,2554.7656,2549.4795,2557.5957,2539.8687,2545.3552,2562.5618,2571.2102,2546.384,2537.466,2580.1199,2552.2612,2556.8599,2542.2427,2541.6455,2588.5632,2550.5244,2541.6726,2557.549,2547.112,2556.338,2551.398
2021-12-02,2524.6846,2545.7727,2534.1433,2562.005,2529.572,2517.9873,2531.7026,2568.4224,2544.6277,2541.2615,2548.5298,2542.7017,2550.181,2533.8547,2539.2224,2556.2065,2564.9158,2540.0295,2531.9148,2573.2651,2545.7278,2550.2358,2536.4187,2535.9814,2581.9995,2544.3762,2535.3706,2551.6934,2540.5425,2549.179,2545.0842
2021-12-03,2526.7542,2541.3674,2535.2502,2561.8997,2529.7917,2516.4167,2531.1716,2566.8376,2543.5066,2538.3647,2547.8982,2539.9004,2543.844,2534.0256,2539.0996,2555.9421,2564.2173,2538.3716,2534.0137,2570.8306,2543.4697,2547.7363,2536.7942,2538.4016,2581.494,2544.6956,2533.2427,2553.7969,2537.8523,2543.8984,2544.0295
2021-12-04,2528.417,2542.2952,2536.8193,2563.397,2531.2476,2517.6353,2532.5264,2568.1365,2544.804,2539.4617,2549.283,2541.0447,2544.538,2535.494,2540.5464,2557.4177,2565.605,2539.6091,2535.7004,2572.0557,2544.6482,2548.8953,2538.2522,2540.1697,2582.9785,2546.2217,2534.3877,2555.557,2538.9658,2544.711,2545.3606
2021-12-05,2533.5432,2544.522,2541.56,2567.7886,2535.5542,2521.039,2536.4502,2571.7747,2548.4915,2542.357,2553.2825,2544.089,2545.854,2539.8315,2544.7864,2561.7278,2569.605,2543.0598,2540.8997,2575.3813,2547.8557,2552.0178,2542.5825,2545.6458,2587.287,2550.7454,2537.5127,2560.9722,2541.9321,2546.4976,2549.1548
2021-12-06,2540.833,2549.66,2548.6016,2574.732,2542.2427,2526.974,2542.8162,2578.083,2554.7056,2547.9858,2559.8047,2549.9175,2550.2795,2546.587,2551.4983,2568.6016,2576.1528,2549.1013,2548.293,2581.5142,2553.7385,2557.8562,2549.2502,2553.355,2594.2478,2557.7388,2543.2168,2568.7053,2547.596,2551.27,2555.512
2021-12-07,2549.0325,2556.8896,2556.742,2583.0554,2550.181,2534.4548,2550.5544,2586.0132,2562.4087,2555.4292,2567.7544,2557.5752,2557.136,2554.6167,2559.5496,2576.8809,2584.1497,2556.731,2556.6091,2589.4446,2561.3262,2565.4514,2557.1252,2561.9685,2602.691,2566.018,2550.5588,2577.4253,2555.0295,2558.2795,2563.3696
2021-12-08,2552.9067,2564.2507,2561.1873,2588.3853,2555.0608,2540.179,2555.783,2592.03,2567.989,2561.9705,2573.1804,2564.192,2565.4856,2559.5847,2564.72,2582.2825,2589.6475,2562.6064,2560.5383,2596.001,2567.554,2571.8372,2561.8657,2565.8828,2608.3484,2571.051,2556.5486,2581.609,2561.4336,2566.056,2569.0054
