,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,625.666,429.51877,512.80286,442.23126,486.50253,380.60724,630.34735,448.22455,558.452,574.0258,487.55515,250.35507,455.69275,530.54535,441.7466,296.68176,377.85168,421.7704,460.1787,390.04333,400.20932,398.71768,556.1887,544.351,422.97607,314.2344,540.55005,363.5561,495.41238,488.57053,457.51883
2000-01-10,459.89056,406.0044,437.7519,303.65384,594.21246,493.99017,461.97195,449.31622,375.11075,359.74615,467.8843,554.5535,427.19086,528.5528,510.8999,353.20825,415.507,556.09985,436.51257,448.1522,429.52783,493.1977,501.6876,373.94025,322.75824,536.36993,501.76474,415.16464,462.9286,462.70154,451.3417
2000-01-11,527.49994,447.4015,489.67596,414.76437,494.24515,502.25427,500.6629,432.4952,498.9556,474.552,461.6862,422.32037,447.27625,464.43658,478.1258,397.42462,455.93176,494.46674,502.24503,398.58096,470.24432,461.69217,519.5401,448.58044,371.7999,435.31998,521.59296,425.23456,476.05203,458.57965,463.12125
2000-01-12,562.45874,473.74133,523.77966,448.6329,526.87103,531.6955,531.974,463.81018,529.6419,502.82645,493.74716,451.54904,470.74063,497.43896,510.6167,431.15884,488.23636,524.3511,537.72156,429.20868,499.55563,490.9296,552.02875,485.4711,405.878,469.30057,550.1844,462.49774,504.5998,483.46548,494.4704
2000-01-13,578.575,504.37488,542.36597,470.73376,547.23645,555.55756,553.85956,488.98282,552.9269,530.0199,516.35077,479.01443,505.5869,518.18933,531.72565,453.79092,511.28928,548.71466,554.0826,456.52148,525.4489,517.5635,571.82465,501.6923,429.40005,490.20508,575.3187,480.05508,531.4155,515.9692,517.9597
2000-01-14,572.899,519.1681,539.78186,471.92242,547.4279,561.386,556.4595,494.971,557.3692,540.03076,519.2053,488.7027,526.5709,518.5361,532.7723,455.6159,514.45667,554.78046,548.32666,465.154,533.45807,526.3849,571.5173,494.89273,431.92038,490.09863,583.0055,474.39264,540.86395,533.6298,522.19
2000-01-15,560.6003,515.5988,528.663,462.00436,537.589,554.1952,547.73645,487.25943,549.38837,534.4479,510.33084,482.73312,525.72833,508.6257,523.2314,445.92535,505.60236,547.53076,535.847,458.44247,526.9591,520.1544,561.5669,481.67157,422.33105,479.76263,576.6297,461.40637,535.0295,531.3619,513.9451
2000-01-16,536.6221,502.3006,506.00354,440.4461,516.5833,536.65,528.1754,468.54288,530.69495,518.7098,490.35175,466.29547,515.8397,487.40918,502.52908,424.60422,485.54462,529.7673,511.51675,440.83405,510.04337,503.49615,540.51556,456.16486,400.95868,457.8109,560.10034,435.96204,518.9728,519.723,494.77228
2000-01-17,500.9055,477.40793,471.46826,406.556,483.83517,507.69186,496.99313,437.71365,500.3366,491.37302,458.45142,437.9612,494.48892,454.29315,470.00842,390.90222,453.43094,500.3958,475.28067,410.97922,481.4437,475.06363,507.8385,418.39108,366.98526,423.66608,532.1914,397.9573,491.30093,496.59326,463.73013
2000-01-18,487.12634,446.98813,454.92896,386.1827,465.211,484.94623,476.58365,413.74106,478.34033,464.8831,437.35403,411.27084,459.17554,435.29984,450.55835,369.94055,431.8646,477.14206,461.2943,384.61407,456.4772,449.27975,489.82208,404.703,345.103,404.581,507.9678,382.85147,465.24854,463.9719,441.58173
2000-01-19,484.16107,432.16544,450.09335,378.8954,458.82016,475.44965,468.8619,403.78183,469.51797,452.84143,429.3163,399.26413,440.81442,428.7411,443.62692,362.26794,423.57468,467.39563,458.28107,373.0373,445.5659,437.83984,483.79648,402.11075,336.9081,398.12628,497.40573,379.4173,453.52792,447.53427,432.77133
2000-01-20,483.8858,427.6345,449.15756,377.11203,457.31845,472.81363,466.8757,401.0274,467.14035,449.3064,427.2365,395.76212,435.0082,427.18997,441.9366,360.35022,421.41403,464.68307,457.99988,369.71237,442.44174,434.53232,482.41772,402.00455,334.8183,396.6326,494.3861,379.02853,450.10925,442.41873,430.4118
2000-01-21,490.70013,427.9757,455.0641,382.03067,462.2965,475.8855,471.04913,404.35037,470.75427,451.1462,431.457,397.83298,433.3542,432.18802,446.67923,365.09308,425.5952,467.76266,464.91095,372.26337,444.94714,436.82056,487.50418,409.39847,339.4382,401.8984,496.86133,386.1871,452.13312,441.81876,434.17987
2000-01-22,496.26028,433.5789,460.70502,387.912,467.89166,481.35315,476.59683,410.15054,476.33353,456.72665,437.15182,403.5515,438.927,437.85696,452.31555,370.99725,431.3548,473.32602,470.55228,378.14285,450.55493,442.4777,493.0374,415.20422,345.45132,407.70477,502.3227,392.14532,457.71796,447.38693,439.85626
2000-01-23,501.58154,439.20892,466.14526,393.6347,473.32343,486.7348,482.0142,415.85675,481.80542,462.27246,442.71527,409.22693,444.608,443.3627,457.79837,376.75046,436.9852,478.8038,475.95135,383.9605,456.1009,448.0819,498.40247,420.74927,351.31946,413.33746,507.72223,397.85306,463.2604,453.02023,445.41962
2000-01-24,506.88037,444.68265,471.5422,399.28668,478.69434,492.02014,487.3556,421.46225,487.18857,467.69318,448.19955,414.77814,450.09253,448.80582,463.21393,382.4292,442.53357,484.18213,481.3278,389.65927,461.5349,453.56827,503.7111,426.2767,357.10742,418.90845,513.0133,403.53314,468.68158,458.47897,450.8947
